ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,AUGUSTA,RICHMOND,GA,30904,2020-01-01,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CANCELLED,T1524133,08:15:00,09:00:00
0,HEPHZIBAH,RICHMOND,GA,30815,2020-01-01,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CANCELLED,T1524134,14:00:00,00:00:00
0,AUGUSTA,RICHMOND,GA,30904,2020-01-02,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CANCELLED,T1524136,08:15:00,09:00:00
0,HEPHZIBAH,RICHMOND,GA,30815,2020-01-02,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CANCELLED,T1524137,14:00:00,00:00:00
0,AUGUSTA,RICHMOND,GA,30904,2020-01-03,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CANCELLED,T1524138,08:15:00,09:00:00
0,HEPHZIBAH,RICHMOND,GA,30815,2020-01-03,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CANCELLED,T1524139,14:00:00,00:00:00
17,AUGUSTA,RICHMOND,GA,30904,2020-01-06,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1532250,08:15:00,09:00:00
20,HEPHZIBAH,RICHMOND,GA,30815,2020-01-06,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CONFIRMED,T1532251,14:00:00,14:50:00
16,AUGUSTA,RICHMOND,GA,30904,2020-01-07,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1536501,08:00:00,08:45:00
22,HEPHZIBAH,RICHMOND,GA,30815,2020-01-07,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CONFIRMED,T1536502,14:00:00,15:15:00
28,AUGUSTA,RICHMOND,GA,30904,2020-01-08,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1539762,08:00:00,09:05:00
23,HEPHZIBAH,RICHMOND,GA,30815,2020-01-08,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CONFIRMED,T1539763,14:00:00,15:10:00
23,AUGUSTA,RICHMOND,GA,30904,2020-01-09,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1540878,08:25:00,09:00:00
33,HEPHZIBAH,RICHMOND,GA,30815,2020-01-09,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CONFIRMED,T1540879,14:00:00,14:40:00
30,AUGUSTA,RICHMOND,GA,30904,2020-01-10,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1543272,08:15:00,09:15:00
27,HEPHZIBAH,RICHMOND,GA,30815,2020-01-10,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CONFIRMED,T1543273,14:00:00,15:30:00
14,AUGUSTA,RICHMOND,GA,30904,2020-01-13,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1546614,08:15:00,09:00:00
22,HEPHZIBAH,RICHMOND,GA,30815,2020-01-13,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CONFIRMED,T1546615,14:00:00,15:15:00
12,AUGUSTA,RICHMOND,GA,30904,2020-01-14,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1550947,08:40:00,09:00:00
23,HEPHZIBAH,RICHMOND,GA,30815,2020-01-14,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CONFIRMED,T1550948,14:00:00,14:50:00
22,AUGUSTA,RICHMOND,GA,30904,2020-01-15,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1554067,08:15:00,09:00:00
31,HEPHZIBAH,RICHMOND,GA,30815,2020-01-15,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CONFIRMED,T1554068,14:00:00,14:50:00
31,AUGUSTA,RICHMOND,GA,30904,2020-01-16,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1557403,08:10:00,09:30:00
33,HEPHZIBAH,RICHMOND,GA,30815,2020-01-16,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CONFIRMED,T1557404,14:00:00,16:00:00
12,AUGUSTA,RICHMOND,GA,30904,2020-01-17,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1560446,08:30:00,09:00:00
33,HEPHZIBAH,RICHMOND,GA,30815,2020-01-17,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CONFIRMED,T1560447,14:00:00,15:40:00
0,AUGUSTA,RICHMOND,GA,30904,2020-01-20,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1563218,08:15:00,09:00:00
0,HEPHZIBAH,RICHMOND,GA,30815,2020-01-20,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CONFIRMED,T1563219,14:00:00,00:00:00
16,AUGUSTA,RICHMOND,GA,30904,2020-01-21,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1566689,08:15:00,09:00:00
23,HEPHZIBAH,RICHMOND,GA,30815,2020-01-21,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CONFIRMED,T1566690,14:00:00,15:00:00
28,AUGUSTA,RICHMOND,GA,30904,2020-01-22,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1571181,08:20:00,09:15:00
22,HEPHZIBAH,RICHMOND,GA,30815,2020-01-22,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CONFIRMED,T1571182,14:05:00,15:10:00
16,AUGUSTA,RICHMOND,GA,30904,2020-01-23,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1574349,08:15:00,09:00:00
26,HEPHZIBAH,RICHMOND,GA,30815,2020-01-23,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CONFIRMED,T1574350,14:00:00,15:15:00
11,AUGUSTA,RICHMOND,GA,30904,2020-01-24,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1576698,08:30:00,09:00:00
16,HEPHZIBAH,RICHMOND,GA,30815,2020-01-24,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CONFIRMED,T1576699,14:00:00,15:00:00
16,AUGUSTA,RICHMOND,GA,30904,2020-01-27,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1579351,08:15:00,08:50:00
20,HEPHZIBAH,RICHMOND,GA,30815,2020-01-27,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CONFIRMED,T1579352,14:00:00,14:45:00
24,AUGUSTA,RICHMOND,GA,30904,2020-01-28,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1581841,08:10:00,09:00:00
17,HEPHZIBAH,RICHMOND,GA,30815,2020-01-28,33.37659,-82.09878,0,5311 (),AUGUSTA_GDOT,AUGUSTA,RICHMOND,33.47668,-81.99476,GA,30904,EMPLOYMENT,CONFIRMED,T1581842,13:45:00,14:30:00
16,AUGUSTA,RICHMOND,GA,30904,2020-01-29,33.47668,-81.99476,0,5311 (),AUGUSTA_GDOT,HEPHZIBAH,RICHMOND,33.37659,-82.09878,GA,30815,EMPLOYMENT,CONFIRMED,T1585374,08:15:00,09:00:00
