ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
1,MILLEDGEVILLE,BALDWIN,GA,31061,2020-11-24,33.06238,-83.21912,0,5311 (),BALDWIN_GDOT,MILLEDGEVILLE,BALDWIN,33.07132,-83.22428,GA,31061,SHOPPING,CONFIRMED,T2152712,11:22:00,00:00:00
-76946,MILLEDGEVILLE,BALDWIN,GA,31061,2020-01-16,33.10834,-83.25419,0,5311 (),BALDWIN_GDOT,MILLEDGEVILLE,BALDWIN,33.09767,-83.22987,GA,31061,MEDICAL,CANCELLED,T1574163,10:30:00,00:00:00
-76974,MILLEDGEVILLE,BALDWIN,GA,31061,2020-01-16,33.09767,-83.22987,0,5311 (),BALDWIN_GDOT,MILLEDGEVILLE,BALDWIN,33.10834,-83.25419,GA,31061,MEDICAL,CANCELLED,T1574164,11:45:00,00:00:00
1,MILLEDGEVILLE,BALDWIN,GA,31061,2020-04-27,33.08313,-83.22758,0,5311 (),BALDWIN_GDOT,MILLEDGEVILLE,BALDWIN,33.09767,-83.22987,GA,31061,MEDICAL,CONFIRMED,T1799323,09:30:00,00:00:00
0,MILLEDGEVILLE,BALDWIN,GA,31061,2020-04-27,33.09767,-83.22987,0,5311 (),BALDWIN_GDOT,MILLEDGEVILLE,BALDWIN,33.08313,-83.22758,GA,31061,MEDICAL,CONFIRMED,T1798714,13:10:00,00:00:00
0,MILLEDGEVILLE,BALDWIN,GA,31061,2020-07-31,33.09767,-83.22987,0,5311 (),BALDWIN_GDOT,MILLEDGEVILLE,BALDWIN,33.08951,-83.24845,GA,31061,MEDICAL,CANCELLED,T1966202,00:00:00,00:00:00
2,MILLEDGEVILLE,BALDWIN,GA,31061,2020-07-31,33.08951,-83.24845,0,5311 (),BALDWIN_GDOT,MILLEDGEVILLE,BALDWIN,33.09767,-83.22987,GA,31061,MEDICAL,CONFIRMED,T1966201,09:30:00,00:00:00
2,MILLEDGEVILLE,BALDWIN,GA,31061,2020-10-07,33.08313,-83.22758,0,5311 (),BALDWIN_GDOT,MILLEDGEVILLE,BALDWIN,33.09767,-83.22987,GA,31061,MEDICAL,CONFIRMED,T2076376,09:30:00,00:00:00
0,MILLEDGEVILLE,BALDWIN,GA,31061,2020-10-07,33.09767,-83.22987,0,5311 (),BALDWIN_GDOT,MILLEDGEVILLE,BALDWIN,33.08313,-83.22758,GA,31061,MEDICAL,CANCELLED,T2076377,12:30:00,00:00:00
1,MILLEDGEVILLE,BALDWIN,GA,31061,2020-10-22,33.09289,-83.23553,0,5311 (),BALDWIN_GDOT,MILLEDGEVILLE,BALDWIN,33.09767,-83.22987,GA,31061,MEDICAL,CONFIRMED,T2100439,10:00:00,00:00:00
