ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,COCHRAN,BLECKLEY,GA,31014,2020-02-10,32.39555,-83.35483,0,GP (),BLECKLEY_GDOT,COCHRAN,BLECKLEY,32.40068,-83.33801,GA,31014,PERSONAL,CONFIRMED,T1690975,10:44:00,00:00:00
0,COCHRAN,BLECKLEY,GA,31014,2020-02-10,32.40068,-83.33801,0,GP (),BLECKLEY_GDOT,COCHRAN,BLECKLEY,32.39555,-83.35483,GA,31014,PERSONAL,CONFIRMED,T1690973,10:07:00,00:00:00
0,COCHRAN,BLECKLEY,GA,31014,2020-02-11,32.39555,-83.35483,0,GP (),BLECKLEY_GDOT,COCHRAN,BLECKLEY,32.38943,-83.35137,GA,31014,PERSONAL,CONFIRMED,T1685904,14:10:00,00:00:00
0,COCHRAN,BLECKLEY,GA,31014,2020-02-11,32.38943,-83.35137,0,GP (),BLECKLEY_GDOT,COCHRAN,BLECKLEY,32.39619,-83.34346,GA,31014,PERSONAL,CONFIRMED,T1685903,14:03:00,00:00:00
0,COCHRAN,BLECKLEY,GA,31014,2020-02-11,32.39619,-83.34346,0,GP (),BLECKLEY_GDOT,COCHRAN,BLECKLEY,32.39555,-83.35483,GA,31014,PERSONAL,CONFIRMED,T1685902,13:46:00,00:00:00
0,COCHRAN,BLECKLEY,GA,31014,2020-02-14,32.40068,-83.33801,0,GP (),BLECKLEY_GDOT,COCHRAN,BLECKLEY,32.39555,-83.35483,GA,31014,PERSONAL,CONFIRMED,T1691012,12:14:00,00:00:00
0,COCHRAN,BLECKLEY,GA,31014,2020-02-14,32.39555,-83.35483,0,GP (),BLECKLEY_GDOT,COCHRAN,BLECKLEY,32.40068,-83.33801,GA,31014,PERSONAL,CONFIRMED,T1674679,14:00:00,00:00:00
0,COCHRAN,BLECKLEY,GA,31014,2020-02-18,32.40068,-83.33801,0,GP (),BLECKLEY_GDOT,COCHRAN,BLECKLEY,32.39555,-83.35483,GA,31014,PERSONAL,CONFIRMED,T1684993,11:35:00,00:00:00
0,COCHRAN,BLECKLEY,GA,31014,2020-02-18,32.39555,-83.35483,0,GP (),BLECKLEY_GDOT,COCHRAN,BLECKLEY,32.40068,-83.33801,GA,31014,PERSONAL,CONFIRMED,T1685921,13:05:00,00:00:00
0,COCHRAN,BLECKLEY,GA,31014,2020-02-21,32.38834,-83.35687,0,GP (),BLECKLEY_GDOT,COCHRAN,BLECKLEY,32.40331,-83.36008,GA,31014,PERSONAL,CONFIRMED,T1692222,11:29:00,00:00:00
0,COCHRAN,BLECKLEY,GA,31014,2020-02-21,32.39555,-83.35483,0,GP (),BLECKLEY_GDOT,COCHRAN,BLECKLEY,32.38731,-83.35566,GA,31014,PERSONAL,CONFIRMED,T1692224,11:44:00,00:00:00
0,COCHRAN,BLECKLEY,GA,31014,2020-02-21,32.40331,-83.36008,0,GP (),BLECKLEY_GDOT,COCHRAN,BLECKLEY,32.39555,-83.35483,GA,31014,PERSONAL,CONFIRMED,T1685123,10:47:00,00:00:00
0,COCHRAN,BLECKLEY,GA,31014,2020-02-21,32.38731,-83.35566,0,GP (),BLECKLEY_GDOT,COCHRAN,BLECKLEY,32.38834,-83.35687,GA,31014,PERSONAL,CONFIRMED,T1692223,11:41:00,00:00:00
0,COCHRAN,BLECKLEY,GA,31014,2020-02-24,32.40331,-83.36008,0,GP (),BLECKLEY_GDOT,COCHRAN,BLECKLEY,32.39555,-83.35483,GA,31014,EMPLOYMENT,CONFIRMED,T1690017,09:20:00,00:00:00
0,COCHRAN,BLECKLEY,GA,31014,2020-02-25,32.39619,-83.34346,0,GP (),BLECKLEY_GDOT,COCHRAN,BLECKLEY,32.39555,-83.35483,GA,31014,PERSONAL,CONFIRMED,T1685769,13:36:00,00:00:00
0,COCHRAN,BLECKLEY,GA,31014,2020-02-25,32.40162,-83.33612,0,GP (),BLECKLEY_GDOT,COCHRAN,BLECKLEY,32.39619,-83.34346,GA,31014,PERSONAL,CONFIRMED,T1685770,14:31:00,00:00:00
