ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
58,DARIEN,MCINTOSH,GA,31305,2020-01-02,31.37193,-81.43155,0,5311 (),CAMDEN,SAVANNAH,CHATHAM,32.13816,-81.21755,GA,31408,MULTI-PURPOSE,CONFIRMED,T1510484,15:00:00,00:00:00
0,NA,CAMDEN,GA,31558,2020-03-05,30.7816,-81.61642,0,DFCS (),CAMDEN,NA,CAMDEN,30.75068,-81.57214,GA,31558,MULTI-PURPOSE,CANCELLED,T1690076,00:00:00,10:15:00
5,NA,CAMDEN,GA,31558,2020-03-05,30.75068,-81.57214,0,5311 (),CAMDEN,NA,CAMDEN,30.7816,-81.61642,GA,31558,MEDICAL,CONFIRMED,T1690107,12:30:00,00:00:00
5,NA,CAMDEN,GA,31558,2020-03-05,30.7816,-81.61642,0,5311 (),CAMDEN,NA,CAMDEN,30.75068,-81.57214,GA,31558,MEDICAL,CONFIRMED,T1690106,09:30:00,10:15:00
0,NA,CAMDEN,GA,31558,2020-03-05,30.75068,-81.57214,0,DFCS (),CAMDEN,NA,CAMDEN,30.7816,-81.61642,GA,31558,MULTI-PURPOSE,CANCELLED,T1690083,11:45:00,00:00:00
0,SAVANNAH,CHATHAM,GA,31401,2020-01-03,32.07187,-81.10041,0,DFCS (),CAMDEN,KINGSLAND,CAMDEN,30.79054,-81.67296,GA,31548,MULTI-PURPOSE,CANCELLED,T1539168,00:00:00,17:30:00
0,SAVANNAH,CHATHAM,GA,31401,2020-01-10,32.07187,-81.10041,0,DFCS (),CAMDEN,KINGSLAND,CAMDEN,30.79054,-81.67296,GA,31548,MULTI-PURPOSE,CANCELLED,T1542493,00:00:00,17:30:00
0,SAVANNAH,CHATHAM,GA,31401,2020-01-17,32.07187,-81.10041,0,DFCS (),CAMDEN,KINGSLAND,CAMDEN,30.79054,-81.67296,GA,31548,MULTI-PURPOSE,CANCELLED,T1542494,00:00:00,17:30:00
0,SAVANNAH,CHATHAM,GA,31401,2020-01-24,32.07187,-81.10041,0,DFCS (),CAMDEN,KINGSLAND,CAMDEN,30.79054,-81.67296,GA,31548,MULTI-PURPOSE,CANCELLED,T1542496,00:00:00,17:30:00
0,SAVANNAH,CHATHAM,GA,31401,2020-01-31,32.07187,-81.10041,0,DFCS (),CAMDEN,KINGSLAND,CAMDEN,30.79054,-81.67296,GA,31548,MULTI-PURPOSE,CANCELLED,T1542498,00:00:00,17:30:00
0,SAVANNAH,CHATHAM,GA,31401,2020-02-07,32.07187,-81.10041,0,DFCS (),CAMDEN,KINGSLAND,CAMDEN,30.79054,-81.67296,GA,31548,MULTI-PURPOSE,CANCELLED,T1610988,00:00:00,17:30:00
0,SAVANNAH,CHATHAM,GA,31401,2020-02-14,32.07187,-81.10041,0,DFCS (),CAMDEN,KINGSLAND,CAMDEN,30.79054,-81.67296,GA,31548,MULTI-PURPOSE,CANCELLED,T1610990,00:00:00,17:30:00
0,SAVANNAH,CHATHAM,GA,31401,2020-02-21,32.07187,-81.10041,0,DFCS (),CAMDEN,KINGSLAND,CAMDEN,30.79054,-81.67296,GA,31548,MULTI-PURPOSE,CANCELLED,T1610991,00:00:00,17:30:00
0,SAVANNAH,CHATHAM,GA,31401,2020-02-28,32.07187,-81.10041,0,DFCS (),CAMDEN,KINGSLAND,CAMDEN,30.79054,-81.67296,GA,31548,MULTI-PURPOSE,CANCELLED,T1610992,00:00:00,17:30:00
2,BRUNSWICK,GLYNN,GA,31520,2020-01-17,31.21834,-81.49415,0,AGE (),CAMDEN,BRUNSWICK,GLYNN,31.24616,-81.50213,GA,31525,NUTRITION,CONFIRMED,T1574275,11:45:00,00:00:00
28,WOODBINE,CAMDEN,GA,31569,2020-01-17,30.95408,-81.7177,0,AGE (),CAMDEN,BRUNSWICK,GLYNN,31.21834,-81.49415,GA,31520,NUTRITION,CONFIRMED,T1574276,13:00:00,00:00:00
27,BRUNSWICK,GLYNN,GA,31525,2020-01-17,31.24616,-81.50213,0,AGE (),CAMDEN,WOODBINE,CAMDEN,30.95408,-81.7177,GA,31569,NUTRITION,CONFIRMED,T1574274,09:40:00,00:00:00
-83409,WOODBINE,CAMDEN,GA,31569,2020-02-21,30.95408,-81.7177,0,AGE (),CAMDEN,BRUNSWICK,GLYNN,31.21834,-81.49415,GA,31520,NUTRITION,NO SHOW,T1654686,13:00:00,00:00:00
