ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
21,VILLA RICA,CARROLL,GA,30180,2020-01-28,33.75385,-84.92605,0,PUTR (),CARROLL,CARROLLTON,CARROLL,33.57111,-85.09664,GA,30117,GOVERNMENT AGENCY,CONFIRMED,T1592995,12:00:00,00:00:00
22,CARROLLTON,CARROLL,GA,30117,2020-01-28,33.57111,-85.09664,0,PUTR (),CARROLL,VILLA RICA,CARROLL,33.75385,-84.92605,GA,30180,GOVERNMENT AGENCY,CONFIRMED,T1592994,00:00:00,09:30:00
0,CARROLLTON,CARROLL,GA,30117,2020-03-16,33.63899,-85.17024,0,PUTR (),CARROLL,WHITESBURG,CARROLL,33.49049,-84.91271,GA,30185,NUTRITION,CANCELLED,T1711083,11:30:00,00:00:00
-60441,WHITESBURG,CARROLL,GA,30185,2020-03-16,33.49049,-84.91271,0,PUTR (),CARROLL,CARROLLTON,CARROLL,33.63899,-85.17024,GA,30117,NUTRITION,NO SHOW,T1711082,09:30:00,10:00:00
0,CARROLLTON,CARROLL,GA,30117,2020-01-13,33.58187,-85.05072,0,PUTR (),CARROLL,CARROLLTON,CARROLL,33.55306,-85.07329,GA,30117,MEDICAL,CANCELLED,T1560102,11:30:00,00:00:00
0,CARROLLTON,CARROLL,GA,30117,2020-01-13,33.55306,-85.07329,0,PUTR (),CARROLL,CARROLLTON,CARROLL,33.58187,-85.05072,GA,30117,MEDICAL,NO SHOW,T1560101,09:30:00,10:00:00
4,CARROLLTON,CARROLL,GA,30117,2020-01-22,33.58187,-85.05072,0,PUTR (),CARROLL,CARROLLTON,CARROLL,33.56895,-85.07572,GA,30117,MEDICAL,CONFIRMED,T1581112,14:30:00,00:00:00
0,CARROLLTON,CARROLL,GA,30117,2020-01-22,33.56895,-85.07572,0,PUTR (),CARROLL,CARROLLTON,CARROLL,33.58187,-85.05072,GA,30117,MEDICAL,CONFIRMED,T1581111,13:00:00,13:30:00
0,CARROLLTON,CARROLL,GA,30117,2020-02-10,33.57054,-85.07245,0,PUTR (),CARROLL,CARROLLTON,CARROLL,33.58187,-85.05072,GA,30117,MEDICAL,CANCELLED,T1615608,09:30:00,10:00:00
0,CARROLLTON,CARROLL,GA,30117,2020-02-10,33.58187,-85.05072,0,PUTR (),CARROLL,CARROLLTON,CARROLL,33.57054,-85.07245,GA,30117,MEDICAL,CANCELLED,T1615609,12:00:00,00:00:00
