ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,CEDARTOWN,POLK,GA,30125,2020-01-27,34.01127,-85.26081,0,NUT (),CEDARTOWN_GDOT,CEDARTOWN,POLK,34.02678,-85.26756,GA,30125,NUTRITION,CANCELLED,T1595636,00:00:00,00:00:00
0,CEDARTOWN,POLK,GA,30125,2020-01-27,34.02678,-85.26756,0,NUT (),CEDARTOWN_GDOT,CEDARTOWN,POLK,34.01127,-85.26081,GA,30125,NUTRITION,CANCELLED,T1595634,08:00:00,00:00:00
0,CEDARTOWN,POLK,GA,30125,2020-01-28,34.02678,-85.26756,0,NUT (),CEDARTOWN_GDOT,CEDARTOWN,POLK,34.01127,-85.26081,GA,30125,NUTRITION,CONFIRMED,T1595637,08:00:00,00:00:00
0,CEDARTOWN,POLK,GA,30125,2020-01-28,34.01127,-85.26081,0,NUT (),CEDARTOWN_GDOT,CEDARTOWN,POLK,34.02678,-85.26756,GA,30125,NUTRITION,CONFIRMED,T1595638,00:00:00,00:00:00
0,CEDARTOWN,POLK,GA,30125,2020-02-19,34.01127,-85.26081,0,NUT (),CEDARTOWN_GDOT,CEDARTOWN,POLK,34.02678,-85.26756,GA,30125,NUTRITION,CANCELLED,T1651397,12:04:00,00:00:00
0,CEDARTOWN,POLK,GA,30125,2020-02-19,34.02678,-85.26756,0,NUT (),CEDARTOWN_GDOT,CEDARTOWN,POLK,34.01127,-85.26081,GA,30125,NUTRITION,CANCELLED,T1651396,08:04:00,00:00:00
0,CEDARTOWN,POLK,GA,30125,2020-06-16,34.01127,-85.26081,0,PBT (),CEDARTOWN_GDOT,CEDARTOWN,POLK,34.02205,-85.25146,GA,30125,MEDICAL,CONFIRMED,T1890279,00:00:00,00:00:00
0,CEDARTOWN,POLK,GA,30125,2020-06-16,34.02205,-85.25146,0,PBT (),CEDARTOWN_GDOT,CEDARTOWN,POLK,34.01127,-85.26081,GA,30125,MEDICAL,CONFIRMED,T1890278,12:15:00,00:00:00
0,CEDARTOWN,POLK,GA,30125,2020-01-10,34.03213,-85.23136,0,PBT (),CEDARTOWN_GDOT,CEDARTOWN,POLK,34.016,-85.2162,GA,30125,GOVERNMENT AGENCY,CONFIRMED,T1555959,00:00:00,00:00:00
0,CEDARTOWN,POLK,GA,30125,2020-01-10,34.016,-85.2162,0,PBT (),CEDARTOWN_GDOT,CEDARTOWN,POLK,34.03213,-85.23136,GA,30125,GOVERNMENT AGENCY,CONFIRMED,T1555958,10:00:00,00:00:00
0,CEDARTOWN,POLK,GA,30125,2020-02-11,34.03213,-85.23136,0,PBT (),CEDARTOWN_GDOT,CEDARTOWN,POLK,34.016,-85.2162,GA,30125,GOVERNMENT AGENCY,CONFIRMED,T1628640,00:00:00,00:00:00
0,CEDARTOWN,POLK,GA,30125,2020-02-11,34.016,-85.2162,0,PBT (),CEDARTOWN_GDOT,CEDARTOWN,POLK,34.03213,-85.23136,GA,30125,GOVERNMENT AGENCY,CONFIRMED,T1628639,08:45:00,00:00:00
