ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
62,MACON,MACON-BIBB,GA,31211,2020-01-09,32.8492,-83.62509,0,3 (),CRAWFORD_GDOT,ROBERTA,CRAWFORD,32.72214,-84.017080000000007,GA,31078,MEDICAL,CONFIRMED,T2286328,00:00:00,09:00:00
53,ROBERTA,CRAWFORD,GA,31078,2020-01-09,32.72214,-84.017080000000007,0,3 (),CRAWFORD_GDOT,MACON,MACON-BIBB,32.8492,-83.62509,GA,31211,MEDICAL,CONFIRMED,T2286329,00:00:00,12:00:00
33,ROBERTA,CRAWFORD,GA,31078,2020-01-21,32.72214,-84.017080000000007,0,3 (),CRAWFORD_GDOT,MACON,MACON-BIBB,32.8492,-83.62509,GA,31211,MEDICAL,CONFIRMED,T2326584,00:00:00,12:00:00
45,MACON,MACON-BIBB,GA,31211,2020-01-21,32.8492,-83.62509,0,3 (),CRAWFORD_GDOT,ROBERTA,CRAWFORD,32.72214,-84.017080000000007,GA,31078,MEDICAL,CONFIRMED,T2326583,00:00:00,09:00:00
33,ROBERTA,CRAWFORD,GA,31078,2020-02-14,32.72214,-84.017080000000007,0,3 (),CRAWFORD_GDOT,MACON,MACON-BIBB,32.8492,-83.62509,GA,31211,MEDICAL,CONFIRMED,T2455698,00:00:00,12:00:00
29,MACON,MACON-BIBB,GA,31211,2020-02-14,32.8492,-83.62509,0,3 (),CRAWFORD_GDOT,ROBERTA,CRAWFORD,32.72214,-84.017080000000007,GA,31078,MEDICAL,CONFIRMED,T2455697,00:00:00,09:00:00
49,ROBERTA,CRAWFORD,GA,31078,2020-02-21,32.72214,-84.017080000000007,0,3 (),CRAWFORD_GDOT,MACON,MACON-BIBB,32.8492,-83.62509,GA,31211,MEDICAL,CONFIRMED,T2488841,00:00:00,12:00:00
43,MACON,MACON-BIBB,GA,31211,2020-02-21,32.8492,-83.62509,0,3 (),CRAWFORD_GDOT,ROBERTA,CRAWFORD,32.72214,-84.017080000000007,GA,31078,MEDICAL,CONFIRMED,T2488840,00:00:00,09:00:00
0,MACON,MACON-BIBB,GA,31211,2020-03-06,32.8492,-83.62509,0,3 (),CRAWFORD_GDOT,ROBERTA,CRAWFORD,32.72214,-84.017080000000007,GA,31078,MEDICAL,CANCELLED,T2559696,00:00:00,09:00:00
0,ROBERTA,CRAWFORD,GA,31078,2020-03-06,32.72214,-84.017080000000007,0,3 (),CRAWFORD_GDOT,MACON,MACON-BIBB,32.8492,-83.62509,GA,31211,MEDICAL,CANCELLED,T2559699,00:00:00,12:00:00
