ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,TRENTON,DADE,GA,30752,2020-03-20,34.86865,-85.52495,0,PBT (),DADE_GDOT,TRENTON,DADE,34.86089,-85.51751,GA,30752,SHOPPING,CANCELLED,T2633689,08:30:00,08:45:00
0,TRENTON,DADE,GA,30752,2020-03-20,34.86089,-85.51751,0,PBT (),DADE_GDOT,TRENTON,DADE,34.86831,-85.51818,GA,30752,SHOPPING,CANCELLED,T2633692,10:30:00,10:45:00
0,TRENTON,DADE,GA,30752,2020-03-20,34.86831,-85.51818,0,PBT (),DADE_GDOT,TRENTON,DADE,34.86865,-85.52495,GA,30752,SHOPPING,CANCELLED,T2633691,09:30:00,09:45:00
8,TRENTON,DADE,GA,30752,2020-04-14,34.91841,-85.48994,0,PBT (),DADE_GDOT,TRENTON,DADE,34.87893,-85.50544,GA,30752,PERSONAL,CONFIRMED,T2733164,16:30:00,17:00:00
1,TRENTON,DADE,GA,30752,2020-04-15,34.89208,-85.4971,0,PBT (),DADE_GDOT,TRENTON,DADE,34.83503,-85.5256,GA,30752,PERSONAL,CONFIRMED,T2736057,12:00:00,12:15:00
1,TRENTON,DADE,GA,30752,2020-04-15,34.87147,-85.50964,0,PBT (),DADE_GDOT,TRENTON,DADE,34.89208,-85.4971,GA,30752,PERSONAL,CONFIRMED,T2736058,12:30:00,13:00:00
4,TRENTON,DADE,GA,30752,2020-04-15,34.91841,-85.48995,0,PBT (),DADE_GDOT,TRENTON,DADE,34.87893,-85.50544,GA,30752,PERSONAL,CONFIRMED,T2736060,14:00:00,14:15:00
21,TRENTON,DADE,GA,30752,2020-04-15,34.83503,-85.5256,0,PBT (),DADE_GDOT,TRENTON,DADE,34.91841,-85.48994,GA,30752,PERSONAL,CONFIRMED,T2733266,09:00:00,09:30:00
1,TRENTON,DADE,GA,30752,2020-04-15,34.87893,-85.50544,0,PBT (),DADE_GDOT,TRENTON,DADE,34.87147,-85.50964,GA,30752,PERSONAL,CONFIRMED,T2736059,13:15:00,13:20:00
3,TRENTON,DADE,GA,30752,2020-04-15,34.91841,-85.48994,0,PBT (),DADE_GDOT,TRENTON,DADE,34.83503,-85.5256,GA,30752,PERSONAL,CONFIRMED,T2733270,10:00:00,14:30:00
