ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,EASTMAN,DODGE,GA,31023,2020-01-31,32.19485,-83.17396,0,5311 (),DODGE_GDOT,EASTMAN,DODGE,32.19698,-83.17765,GA,NA,SHOPPING,CONFIRMED,T1607812,14:00:00,00:00:00
0,EASTMAN,DODGE,GA,31023,2020-01-31,32.18878,-83.1726,0,5311 (),DODGE_GDOT,EASTMAN,DODGE,32.19485,-83.17396,GA,31023,SHOPPING,CONFIRMED,T1607804,09:00:00,00:00:00
0,EASTMAN,DODGE,GA,31023,2020-01-31,32.17849,-83.17992,0,5311 (),DODGE_GDOT,EASTMAN,DODGE,32.18878,-83.1726,GA,31023,SHOPPING,CONFIRMED,T1607805,09:20:00,00:00:00
0,EASTMAN,DODGE,GA,31023,2020-01-31,32.21132,-83.19349,0,5311 (),DODGE_GDOT,EASTMAN,DODGE,32.17849,-83.17992,GA,31023,SHOPPING,CONFIRMED,T1607806,10:15:00,00:00:00
0,EASTMAN,DODGE,GA,NA,2020-01-31,32.21158,-83.19385,0,5311 (),DODGE_GDOT,EASTMAN,DODGE,32.21132,-83.19349,GA,31023,SHOPPING,CONFIRMED,T1607807,11:25:00,00:00:00
0,EASTMAN,DODGE,GA,31023,2020-01-31,32.19849,-83.17781,0,5311 (),DODGE_GDOT,EASTMAN,DODGE,32.21158,-83.19385,GA,NA,SHOPPING,CONFIRMED,T1607808,11:50:00,00:00:00
0,EASTMAN,DODGE,GA,NA,2020-01-31,32.19698,-83.17765,0,5311 (),DODGE_GDOT,EASTMAN,DODGE,32.19849,-83.17781,GA,31023,SHOPPING,CONFIRMED,T1607811,13:35:00,00:00:00
1,EASTMAN,DODGE,GA,31023,2020-02-28,32.19485,-83.17396,0,5311 (),DODGE_GDOT,EASTMAN,DODGE,32.19247,-83.18022,GA,31023,SHOPPING,CONFIRMED,T1674045,14:50:00,00:00:00
1,EASTMAN,DODGE,GA,31023,2020-02-28,32.19516,-83.1763,0,5311 (),DODGE_GDOT,EASTMAN,DODGE,32.19485,-83.17396,GA,31023,SHOPPING,CONFIRMED,T1674025,08:45:00,00:00:00
1,EASTMAN,DODGE,GA,31023,2020-02-28,32.19754,-83.17835,0,5311 (),DODGE_GDOT,EASTMAN,DODGE,32.19516,-83.1763,GA,31023,SHOPPING,CONFIRMED,T1674028,09:15:00,00:00:00
2,EASTMAN,DODGE,GA,31023,2020-02-28,32.19208,-83.17467,0,5311 (),DODGE_GDOT,EASTMAN,DODGE,32.19754,-83.17835,GA,31023,SHOPPING,CONFIRMED,T1674034,09:30:00,00:00:00
1,EASTMAN,DODGE,GA,NA,2020-02-28,32.21165,-83.19397,0,5311 (),DODGE_GDOT,EASTMAN,DODGE,32.19208,-83.17467,GA,31023,SHOPPING,CONFIRMED,T1674035,10:35:00,00:00:00
1,EASTMAN,DODGE,GA,31023,2020-02-28,32.21147,-83.19369,0,5311 (),DODGE_GDOT,EASTMAN,DODGE,32.21165,-83.19397,GA,NA,SHOPPING,CONFIRMED,T1674037,11:55:00,00:00:00
4,EASTMAN,DODGE,GA,31023,2020-02-28,32.19247,-83.18022,0,5311 (),DODGE_GDOT,EASTMAN,DODGE,32.21168,-83.194,GA,31023,SHOPPING,CONFIRMED,T1674043,14:40:00,00:00:00
