ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
-95393,SPRINGFIELD,EFFINGHAM,GA,31329,2020-01-02,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,NO SHOW,T1538872,07:59:00,07:30:00
0,GUYTON,EFFINGHAM,GA,31312,2020-01-02,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CANCELLED,T1538874,13:30:00,00:00:00
-95977,SPRINGFIELD,EFFINGHAM,GA,31329,2020-01-08,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,NO SHOW,T1553531,07:00:00,07:30:00
28,SPRINGFIELD,EFFINGHAM,GA,31329,2020-01-08,32.36472,-81.30592,0,AGE (),EFFINGHAM,RINCON,EFFINGHAM,32.27514,-81.22857,GA,31326,ADULT DAYCARE,CONFIRMED,T1553533,13:30:00,00:00:00
10,RINCON,EFFINGHAM,GA,31326,2020-01-08,32.27514,-81.22857,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CONFIRMED,T1553532,11:45:00,00:00:00
-96887,SPRINGFIELD,EFFINGHAM,GA,31329,2020-01-15,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,NO SHOW,T1569303,07:59:00,07:30:00
0,GUYTON,EFFINGHAM,GA,31312,2020-01-15,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CANCELLED,T1569306,13:30:00,00:00:00
0,GUYTON,EFFINGHAM,GA,31312,2020-01-22,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CANCELLED,T1584608,13:30:00,00:00:00
-97528,SPRINGFIELD,EFFINGHAM,GA,31329,2020-01-22,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,NO SHOW,T1584607,07:42:00,07:30:00
-98496,GUYTON,EFFINGHAM,GA,31312,2020-01-29,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,NO SHOW,T1602075,13:30:00,00:00:00
-98424,SPRINGFIELD,EFFINGHAM,GA,31329,2020-01-29,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,NO SHOW,T1602074,07:42:00,07:30:00
0,GUYTON,EFFINGHAM,GA,31312,2020-02-05,32.27499,-81.39308,0,AGE (),EFFINGHAM,RINCON,EFFINGHAM,32.27432,-81.22596,GA,31326,ADULT DAYCARE,CANCELLED,T1620890,13:30:00,00:00:00
0,SPRINGFIELD,EFFINGHAM,GA,31329,2020-02-05,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,CANCELLED,T1620888,08:04:00,07:30:00
0,RINCON,EFFINGHAM,GA,31326,2020-02-05,32.27432,-81.22596,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CANCELLED,T1620889,11:45:00,00:00:00
32,GUYTON,EFFINGHAM,GA,31312,2020-02-12,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CONFIRMED,T1635157,13:30:00,00:00:00
39,SPRINGFIELD,EFFINGHAM,GA,31329,2020-02-12,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,CONFIRMED,T1635155,08:12:00,07:30:00
35,SPRINGFIELD,EFFINGHAM,GA,31329,2020-02-19,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,CONFIRMED,T1651707,08:03:00,07:30:00
19,GUYTON,EFFINGHAM,GA,31312,2020-02-19,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CONFIRMED,T1651709,13:30:00,00:00:00
0,GUYTON,EFFINGHAM,GA,31312,2020-02-26,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CANCELLED,T1669029,13:30:00,00:00:00
-217287,SPRINGFIELD,EFFINGHAM,GA,31329,2020-02-26,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,NO SHOW,T1669026,08:09:00,07:30:00
14,SPRINGFIELD,EFFINGHAM,GA,31329,2020-03-04,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,CONFIRMED,T1684916,07:42:00,07:30:00
20,GUYTON,EFFINGHAM,GA,31312,2020-03-04,32.27499,-81.39308,0,AGE (),EFFINGHAM,RINCON,EFFINGHAM,32.27514,-81.22857,GA,31326,ADULT DAYCARE,CONFIRMED,T1684918,13:30:00,00:00:00
9,RINCON,EFFINGHAM,GA,31326,2020-03-04,32.27514,-81.22857,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CONFIRMED,T1684917,11:30:00,00:00:00
-75816,SPRINGFIELD,EFFINGHAM,GA,31329,2020-03-11,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,NO SHOW,T1701851,08:03:00,07:30:00
-75918,GUYTON,EFFINGHAM,GA,31312,2020-03-11,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,NO SHOW,T1701852,13:30:00,00:00:00
0,SPRINGFIELD,EFFINGHAM,GA,31329,2020-03-18,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,NO SHOW,T1711771,07:42:00,07:30:00
0,GUYTON,EFFINGHAM,GA,31312,2020-03-18,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CANCELLED,T1711772,13:30:00,00:00:00
0,SPRINGFIELD,EFFINGHAM,GA,31329,2020-03-25,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,CANCELLED,T1727301,00:00:00,07:30:00
0,GUYTON,EFFINGHAM,GA,31312,2020-03-25,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CANCELLED,T1727302,13:30:00,00:00:00
0,GUYTON,EFFINGHAM,GA,31312,2020-04-01,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CANCELLED,T1737805,13:30:00,00:00:00
0,SPRINGFIELD,EFFINGHAM,GA,31329,2020-04-01,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,CANCELLED,T1737804,00:00:00,07:30:00
0,SPRINGFIELD,EFFINGHAM,GA,31329,2020-04-08,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,CANCELLED,T1751352,00:00:00,07:30:00
0,GUYTON,EFFINGHAM,GA,31312,2020-04-08,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CANCELLED,T1751353,13:30:00,00:00:00
0,SPRINGFIELD,EFFINGHAM,GA,31329,2020-04-15,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,CANCELLED,T1769801,00:00:00,07:30:00
0,GUYTON,EFFINGHAM,GA,31312,2020-04-15,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CANCELLED,T1769802,13:30:00,00:00:00
0,GUYTON,EFFINGHAM,GA,31312,2020-04-22,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CANCELLED,T1783734,13:30:00,00:00:00
0,SPRINGFIELD,EFFINGHAM,GA,31329,2020-04-22,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,CANCELLED,T1783733,00:00:00,07:30:00
0,SPRINGFIELD,EFFINGHAM,GA,31329,2020-04-29,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,CANCELLED,T1798075,00:00:00,07:30:00
0,GUYTON,EFFINGHAM,GA,31312,2020-04-29,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CANCELLED,T1798076,13:30:00,00:00:00
0,GUYTON,EFFINGHAM,GA,31312,2020-05-06,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CANCELLED,T1813377,13:30:00,00:00:00
0,SPRINGFIELD,EFFINGHAM,GA,31329,2020-05-06,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,CANCELLED,T1813376,00:00:00,07:30:00
0,GUYTON,EFFINGHAM,GA,31312,2020-05-13,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CANCELLED,T1826583,13:30:00,00:00:00
0,SPRINGFIELD,EFFINGHAM,GA,31329,2020-05-13,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,CANCELLED,T1826582,00:00:00,07:30:00
0,SPRINGFIELD,EFFINGHAM,GA,31329,2020-05-20,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,CANCELLED,T1841023,00:00:00,07:30:00
0,GUYTON,EFFINGHAM,GA,31312,2020-05-20,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CANCELLED,T1841024,13:30:00,00:00:00
0,SPRINGFIELD,EFFINGHAM,GA,31329,2020-05-27,32.36472,-81.30592,0,AGE (),EFFINGHAM,GUYTON,EFFINGHAM,32.27499,-81.39308,GA,31312,ADULT DAYCARE,CANCELLED,T1844954,00:00:00,07:30:00
0,GUYTON,EFFINGHAM,GA,31312,2020-05-27,32.27499,-81.39308,0,AGE (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.36472,-81.30592,GA,31329,ADULT DAYCARE,CANCELLED,T1844955,13:30:00,00:00:00
0,GUYTON,EFFINGHAM,GA,31312,2020-01-01,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CANCELLED,T1515886,15:15:00,00:00:00
0,GUYTON,EFFINGHAM,GA,31312,2020-01-02,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CANCELLED,T1515887,15:15:00,00:00:00
0,GUYTON,EFFINGHAM,GA,31312,2020-01-03,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CANCELLED,T1515888,15:15:00,00:00:00
35,GUYTON,EFFINGHAM,GA,31312,2020-01-06,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CONFIRMED,T1537429,15:15:00,00:00:00
34,GUYTON,EFFINGHAM,GA,31312,2020-01-07,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CONFIRMED,T1546414,15:15:00,00:00:00
37,GUYTON,EFFINGHAM,GA,31312,2020-01-08,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CONFIRMED,T1548440,15:15:00,00:00:00
24,GUYTON,EFFINGHAM,GA,31312,2020-01-09,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CONFIRMED,T1549998,15:15:00,00:00:00
0,GUYTON,EFFINGHAM,GA,31312,2020-01-10,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CANCELLED,T1552574,15:15:00,00:00:00
27,GUYTON,EFFINGHAM,GA,31312,2020-01-13,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CONFIRMED,T1556557,15:15:00,00:00:00
26,GUYTON,EFFINGHAM,GA,31312,2020-01-14,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CONFIRMED,T1559027,15:15:00,00:00:00
20,GUYTON,EFFINGHAM,GA,31312,2020-01-15,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CONFIRMED,T1565917,15:15:00,00:00:00
37,GUYTON,EFFINGHAM,GA,31312,2020-01-16,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CONFIRMED,T1568429,15:15:00,00:00:00
0,GUYTON,EFFINGHAM,GA,31312,2020-01-17,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CANCELLED,T1569891,15:15:00,00:00:00
0,GUYTON,EFFINGHAM,GA,31312,2020-01-20,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CANCELLED,T1573513,15:15:00,00:00:00
31,GUYTON,EFFINGHAM,GA,31312,2020-01-21,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CONFIRMED,T1570497,15:15:00,00:00:00
34,GUYTON,EFFINGHAM,GA,31312,2020-01-22,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CONFIRMED,T1581165,15:15:00,00:00:00
15,GUYTON,EFFINGHAM,GA,31312,2020-01-23,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CONFIRMED,T1583738,15:15:00,00:00:00
-102284,GUYTON,EFFINGHAM,GA,31312,2020-01-24,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,NO SHOW,T1587282,15:15:00,00:00:00
26,GUYTON,EFFINGHAM,GA,31312,2020-01-27,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CONFIRMED,T1588530,15:15:00,00:00:00
10,GUYTON,EFFINGHAM,GA,31312,2020-01-28,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CONFIRMED,T1589462,15:15:00,00:00:00
31,GUYTON,EFFINGHAM,GA,31312,2020-01-29,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CONFIRMED,T1590087,15:35:00,00:00:00
44,GUYTON,EFFINGHAM,GA,31312,2020-01-30,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CONFIRMED,T1600675,15:15:00,00:00:00
0,GUYTON,EFFINGHAM,GA,31312,2020-01-31,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CANCELLED,T1601267,15:15:00,00:00:00
0,GUYTON,EFFINGHAM,GA,31312,2020-02-03,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CANCELLED,T1604621,15:15:00,00:00:00
-214807,GUYTON,EFFINGHAM,GA,31312,2020-02-04,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,NO SHOW,T1613523,15:15:00,00:00:00
0,GUYTON,EFFINGHAM,GA,31312,2020-02-05,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CANCELLED,T1615801,15:15:00,00:00:00
0,GUYTON,EFFINGHAM,GA,31312,2020-02-06,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CANCELLED,T1611450,15:15:00,00:00:00
0,GUYTON,EFFINGHAM,GA,31312,2020-02-07,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CANCELLED,T1612059,15:15:00,00:00:00
0,GUYTON,EFFINGHAM,GA,31312,2020-02-10,32.24727,-81.37557,0,5311 (),EFFINGHAM,SPRINGFIELD,EFFINGHAM,32.37343,-81.31588,GA,31329,EDUCATION,CANCELLED,T1618991,15:15:00,00:00:00
