ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,BLUE RIDGE,FANNIN,GA,30513,2020-01-06,34.885,-84.29644,0,4 (),FANNIN_GDOT,BLUE RIDGE,FANNIN,34.87804,-84.30231,GA,30513,MEDICAL,CANCELLED,T2269268,10:30:00,00:00:00
0,BLUE RIDGE,FANNIN,GA,30513,2020-01-06,34.87804,-84.30231,0,4 (),FANNIN_GDOT,BLUE RIDGE,FANNIN,34.885,-84.29644,GA,30513,MEDICAL,CANCELLED,T2269267,08:15:00,09:15:00
0,BLUE RIDGE,FANNIN,GA,30513,2020-01-15,34.87804,-84.30231,0,4 (),FANNIN_GDOT,BLUE RIDGE,FANNIN,34.885,-84.29644,GA,30513,MEDICAL,CONFIRMED,T2314132,08:30:00,00:00:00
0,BLUE RIDGE,FANNIN,GA,30513,2020-01-15,34.87708,-84.32572,0,4 (),FANNIN_GDOT,BLUE RIDGE,FANNIN,34.87804,-84.30231,GA,30513,SHOPPING,CONFIRMED,T2314136,10:30:00,00:00:00
0,BLUE RIDGE,FANNIN,GA,30513,2020-05-11,34.885,-84.29644,0,4 (),FANNIN_GDOT,BLUE RIDGE,FANNIN,34.87804,-84.30231,GA,30513,MEDICAL,CANCELLED,T2805659,10:00:00,00:00:00
0,BLUE RIDGE,FANNIN,GA,30513,2020-05-11,34.87804,-84.30231,0,4 (),FANNIN_GDOT,BLUE RIDGE,FANNIN,34.885,-84.29644,GA,30513,MEDICAL,CANCELLED,T2805658,08:30:00,09:00:00
-106698,BLUE RIDGE,FANNIN,GA,30513,2020-07-02,34.87804,-84.30231,0,4 (),FANNIN_GDOT,BLUE RIDGE,FANNIN,34.885,-84.29644,GA,30513,MEDICAL,CONFIRMED,T2977566,08:50:00,09:15:00
1,BLUE RIDGE,FANNIN,GA,30513,2020-07-02,34.885,-84.29644,0,4 (),FANNIN_GDOT,BLUE RIDGE,FANNIN,34.87804,-84.30231,GA,30513,MEDICAL,CONFIRMED,T2977567,10:15:00,00:00:00
0,BLUE RIDGE,FANNIN,GA,30513,2020-07-16,34.87804,-84.30231,0,4 (),FANNIN_GDOT,BLUE RIDGE,FANNIN,34.885,-84.29644,GA,30513,MEDICAL,CONFIRMED,T3023480,09:00:00,00:00:00
0,BLUE RIDGE,FANNIN,GA,30513,2020-07-16,34.87708,-84.32572,0,4 (),FANNIN_GDOT,BLUE RIDGE,FANNIN,34.87804,-84.30231,GA,30513,SHOPPING,CONFIRMED,T3023481,09:15:00,00:00:00
2,BLUE RIDGE,FANNIN,GA,30513,2020-07-16,34.885,-84.29644,0,4 (),FANNIN_GDOT,BLUE RIDGE,FANNIN,34.87708,-84.32572,GA,30513,SHOPPING,CONFIRMED,T3023482,10:30:00,00:00:00
0,BLUE RIDGE,FANNIN,GA,30513,2020-07-20,34.87804,-84.30231,0,4 (),FANNIN_GDOT,BLUE RIDGE,FANNIN,34.885,-84.29644,GA,30513,MEDICAL,CONFIRMED,T3035487,09:15:00,00:00:00
0,BLUE RIDGE,FANNIN,GA,30513,2020-07-20,34.885,-84.29644,0,4 (),FANNIN_GDOT,BLUE RIDGE,FANNIN,34.87804,-84.30231,GA,30513,MEDICAL,CONFIRMED,T3035488,10:30:00,00:00:00
0,BLUE RIDGE,FANNIN,GA,30513,2020-07-31,34.885,-84.29644,0,4 (),FANNIN_GDOT,BLUE RIDGE,FANNIN,34.87804,-84.30231,GA,30513,MEDICAL,CANCELLED,T3072634,10:30:00,00:00:00
0,BLUE RIDGE,FANNIN,GA,30513,2020-07-31,34.87804,-84.30231,0,4 (),FANNIN_GDOT,BLUE RIDGE,FANNIN,34.885,-84.29644,GA,30513,MEDICAL,CANCELLED,T3072632,09:00:00,00:00:00
