ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,CUMMING,FORSYTH,GA,30040,2020-03-17,34.22385,-84.14128,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20985,-84.13432,GA,30040,ADULT DAYCARE,CANCELLED,T2606305,15:00:00,00:00:00
0,CUMMING,FORSYTH,GA,30040,2020-03-19,34.22385,-84.14128,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20985,-84.13432,GA,30040,ADULT DAYCARE,CANCELLED,T2606306,15:00:00,00:00:00
0,CUMMING,FORSYTH,GA,30040,2020-03-24,34.22385,-84.14128,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20985,-84.13432,GA,30040,ADULT DAYCARE,CANCELLED,T2606311,15:00:00,00:00:00
0,CUMMING,FORSYTH,GA,30040,2020-03-26,34.22385,-84.14128,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20985,-84.13432,GA,30040,ADULT DAYCARE,CANCELLED,T2606315,15:00:00,00:00:00
3,CUMMING,FORSYTH,GA,30041,2020-01-02,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20654,-84.13322,GA,30040,MEDICAL,CONFIRMED,T2060488,12:15:00,12:45:00
6,CUMMING,FORSYTH,GA,30040,2020-01-02,34.20654,-84.13322,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CONFIRMED,T2060486,10:30:00,11:00:00
30,CUMMING,FORSYTH,GA,30041,2020-01-09,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20654,-84.13322,GA,30040,MEDICAL,CONFIRMED,T2174548,12:15:00,12:45:00
1,CUMMING,FORSYTH,GA,30040,2020-01-09,34.20654,-84.13322,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CONFIRMED,T2174547,10:30:00,11:00:00
3,CUMMING,FORSYTH,GA,30040,2020-01-16,34.20654,-84.13322,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CONFIRMED,T2175512,10:30:00,11:00:00
7,CUMMING,FORSYTH,GA,30041,2020-01-16,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20654,-84.13322,GA,30040,MEDICAL,CONFIRMED,T2175513,12:15:00,12:45:00
5,CUMMING,FORSYTH,GA,30041,2020-01-23,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20654,-84.13322,GA,30040,MEDICAL,CONFIRMED,T2175867,12:15:00,12:45:00
6,CUMMING,FORSYTH,GA,30040,2020-01-23,34.20654,-84.13322,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CONFIRMED,T2175866,10:30:00,11:00:00
3,CUMMING,FORSYTH,GA,30041,2020-01-30,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20654,-84.13322,GA,30040,MEDICAL,CONFIRMED,T2176211,12:15:00,12:45:00
5,CUMMING,FORSYTH,GA,30040,2020-01-30,34.20654,-84.13322,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CONFIRMED,T2176210,10:30:00,11:00:00
0,CUMMING,FORSYTH,GA,30040,2020-02-06,34.20654,-84.13322,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CANCELLED,T2246801,10:30:00,00:00:00
0,CUMMING,FORSYTH,GA,30041,2020-02-06,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20654,-84.13322,GA,30040,MEDICAL,CANCELLED,T2246802,12:15:00,00:00:00
0,CUMMING,FORSYTH,GA,30041,2020-02-13,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20654,-84.13322,GA,30040,MEDICAL,CANCELLED,T2247067,12:15:00,12:45:00
4,CUMMING,FORSYTH,GA,30040,2020-02-13,34.20654,-84.13322,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CONFIRMED,T2247066,10:30:00,11:00:00
0,CUMMING,FORSYTH,GA,30040,2020-02-20,34.20654,-84.13322,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CANCELLED,T2247329,10:30:00,00:00:00
0,CUMMING,FORSYTH,GA,30041,2020-02-20,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20654,-84.13322,GA,30040,MEDICAL,CANCELLED,T2247330,12:15:00,00:00:00
2,CUMMING,FORSYTH,GA,30041,2020-02-24,34.2523,-84.08664,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CONFIRMED,T2509140,10:15:00,10:45:00
7,CUMMING,FORSYTH,GA,30041,2020-02-24,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.2523,-84.08664,GA,30041,MEDICAL,CONFIRMED,T2509141,12:30:00,13:00:00
4,CUMMING,FORSYTH,GA,30040,2020-02-27,34.20654,-84.13322,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CONFIRMED,T2248184,10:30:00,11:00:00
6,CUMMING,FORSYTH,GA,30041,2020-02-27,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20654,-84.13322,GA,30040,MEDICAL,CONFIRMED,T2248185,12:15:00,12:45:00
7,ALPHARETTA,FULTON,GA,30004,2020-03-05,34.13347,-84.24475,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CONFIRMED,T2401236,10:30:00,11:00:00
1,CUMMING,FORSYTH,GA,30041,2020-03-05,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,ALPHARETTA,FULTON,34.13347,-84.24475,GA,30004,MEDICAL,CONFIRMED,T2401237,12:15:00,12:45:00
7,CUMMING,FORSYTH,GA,30041,2020-03-12,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20654,-84.13322,GA,30040,MEDICAL,CONFIRMED,T2401524,12:15:00,12:45:00
12,CUMMING,FORSYTH,GA,30040,2020-03-12,34.20654,-84.13322,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CONFIRMED,T2401523,10:30:00,11:00:00
0,CUMMING,FORSYTH,GA,30041,2020-03-19,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20654,-84.13322,GA,30040,MEDICAL,CANCELLED,T2401816,12:15:00,00:00:00
0,CUMMING,FORSYTH,GA,30040,2020-03-19,34.20654,-84.13322,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CANCELLED,T2401815,10:30:00,00:00:00
0,CUMMING,FORSYTH,GA,30041,2020-03-26,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20654,-84.13322,GA,30040,MEDICAL,CANCELLED,T2402090,12:15:00,00:00:00
0,CUMMING,FORSYTH,GA,30040,2020-03-26,34.20654,-84.13322,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CANCELLED,T2402089,10:30:00,00:00:00
0,CUMMING,FORSYTH,GA,30041,2020-04-02,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20654,-84.13322,GA,30040,MEDICAL,CANCELLED,T2508144,12:15:00,00:00:00
0,CUMMING,FORSYTH,GA,30040,2020-04-02,34.20654,-84.13322,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CANCELLED,T2508143,10:30:00,00:00:00
0,CUMMING,FORSYTH,GA,30041,2020-04-09,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20654,-84.13322,GA,30040,MEDICAL,CANCELLED,T2508428,12:15:00,00:00:00
0,CUMMING,FORSYTH,GA,30040,2020-04-09,34.20654,-84.13322,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CANCELLED,T2508427,10:30:00,00:00:00
0,CUMMING,FORSYTH,GA,30041,2020-04-16,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20654,-84.13322,GA,30040,MEDICAL,CANCELLED,T2508778,12:15:00,00:00:00
0,CUMMING,FORSYTH,GA,30040,2020-04-16,34.20654,-84.13322,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CANCELLED,T2508777,10:30:00,00:00:00
0,CUMMING,FORSYTH,GA,30041,2020-04-23,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20654,-84.13322,GA,30040,MEDICAL,CANCELLED,T2509288,12:15:00,00:00:00
0,CUMMING,FORSYTH,GA,30040,2020-04-23,34.20654,-84.13322,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CANCELLED,T2509287,10:30:00,00:00:00
0,CUMMING,FORSYTH,GA,30040,2020-04-30,34.20654,-84.13322,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14219,-84.16822,GA,30041,MEDICAL,CANCELLED,T2509559,10:30:00,00:00:00
0,CUMMING,FORSYTH,GA,30041,2020-04-30,34.14219,-84.16822,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.20654,-84.13322,GA,30040,MEDICAL,CANCELLED,T2509560,12:15:00,00:00:00
0,CUMMING,FORSYTH,GA,30040,2020-01-03,34.14471,-84.20101,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.19388,-84.12222,GA,30041,EDUCATION,CANCELLED,T2060598,08:45:00,00:00:00
0,CUMMING,FORSYTH,GA,30041,2020-01-03,34.19388,-84.12222,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14471,-84.20101,GA,30040,EDUCATION,CANCELLED,T2060599,12:30:00,00:00:00
0,CUMMING,FORSYTH,GA,30040,2020-01-06,34.14471,-84.20101,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.19388,-84.12222,GA,30041,EDUCATION,CANCELLED,T2060671,08:45:00,00:00:00
0,CUMMING,FORSYTH,GA,30041,2020-01-06,34.19388,-84.12222,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14471,-84.20101,GA,30040,EDUCATION,CANCELLED,T2060672,12:30:00,00:00:00
0,CUMMING,FORSYTH,GA,30040,2020-01-10,34.14471,-84.20101,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.19388,-84.12222,GA,30041,EDUCATION,CANCELLED,T2174580,08:45:00,09:30:00
0,CUMMING,FORSYTH,GA,30041,2020-01-10,34.19388,-84.12222,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14471,-84.20101,GA,30040,EDUCATION,CANCELLED,T2174581,12:30:00,14:30:00
0,CUMMING,FORSYTH,GA,30041,2020-01-13,34.19388,-84.12222,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14471,-84.20101,GA,30040,EDUCATION,CANCELLED,T2175419,12:30:00,15:30:00
-26677,CUMMING,FORSYTH,GA,30040,2020-01-13,34.14471,-84.20101,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.19388,-84.12222,GA,30041,EDUCATION,NO SHOW,T2175418,08:55:00,09:30:00
0,CUMMING,FORSYTH,GA,30040,2020-01-17,34.14471,-84.20101,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.19388,-84.12222,GA,30041,EDUCATION,CANCELLED,T2174432,09:00:00,09:30:00
0,CUMMING,FORSYTH,GA,30041,2020-01-17,34.19388,-84.12222,0,5311 (),FORSYTH_GDOT,CUMMING,FORSYTH,34.14471,-84.20101,GA,30040,EDUCATION,CANCELLED,T2174433,12:30:00,14:30:00
