ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,ELLIJAY,GILMER,GA,30540,2020-01-07,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,SHOPPING,CONFIRMED,T2279049,11:00:00,11:15:00
5,ELLIJAY,GILMER,GA,30540,2020-01-07,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,SHOPPING,CONFIRMED,T2279048,09:00:00,09:15:00
6,ELLIJAY,GILMER,GA,30540,2020-01-15,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,SHOPPING,CONFIRMED,T2315182,11:00:00,11:15:00
6,ELLIJAY,GILMER,GA,30540,2020-01-15,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,SHOPPING,CONFIRMED,T2315180,09:00:00,09:15:00
6,ELLIJAY,GILMER,GA,30540,2020-01-21,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,SHOPPING,CONFIRMED,T2340487,09:00:00,09:15:00
5,ELLIJAY,GILMER,GA,30540,2020-01-21,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,SHOPPING,CONFIRMED,T2340489,11:00:00,11:30:00
4,ELLIJAY,GILMER,GA,30540,2020-01-27,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,SHOPPING,CONFIRMED,T2372837,11:00:00,11:15:00
5,ELLIJAY,GILMER,GA,30540,2020-01-27,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,SHOPPING,CONFIRMED,T2372836,09:00:00,09:15:00
2,ELLIJAY,GILMER,GA,30540,2020-02-04,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,SHOPPING,CONFIRMED,T2418015,11:00:00,11:15:00
5,ELLIJAY,GILMER,GA,30540,2020-02-04,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,SHOPPING,CONFIRMED,T2418014,09:00:00,09:15:00
2,ELLIJAY,GILMER,GA,30540,2020-02-11,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.67986,-84.48081,GA,30540,MEDICAL,CONFIRMED,T2448695,10:00:00,10:10:00
7,ELLIJAY,GILMER,GA,30540,2020-02-11,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,MEDICAL,CONFIRMED,T2448697,11:00:00,11:30:00
1,ELLIJAY,GILMER,GA,30540,2020-02-11,34.67986,-84.48081,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,MEDICAL,CONFIRMED,T2448691,09:00:00,09:15:00
3,ELLIJAY,GILMER,GA,30540,2020-02-18,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.68348,-84.49088,GA,30540,MEDICAL,CONFIRMED,T2475500,11:00:00,11:15:00
0,ELLIJAY,GILMER,GA,30540,2020-02-18,34.68348,-84.49088,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.67986,-84.48081,GA,30540,MEDICAL,CONFIRMED,T2475495,10:30:00,10:45:00
3,ELLIJAY,GILMER,GA,30540,2020-02-18,34.67986,-84.48081,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,MEDICAL,CONFIRMED,T2475494,09:00:00,09:15:00
0,ELLIJAY,GILMER,GA,30540,2020-02-20,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,SHOPPING,CONFIRMED,T2496357,11:00:00,11:30:00
0,ELLIJAY,GILMER,GA,30540,2020-02-20,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,SHOPPING,CONFIRMED,T2496354,09:00:00,09:15:00
5,ELLIJAY,GILMER,GA,30540,2020-02-26,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,PERSONAL,CONFIRMED,T2526436,11:00:00,11:15:00
23,ELLIJAY,GILMER,GA,30540,2020-02-26,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.69767,-84.47978,GA,30540,PERSONAL,CONFIRMED,T2526431,10:00:00,10:15:00
1,ELLIJAY,GILMER,GA,30540,2020-02-26,34.69767,-84.47978,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,PERSONAL,CONFIRMED,T2526429,09:00:00,09:15:00
5,ELLIJAY,GILMER,GA,30540,2020-03-06,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,SHOPPING,CONFIRMED,T2573390,09:00:00,09:15:00
4,ELLIJAY,GILMER,GA,30540,2020-03-06,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,SHOPPING,CONFIRMED,T2573391,11:00:00,11:30:00
5,ELLIJAY,GILMER,GA,30540,2020-03-16,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,SHOPPING,CONFIRMED,T2614581,09:00:00,09:30:00
5,ELLIJAY,GILMER,GA,30540,2020-03-16,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,SHOPPING,CONFIRMED,T2614582,11:00:00,11:30:00
4,ELLIJAY,GILMER,GA,30540,2020-06-22,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.67986,-84.48081,GA,30540,MEDICAL,CONFIRMED,T2945146,11:30:00,11:45:00
3,ELLIJAY,GILMER,GA,30540,2020-06-22,34.67986,-84.48081,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,MEDICAL,CONFIRMED,T2945145,08:45:00,09:00:00
5,ELLIJAY,GILMER,GA,30540,2020-06-23,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,SHOPPING,CONFIRMED,T2949299,08:30:00,08:45:00
4,ELLIJAY,GILMER,GA,30540,2020-06-23,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,SHOPPING,CONFIRMED,T2949301,10:00:00,10:30:00
5,ELLIJAY,GILMER,GA,30540,2020-06-29,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,SHOPPING,CONFIRMED,T2967886,09:30:00,09:45:00
5,ELLIJAY,GILMER,GA,30540,2020-06-29,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,SHOPPING,CONFIRMED,T2967885,09:00:00,09:15:00
5,ELLIJAY,GILMER,GA,30540,2020-07-06,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,SHOPPING,CONFIRMED,T2989406,10:15:00,10:30:00
0,ELLIJAY,GILMER,GA,30540,2020-07-06,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,SHOPPING,CONFIRMED,T2989407,10:30:00,10:45:00
5,ELLIJAY,GILMER,GA,30540,2020-07-15,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,SHOPPING,CONFIRMED,T3024436,09:00:00,09:15:00
5,ELLIJAY,GILMER,GA,30540,2020-07-15,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,SHOPPING,CONFIRMED,T3024437,09:30:00,09:45:00
0,ELLIJAY,GILMER,GA,30540,2020-07-27,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,SHOPPING,CONFIRMED,T3063481,09:45:00,11:00:00
0,ELLIJAY,GILMER,GA,30540,2020-07-27,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,SHOPPING,CONFIRMED,T3063482,11:00:00,11:15:00
10,ELLIJAY,GILMER,GA,30540,2020-08-05,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,SHOPPING,CONFIRMED,T3090936,08:30:00,08:45:00
1,ELLIJAY,GILMER,GA,30540,2020-08-05,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,SHOPPING,CONFIRMED,T3090937,11:00:00,11:15:00
3,ELLIJAY,GILMER,GA,30540,2020-08-07,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.67568,-84.47805,GA,30540,SHOPPING,CONFIRMED,T3101320,11:30:00,11:45:00
2,ELLIJAY,GILMER,GA,30540,2020-08-07,34.67568,-84.47805,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,SHOPPING,CONFIRMED,T3101319,10:30:00,10:35:00
5,ELLIJAY,GILMER,GA,30540,2020-08-07,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,SHOPPING,CONFIRMED,T3101318,10:00:00,10:15:00
4,ELLIJAY,GILMER,GA,30540,2020-08-11,34.8022,-84.44327,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,SHOPPING,CONFIRMED,T3111280,09:00:00,09:15:00
2,ELLIJAY,GILMER,GA,30540,2020-08-11,34.67568,-84.47805,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.8022,-84.44327,GA,30540,SHOPPING,CONFIRMED,T3114526,10:00:00,10:45:00
4,ELLIJAY,GILMER,GA,30540,2020-08-11,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.67568,-84.47805,GA,30540,SHOPPING,CONFIRMED,T3111281,11:00:00,11:15:00
3,ELLIJAY,GILMER,GA,30540,2020-08-17,34.67986,-84.48081,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.70848,-84.49107,GA,30540,MEDICAL,CONFIRMED,T3127131,09:00:00,09:15:00
3,ELLIJAY,GILMER,GA,30540,2020-08-17,34.70848,-84.49107,0,4 (),GILMER_GDOT,ELLIJAY,GILMER,34.67986,-84.48081,GA,30540,MEDICAL,CONFIRMED,T3127133,11:00:00,11:30:00
