ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
1,GIBSON,GLASCOCK,GA,30810,2020-01-31,33.23681,-82.59747,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T1610372,08:15:00,08:16:00
1,GIBSON,GLASCOCK,GA,30810,2020-01-31,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23681,-82.59747,GA,30810,OTHERS,CONFIRMED,T1610374,08:19:00,08:31:00
23,THOMSON,MCDUFFIE,GA,30824,2020-02-04,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T1616774,12:17:00,12:46:00
26,GIBSON,GLASCOCK,GA,30810,2020-02-04,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,OTHERS,CONFIRMED,T1616775,14:36:00,00:00:00
22,THOMSON,MCDUFFIE,GA,30824,2020-02-06,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T1625855,08:20:00,00:00:00
23,GIBSON,GLASCOCK,GA,30810,2020-02-06,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,OTHERS,CONFIRMED,T1625856,10:00:00,00:00:00
22,THOMSON,MCDUFFIE,GA,30824,2020-02-28,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,PERSONAL,CONFIRMED,T1682314,12:30:00,12:57:00
23,GIBSON,GLASCOCK,GA,30810,2020-02-28,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,PERSONAL,CONFIRMED,T1682315,14:34:00,15:11:00
15,THOMSON,MCDUFFIE,GA,30824,2020-03-17,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T1712283,08:15:00,00:00:00
25,GIBSON,GLASCOCK,GA,30810,2020-03-17,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,OTHERS,CONFIRMED,T1712284,11:30:00,00:00:00
26,THOMSON,MCDUFFIE,GA,30824,2020-03-17,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,PERSONAL,CONFIRMED,T1720493,15:00:00,15:25:00
23,GIBSON,GLASCOCK,GA,30810,2020-03-17,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,PERSONAL,CONFIRMED,T1720494,15:52:00,00:00:00
28,THOMSON,MCDUFFIE,GA,30824,2020-03-23,33.47098,-82.47761,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T1729981,10:17:00,00:00:00
26,GIBSON,GLASCOCK,GA,30810,2020-03-23,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.47098,-82.47761,GA,30824,OTHERS,CONFIRMED,T1729982,00:00:00,00:00:00
31,THOMSON,MCDUFFIE,GA,30824,2020-05-06,33.4834,-82.50522,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T1821272,09:20:00,10:20:00
25,GIBSON,GLASCOCK,GA,30810,2020-05-06,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.4834,-82.50522,GA,30824,OTHERS,CONFIRMED,T1821273,10:45:00,11:27:00
58,AUGUSTA,RICHMOND,GA,30909,2020-05-12,33.48317,-82.12229,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T1830886,10:04:00,11:30:00
63,GIBSON,GLASCOCK,GA,30810,2020-05-12,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,AUGUSTA,RICHMOND,33.51183,-82.09307,GA,30907,OTHERS,CONFIRMED,T1830888,12:22:00,14:35:00
5,AUGUSTA,RICHMOND,GA,30907,2020-05-12,33.51183,-82.09307,0,5311 (),GLASCOCK_GDOT,AUGUSTA,RICHMOND,33.48317,-82.12229,GA,30909,OTHERS,CONFIRMED,T1830887,11:50:00,12:19:00
21,THOMSON,MCDUFFIE,GA,30824,2020-05-22,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T1855918,14:59:00,15:23:00
19,THOMSON,MCDUFFIE,GA,30824,2020-05-22,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,PERSONAL,CANCELLED,T1852164,15:00:00,00:00:00
23,GIBSON,GLASCOCK,GA,30810,2020-05-22,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,OTHERS,CONFIRMED,T1847514,15:26:00,15:56:00
24,THOMSON,MCDUFFIE,GA,30824,2020-05-22,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T1847513,08:54:00,09:03:00
18,GIBSON,GLASCOCK,GA,30810,2020-05-22,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,OTHERS,CONFIRMED,T1855919,15:23:00,15:50:00
46,AUGUSTA,RICHMOND,GA,30904,2020-05-28,33.46674,-82.01182,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T1863003,10:20:00,11:20:00
46,GIBSON,GLASCOCK,GA,30810,2020-05-28,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,AUGUSTA,RICHMOND,33.46674,-82.01182,GA,30904,OTHERS,CONFIRMED,T1863004,11:35:00,12:30:00
1,GIBSON,GLASCOCK,GA,30810,2020-06-03,33.23188,-82.60053,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23267,-82.60197,GA,30810,OTHERS,CONFIRMED,T1874460,10:21:00,10:23:00
21,THOMSON,MCDUFFIE,GA,30824,2020-06-04,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T1874478,09:33:00,09:58:00
29,GIBSON,GLASCOCK,GA,30810,2020-06-04,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,OTHERS,CONFIRMED,T1874479,12:06:00,00:00:00
21,THOMSON,MCDUFFIE,GA,30824,2020-07-10,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T1938154,09:15:00,09:56:00
25,GIBSON,GLASCOCK,GA,30810,2020-07-10,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,OTHERS,CONFIRMED,T1938155,13:45:00,14:54:00
20,THOMSON,MCDUFFIE,GA,30824,2020-07-22,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T1955854,08:05:00,08:30:00
19,GIBSON,GLASCOCK,GA,30810,2020-07-22,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,OTHERS,CONFIRMED,T1955855,09:21:00,09:48:00
26,GIBSON,GLASCOCK,GA,30810,2020-07-29,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.51356,-82.50302,GA,30824,OTHERS,CONFIRMED,T1967503,10:52:00,11:29:00
34,THOMSON,MCDUFFIE,GA,30824,2020-07-29,33.51356,-82.50302,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,PERSONAL,CANCELLED,T1965962,10:05:00,10:21:00
8,THOMSON,MCDUFFIE,GA,30824,2020-07-29,33.51356,-82.50302,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,OTHERS,CONFIRMED,T1967504,10:05:00,00:00:00
25,THOMSON,MCDUFFIE,GA,30824,2020-07-29,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T1967754,09:20:00,10:02:00
33,GIBSON,GLASCOCK,GA,30810,2020-07-30,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,OTHERS,CONFIRMED,T1969959,11:15:00,13:23:00
4,THOMSON,MCDUFFIE,GA,30824,2020-07-30,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CANCELLED,T1969936,10:30:00,11:00:00
25,THOMSON,MCDUFFIE,GA,30824,2020-07-30,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T1970026,10:32:00,11:10:00
23,THOMSON,MCDUFFIE,GA,30824,2020-08-26,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T2010065,09:30:00,00:00:00
23,GIBSON,GLASCOCK,GA,30810,2020-08-26,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,OTHERS,CONFIRMED,T2016350,10:03:00,10:43:00
24,GIBSON,GLASCOCK,GA,30810,2020-08-27,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,OTHERS,CONFIRMED,T2013862,12:48:00,00:00:00
25,THOMSON,MCDUFFIE,GA,30824,2020-08-27,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T2015822,12:01:00,12:42:00
24,LOUISVILLE,JEFFERSON,GA,30434,2020-10-15,32.9939,-82.42278,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T2091156,14:40:00,15:09:00
27,GIBSON,GLASCOCK,GA,30810,2020-10-15,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,LOUISVILLE,JEFFERSON,32.9939,-82.42278,GA,30434,OTHERS,CONFIRMED,T2091157,15:58:00,16:37:00
16,THOMSON,MCDUFFIE,GA,30824,2020-10-19,33.46389,-82.4947,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T2095720,13:00:00,13:35:00
27,GIBSON,GLASCOCK,GA,30810,2020-10-19,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46389,-82.4947,GA,30824,OTHERS,CONFIRMED,T2095721,13:40:00,14:56:00
25,THOMSON,MCDUFFIE,GA,30824,2020-10-21,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T2100354,09:30:00,10:05:00
20,GIBSON,GLASCOCK,GA,30810,2020-10-21,33.23445,-82.59523,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,OTHERS,CONFIRMED,T2102318,10:56:00,11:24:00
1,GIBSON,GLASCOCK,GA,30810,2020-10-21,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23445,-82.59523,GA,30810,OTHERS,CONFIRMED,T2103983,11:30:00,11:45:00
24,GIBSON,GLASCOCK,GA,30810,2020-10-22,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,OTHERS,CONFIRMED,T2102218,15:31:00,16:01:00
23,THOMSON,MCDUFFIE,GA,30824,2020-10-22,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T2103990,14:57:00,15:28:00
23,THOMSON,MCDUFFIE,GA,30824,2020-10-26,33.46274,-82.50405,0,5311 (),GLASCOCK_GDOT,GIBSON,GLASCOCK,33.23605,-82.60097,GA,30810,OTHERS,CONFIRMED,T2104128,11:55:00,12:35:00
24,GIBSON,GLASCOCK,GA,30810,2020-10-26,33.23605,-82.60097,0,5311 (),GLASCOCK_GDOT,THOMSON,MCDUFFIE,33.46274,-82.50405,GA,30824,OTHERS,CONFIRMED,T2104129,13:27:00,14:42:00
