ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,CALHOUN,GORDON,GA,30701,2020-10-02,34.45013,-84.9105,0,4 (),GORDON_GDOT,CALHOUN,GORDON,34.48674,-84.87572,GA,30701,GOVERNMENT AGENCY,CONFIRMED,T3275200,10:30:00,11:30:00
0,CALHOUN,GORDON,GA,30701,2020-10-02,34.48674,-84.87572,0,4 (),GORDON_GDOT,CALHOUN,GORDON,34.45013,-84.9105,GA,30701,GOVERNMENT AGENCY,CONFIRMED,T3275201,12:30:00,00:00:00
0,CALHOUN,GORDON,GA,30701,2020-10-07,34.45878,-84.91652,0,4 (),GORDON_GDOT,CALHOUN,GORDON,34.48674,-84.87572,GA,30701,EMPLOYMENT,CONFIRMED,T3298199,08:00:00,09:00:00
0,CALHOUN,GORDON,GA,30701,2020-10-07,34.48674,-84.87572,0,4 (),GORDON_GDOT,CALHOUN,GORDON,34.45878,-84.91652,GA,30701,EMPLOYMENT,CONFIRMED,T3298200,15:00:00,00:00:00
0,CALHOUN,GORDON,GA,30701,2020-10-08,34.48674,-84.87572,0,4 (),GORDON_GDOT,CALHOUN,GORDON,34.45878,-84.91652,GA,30701,EMPLOYMENT,CONFIRMED,T3303998,15:00:00,00:00:00
0,CALHOUN,GORDON,GA,30701,2020-10-08,34.45878,-84.91652,0,4 (),GORDON_GDOT,CALHOUN,GORDON,34.48674,-84.87572,GA,30701,EMPLOYMENT,CONFIRMED,T3303994,08:30:00,09:00:00
0,CALHOUN,GORDON,GA,30701,2020-10-09,34.48674,-84.87572,0,4 (),GORDON_GDOT,CALHOUN,GORDON,34.45878,-84.91652,GA,30701,EMPLOYMENT,CONFIRMED,T3305923,15:00:00,00:00:00
0,CALHOUN,GORDON,GA,30701,2020-10-09,34.45878,-84.91652,0,4 (),GORDON_GDOT,CALHOUN,GORDON,34.48674,-84.87572,GA,30701,EMPLOYMENT,CONFIRMED,T3305922,08:00:00,09:00:00
0,CALHOUN,GORDON,GA,30701,2020-10-16,34.45878,-84.91652,0,4 (),GORDON_GDOT,CALHOUN,GORDON,34.48674,-84.87572,GA,30701,EMPLOYMENT,CONFIRMED,T3325802,11:00:00,12:00:00
0,CALHOUN,GORDON,GA,30701,2020-10-20,34.45878,-84.91652,0,4 (),GORDON_GDOT,CALHOUN,GORDON,34.48674,-84.87572,GA,30701,EMPLOYMENT,CANCELLED,T3331530,14:00:00,15:00:00
0,CALHOUN,GORDON,GA,30701,2020-10-27,34.48674,-84.87572,0,4 (),GORDON_GDOT,CALHOUN,GORDON,34.45878,-84.91652,GA,30701,EMPLOYMENT,CANCELLED,T3352862,00:00:00,00:00:00
0,CALHOUN,GORDON,GA,30701,2020-10-27,34.45878,-84.91652,0,4 (),GORDON_GDOT,CALHOUN,GORDON,34.48674,-84.87572,GA,30701,EMPLOYMENT,CANCELLED,T3352861,14:30:00,15:00:00
0,CALHOUN,GORDON,GA,30701,2020-11-10,34.48674,-84.87572,0,4 (),GORDON_GDOT,CALHOUN,GORDON,34.45878,-84.91652,GA,30701,EMPLOYMENT,CONFIRMED,T3412330,14:00:00,15:00:00
0,CALHOUN,GORDON,GA,30701,2020-11-13,34.45878,-84.91652,0,4 (),GORDON_GDOT,CALHOUN,GORDON,34.48674,-84.87572,GA,30701,EMPLOYMENT,CONFIRMED,T3414400,08:00:00,09:00:00
0,CALHOUN,GORDON,GA,30701,2020-11-13,34.48674,-84.87572,0,4 (),GORDON_GDOT,CALHOUN,GORDON,34.45878,-84.91652,GA,30701,EMPLOYMENT,CONFIRMED,T3414402,14:00:00,00:00:00
0,CALHOUN,GORDON,GA,30701,2020-11-16,34.45878,-84.91652,0,4 (),GORDON_GDOT,CALHOUN,GORDON,34.48674,-84.87572,GA,30701,EMPLOYMENT,CONFIRMED,T3434097,14:30:00,15:30:00
0,CALHOUN,GORDON,GA,30701,2020-11-17,34.45878,-84.91652,0,4 (),GORDON_GDOT,CALHOUN,GORDON,34.48674,-84.87572,GA,30701,EMPLOYMENT,CONFIRMED,T3434171,14:15:00,15:00:00
