ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,CLARKESVILLE,HABERSHAM,GA,30523,2020-03-04,34.6155,-83.52447,0,3 (),HABERSHAM_GDOT,CORNELIA,HABERSHAM,34.5014,-83.53037,GA,30531,PERSONAL,CONFIRMED,T1690064,10:45:00,00:00:00
-90564,MOUNT AIRY,HABERSHAM,GA,30563,2020-01-02,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CANCELLED,T1499330,14:30:00,00:00:00
8,DEMOREST,HABERSHAM,GA,30535,2020-01-02,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1499329,08:00:00,00:00:00
5,DEMOREST,HABERSHAM,GA,30535,2020-01-03,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1499290,08:00:00,00:00:00
4,MOUNT AIRY,HABERSHAM,GA,30563,2020-01-03,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1499291,14:30:00,00:00:00
1,MOUNT AIRY,HABERSHAM,GA,30563,2020-01-06,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1512920,14:30:00,00:00:00
3,DEMOREST,HABERSHAM,GA,30535,2020-01-06,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1512919,08:00:00,00:00:00
56,DEMOREST,HABERSHAM,GA,30535,2020-01-09,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1512652,08:00:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-01-09,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1512653,14:30:00,00:00:00
46,DEMOREST,HABERSHAM,GA,30535,2020-01-10,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1539630,08:00:00,00:00:00
26,MOUNT AIRY,HABERSHAM,GA,30563,2020-01-10,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1539631,14:30:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-01-13,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1512685,14:30:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-01-13,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1512684,08:00:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-01-16,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1517203,08:00:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-01-16,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1517204,14:30:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-01-17,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1560886,14:30:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-01-17,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1560885,08:00:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-01-20,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1563607,08:00:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-01-20,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1563608,14:30:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-01-23,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1512822,14:30:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-01-23,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1512821,08:00:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-01-24,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1535565,14:30:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-01-24,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1535564,08:00:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-01-27,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1545700,08:00:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-01-27,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1545701,14:30:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-01-29,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1602616,14:30:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-01-30,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1512889,14:30:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-01-30,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1512888,08:00:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-01-31,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1535596,08:00:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-01-31,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1535597,14:30:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-02-03,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1573077,14:30:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-02-03,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1573076,08:00:00,00:00:00
51,DEMOREST,HABERSHAM,GA,30535,2020-02-06,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1606485,08:00:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-02-06,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1606486,14:30:00,00:00:00
9,MOUNT AIRY,HABERSHAM,GA,30563,2020-02-07,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1598833,14:30:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-02-07,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CANCELLED,T1598832,08:00:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-02-10,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1578641,14:30:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-02-10,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1578640,08:00:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-02-13,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1562391,08:00:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-02-13,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1562392,14:30:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-02-14,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1602297,08:00:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-02-14,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1602298,14:30:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-02-17,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1629224,14:30:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-02-17,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1629223,08:00:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-02-20,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1598740,14:30:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-02-20,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1598739,08:00:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-02-21,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1641370,08:00:00,00:00:00
-93731,MOUNT AIRY,HABERSHAM,GA,30563,2020-02-21,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CANCELLED,T1641371,14:30:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-02-24,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CONFIRMED,T1645008,14:30:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-02-24,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1645007,08:00:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-02-27,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CANCELLED,T1652012,08:00:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-02-27,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CANCELLED,T1652013,14:30:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-02-28,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CANCELLED,T1661121,08:00:00,00:00:00
0,MOUNT AIRY,HABERSHAM,GA,30563,2020-02-28,34.59074,-83.46783,0,5 (),HABERSHAM_GDOT,DEMOREST,HABERSHAM,34.56441,-83.5232,GA,30535,ADULT DAYCARE,CANCELLED,T1661122,14:30:00,00:00:00
0,DEMOREST,HABERSHAM,GA,30535,2020-03-02,34.56441,-83.5232,0,5 (),HABERSHAM_GDOT,MOUNT AIRY,HABERSHAM,34.59074,-83.46783,GA,30563,ADULT DAYCARE,CONFIRMED,T1652069,08:00:00,00:00:00
