ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,SPARTA,HANCOCK,GA,31087,2020-01-01,33.27219,-83.02936,0,AGE (),HANCOCK_GDOT,SPARTA,HANCOCK,33.27705,-82.98499,GA,31087,NUTRITION,CANCELLED,T2225096,08:00:00,09:00:00
0,SPARTA,HANCOCK,GA,31087,2020-01-01,33.27705,-82.98499,0,AGE (),HANCOCK_GDOT,SPARTA,HANCOCK,33.27219,-83.02936,GA,31087,NUTRITION,CANCELLED,T2225097,14:00:00,00:00:00
2,SPARTA,HANCOCK,GA,31087,2020-01-02,33.27705,-82.98499,0,AGE (),HANCOCK_GDOT,SPARTA,HANCOCK,33.27219,-83.02936,GA,31087,NUTRITION,CONFIRMED,T2227602,14:00:00,00:00:00
25,SPARTA,HANCOCK,GA,31087,2020-01-02,33.27219,-83.02936,0,AGE (),HANCOCK_GDOT,SPARTA,HANCOCK,33.27705,-82.98499,GA,31087,NUTRITION,CONFIRMED,T2227601,08:00:00,09:00:00
23,SPARTA,HANCOCK,GA,31087,2020-01-03,33.27705,-82.98499,0,AGE (),HANCOCK_GDOT,SPARTA,HANCOCK,33.27219,-83.02936,GA,31087,NUTRITION,CONFIRMED,T2234185,14:00:00,00:00:00
27,SPARTA,HANCOCK,GA,31087,2020-01-03,33.27219,-83.02936,0,AGE (),HANCOCK_GDOT,SPARTA,HANCOCK,33.27705,-82.98499,GA,31087,NUTRITION,CONFIRMED,T2234184,08:00:00,09:00:00
3,SPARTA,HANCOCK,GA,31087,2020-01-06,33.27705,-82.98499,0,AGE (),HANCOCK_GDOT,SPARTA,HANCOCK,33.27219,-83.02936,GA,31087,NUTRITION,CONFIRMED,T2240794,14:00:00,00:00:00
2,SPARTA,HANCOCK,GA,31087,2020-01-06,33.27219,-83.02936,0,AGE (),HANCOCK_GDOT,SPARTA,HANCOCK,33.27705,-82.98499,GA,31087,NUTRITION,CONFIRMED,T2240793,08:00:00,09:00:00
42,SPARTA,HANCOCK,GA,31087,2020-01-07,33.27219,-83.02936,0,AGE (),HANCOCK_GDOT,SPARTA,HANCOCK,33.27705,-82.98499,GA,31087,NUTRITION,CONFIRMED,T2250884,08:00:00,09:00:00
2,SPARTA,HANCOCK,GA,31087,2020-01-07,33.27705,-82.98499,0,AGE (),HANCOCK_GDOT,SPARTA,HANCOCK,33.27219,-83.02936,GA,31087,NUTRITION,CONFIRMED,T2250885,14:00:00,00:00:00
