ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,HARTWELL,HART,GA,30643,2020-02-20,34.35899,-82.9277,0,5311 (),HART_GDOT,HARTWELL,HART,34.35892,-82.91333,GA,30643,PERSONAL,CONFIRMED,T1663233,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-02-20,34.35448,-82.90849,0,5311 (),HART_GDOT,HARTWELL,HART,34.35899,-82.9277,GA,30643,PERSONAL,CONFIRMED,T1663234,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-02-20,34.35892,-82.91333,0,5311 (),HART_GDOT,HARTWELL,HART,34.35448,-82.90849,GA,30643,PERSONAL,CONFIRMED,T1663235,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-03-24,34.35448,-82.90849,0,5311 (),HART_GDOT,HARTWELL,HART,34.35892,-82.91333,GA,30643,SHOPPING,CONFIRMED,T1735237,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-03-24,34.35892,-82.91333,0,5311 (),HART_GDOT,HARTWELL,HART,34.35448,-82.90849,GA,30643,SHOPPING,CONFIRMED,T1735238,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-04-06,34.35448,-82.90849,0,5311 (),HART_GDOT,HARTWELL,HART,34.35892,-82.91333,GA,30643,SHOPPING,CONFIRMED,T1763154,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-01-10,34.35448,-82.91735,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T1573187,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-01-10,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.35448,-82.91735,GA,30643,PERSONAL,CONFIRMED,T1573188,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-01-15,34.3474,-82.89609,0,5311 (),HART_GDOT,HARTWELL,HART,34.35306,-82.93306,GA,30643,PERSONAL,CONFIRMED,T1576622,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-01-15,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.3474,-82.89609,GA,30643,PERSONAL,CONFIRMED,T1576623,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-01-15,34.35306,-82.93306,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T1576621,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-01-31,34.35214,-82.93023,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T1618845,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-01-31,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.35214,-82.93023,GA,30643,PERSONAL,CONFIRMED,T1618846,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-02-05,34.46989,-82.93863,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,MEDICAL,CONFIRMED,T1632796,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-02-05,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.46989,-82.93863,GA,30643,MEDICAL,CONFIRMED,T1632797,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-02-26,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.35214,-82.93023,GA,30643,PERSONAL,CONFIRMED,T1681686,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-02-26,34.35214,-82.93023,0,5311 (),HART_GDOT,HARTWELL,HART,34.353,-82.93457,GA,30643,PERSONAL,CONFIRMED,T1681683,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-02-26,34.353,-82.93457,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T1681673,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-03-06,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.3474,-82.89609,GA,30643,SHOPPING,CONFIRMED,T1699554,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-03-06,34.3474,-82.89609,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,SHOPPING,CONFIRMED,T1699553,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-03-18,34.353,-82.93457,0,5311 (),HART_GDOT,HARTWELL,HART,34.35214,-82.93023,GA,30643,PERSONAL,CONFIRMED,T1729895,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-03-18,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.353,-82.93457,GA,30643,PERSONAL,CONFIRMED,T1729896,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-03-18,34.35214,-82.93023,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T1729894,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-04-14,34.33947,-82.92231,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,SHOPPING,CONFIRMED,T1779628,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-04-14,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.33947,-82.92231,GA,30643,SHOPPING,CONFIRMED,T1779629,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-05-04,34.33947,-82.92231,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T1826521,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-05-04,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.33947,-82.92231,GA,30643,PERSONAL,CONFIRMED,T1826522,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-05-07,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.46989,-82.93863,GA,30643,MEDICAL,CONFIRMED,T1829207,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-05-07,34.46989,-82.93863,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,MEDICAL,CONFIRMED,T1829205,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-05-08,34.3474,-82.89609,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,SHOPPING,CONFIRMED,T1829828,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-05-08,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.3474,-82.89609,GA,30643,SHOPPING,CONFIRMED,T1829829,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-06-02,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.33947,-82.92231,GA,30643,SHOPPING,CONFIRMED,T1883419,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-06-02,34.33947,-82.92231,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,SHOPPING,CONFIRMED,T1883418,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-06-05,34.35266,-82.92676,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,SHOPPING,CONFIRMED,T1883338,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-06-05,34.3474,-82.89609,0,5311 (),HART_GDOT,HARTWELL,HART,34.35266,-82.92676,GA,30643,SHOPPING,CONFIRMED,T1883340,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-06-05,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.3474,-82.89609,GA,30643,SHOPPING,CONFIRMED,T1883343,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-06-22,34.33947,-82.92231,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T1923448,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-06-22,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.33947,-82.92231,GA,30643,PERSONAL,CONFIRMED,T1923449,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-06-30,34.35164,-82.94039,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T1927023,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-06-30,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.35164,-82.94039,GA,30643,PERSONAL,CONFIRMED,T1927024,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-07-02,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.3474,-82.89609,GA,30643,PERSONAL,CONFIRMED,T1942097,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-07-02,34.3474,-82.89609,0,5311 (),HART_GDOT,HARTWELL,HART,34.35266,-82.92676,GA,30643,PERSONAL,CONFIRMED,T1942094,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-07-02,34.35266,-82.92676,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T1942091,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-07-08,34.35164,-82.94039,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T1942615,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-07-08,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.35164,-82.94039,GA,30643,PERSONAL,CONFIRMED,T1942616,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-07-10,34.3474,-82.89609,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,SHOPPING,CONFIRMED,T1942647,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-07-10,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.3474,-82.89609,GA,30643,SHOPPING,CONFIRMED,T1942648,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-07-22,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.3474,-82.89609,GA,30643,PERSONAL,CONFIRMED,T1964341,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-07-22,34.3474,-82.89609,0,5311 (),HART_GDOT,HARTWELL,HART,34.35266,-82.92676,GA,30643,PERSONAL,CONFIRMED,T1964340,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-07-22,34.35266,-82.92676,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T1964339,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-07-28,34.3474,-82.89609,0,5311 (),HART_GDOT,HARTWELL,HART,34.35354,-82.93278,GA,30643,PERSONAL,CONFIRMED,T1970126,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-07-28,34.35354,-82.93278,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T1970124,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-07-28,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.3474,-82.89609,GA,30643,PERSONAL,CONFIRMED,T1970127,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-07-31,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.35364,-82.92101,GA,30643,PERSONAL,CONFIRMED,T1974424,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-07-31,34.35364,-82.92101,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T1974420,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-08-04,34.35266,-82.92676,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T1988113,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-08-04,34.3474,-82.89609,0,5311 (),HART_GDOT,HARTWELL,HART,34.35266,-82.92676,GA,30643,PERSONAL,CONFIRMED,T1988115,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-08-04,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.3474,-82.89609,GA,30643,PERSONAL,CONFIRMED,T1988118,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-08-18,34.46989,-82.93863,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CANCELLED,T2007475,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-08-18,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.46989,-82.93863,GA,30643,PERSONAL,CANCELLED,T2007476,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-08-20,34.35266,-82.92676,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T2009313,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-08-20,34.3474,-82.89609,0,5311 (),HART_GDOT,HARTWELL,HART,34.35266,-82.92676,GA,30643,PERSONAL,CONFIRMED,T2009316,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-08-20,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.3474,-82.89609,GA,30643,PERSONAL,CONFIRMED,T2009318,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-08-26,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.33947,-82.92231,GA,30643,PERSONAL,CONFIRMED,T2018740,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-08-26,34.33947,-82.92231,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T2018739,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-08-31,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.3474,-82.89609,GA,30643,SHOPPING,CONFIRMED,T2025373,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-08-31,34.3474,-82.89609,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,SHOPPING,CONFIRMED,T2025372,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-09-04,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.46989,-82.93863,GA,30643,PERSONAL,CONFIRMED,T2035661,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-09-04,34.46989,-82.93863,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T2035659,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-09-09,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.46989,-82.93863,GA,30643,PERSONAL,CONFIRMED,T2042794,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-09-09,34.46989,-82.93863,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T2042793,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-09-11,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.3474,-82.89609,GA,30643,SHOPPING,CONFIRMED,T2045287,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-09-11,34.3474,-82.89609,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,SHOPPING,CONFIRMED,T2045286,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-09-25,34.35395,-82.9193,0,5311 (),HART_GDOT,HARTWELL,HART,34.35514,-82.93841,GA,30643,PERSONAL,CONFIRMED,T2063459,00:00:00,00:00:00
0,HARTWELL,HART,GA,30643,2020-09-25,34.35514,-82.93841,0,5311 (),HART_GDOT,HARTWELL,HART,34.35395,-82.9193,GA,30643,PERSONAL,CONFIRMED,T2063460,00:00:00,00:00:00
