ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,FRANKLIN,HEARD,GA,30217,2020-01-14,33.26213,-85.1287,0,5311_OUT_CITY (),HEARD_GDOT,FRANKLIN,HEARD,33.41445,-85.08792,GA,30217,PERSONAL,CANCELLED,T1566610,09:15:00,00:00:00
0,FRANKLIN,HEARD,GA,30217,2020-01-14,33.41445,-85.08792,0,5311_OUT_CITY (),HEARD_GDOT,FRANKLIN,HEARD,33.26213,-85.1287,GA,30217,PERSONAL,CANCELLED,T1566609,08:45:00,00:00:00
0,FRANKLIN,HEARD,GA,30217,2020-01-06,33.27855,-85.11356,0,5311_IN_CITY (),HEARD_GDOT,FRANKLIN,HEARD,33.27396,-85.09975,GA,30217,EMPLOYMENT,CANCELLED,T1549331,12:30:00,00:00:00
2,FRANKLIN,HEARD,GA,30217,2020-01-07,33.27689,-85.11332,0,5311_OUT_CITY (),HEARD_GDOT,FRANKLIN,HEARD,33.27502,-85.12311,GA,30217,EMPLOYMENT,CONFIRMED,T1553230,12:20:00,00:00:00
2,FRANKLIN,HEARD,GA,30217,2020-01-09,33.27855,-85.11356,0,5311_OUT_CITY (),HEARD_GDOT,FRANKLIN,HEARD,33.27502,-85.12311,GA,30217,EMPLOYMENT,CONFIRMED,T1559660,12:25:00,00:00:00
2,FRANKLIN,HEARD,GA,30217,2020-01-14,33.27855,-85.11356,0,5311_IN_CITY (),HEARD_GDOT,FRANKLIN,HEARD,33.27396,-85.09975,GA,30217,EMPLOYMENT,CONFIRMED,T1569222,12:30:00,00:00:00
1,FRANKLIN,HEARD,GA,30217,2020-01-22,33.27689,-85.11332,0,5311_IN_CITY (),HEARD_GDOT,FRANKLIN,HEARD,33.27396,-85.09975,GA,30217,EMPLOYMENT,CONFIRMED,T1587963,12:20:00,00:00:00
2,FRANKLIN,HEARD,GA,30217,2020-01-24,33.27855,-85.11356,0,5311_OUT_CITY (),HEARD_GDOT,FRANKLIN,HEARD,33.27502,-85.12311,GA,30217,EMPLOYMENT,CONFIRMED,T1592762,09:40:00,00:00:00
2,FRANKLIN,HEARD,GA,30217,2020-02-06,33.27689,-85.11332,0,5311_OUT_CITY (),HEARD_GDOT,FRANKLIN,HEARD,33.27502,-85.12311,GA,30217,EMPLOYMENT,CONFIRMED,T1625483,12:20:00,00:00:00
2,FRANKLIN,HEARD,GA,30217,2020-02-12,33.27855,-85.11356,0,5311_OUT_CITY (),HEARD_GDOT,FRANKLIN,HEARD,33.27502,-85.12311,GA,30217,EMPLOYMENT,CONFIRMED,T1638043,09:45:00,00:00:00
