ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,BARNESVILLE,LAMAR,GA,30204,2020-05-18,33.04141,-84.16757,0,PUTR (),LAMAR,GRIFFIN,SPALDING,33.23325,-84.28977,GA,30224,EMPLOYMENT,CANCELLED,T1837380,14:35:00,00:00:00
18,BARNESVILLE,LAMAR,GA,30204,2020-05-19,33.04141,-84.16757,0,PUTR (),LAMAR,GRIFFIN,SPALDING,33.23325,-84.28977,GA,30224,EMPLOYMENT,CONFIRMED,T1840325,14:35:00,00:00:00
20,BARNESVILLE,LAMAR,GA,30204,2020-05-20,33.04141,-84.16757,0,PUTR (),LAMAR,GRIFFIN,SPALDING,33.23325,-84.28977,GA,30224,EMPLOYMENT,CONFIRMED,T1843045,14:35:00,00:00:00
20,BARNESVILLE,LAMAR,GA,30204,2020-05-21,33.04141,-84.16757,0,PUTR (),LAMAR,GRIFFIN,SPALDING,33.23325,-84.28977,GA,30224,EMPLOYMENT,CONFIRMED,T1847054,14:35:00,00:00:00
18,BARNESVILLE,LAMAR,GA,30204,2020-05-26,33.04141,-84.16757,0,PUTR (),LAMAR,GRIFFIN,SPALDING,33.23325,-84.28977,GA,30224,EMPLOYMENT,CONFIRMED,T1853705,14:35:00,00:00:00
0,BARNESVILLE,LAMAR,GA,30204,2020-05-27,33.04141,-84.16757,0,PUTR (),LAMAR,GRIFFIN,SPALDING,33.23325,-84.28977,GA,30224,EMPLOYMENT,CANCELLED,T1855329,14:35:00,00:00:00
18,BARNESVILLE,LAMAR,GA,30204,2020-05-28,33.04141,-84.16757,0,PUTR (),LAMAR,GRIFFIN,SPALDING,33.23325,-84.28977,GA,30224,EMPLOYMENT,CONFIRMED,T1858660,14:35:00,00:00:00
0,GRIFFIN,SPALDING,GA,30224,2020-01-17,33.23426,-84.26585,0,PUTR (),LAMAR,GRIFFIN,SPALDING,33.26859,-84.26446,GA,30223,EMPLOYMENT,CONFIRMED,T1575614,00:00:00,14:00:00
0,GRIFFIN,SPALDING,GA,30224,2020-03-19,33.23996,-84.26564,0,PUTR (),LAMAR,GRIFFIN,SPALDING,33.26859,-84.26446,GA,30223,EMPLOYMENT,CANCELLED,T1718024,00:00:00,14:00:00
6,GRIFFIN,SPALDING,GA,30224,2020-01-29,33.23963,-84.26567,0,PUTR (),LAMAR,GRIFFIN,SPALDING,33.18442,-84.20962,GA,30224,MEDICAL,CONFIRMED,T1579201,10:00:00,10:30:00
7,GRIFFIN,SPALDING,GA,30224,2020-02-10,33.24438,-84.26462,0,PUTR (),LAMAR,GRIFFIN,SPALDING,33.18442,-84.20962,GA,30224,MEDICAL,CANCELLED,T1598370,10:00:00,11:00:00
0,GRIFFIN,SPALDING,GA,30224,2020-02-10,33.18442,-84.20962,0,PUTR (),LAMAR,GRIFFIN,SPALDING,33.24438,-84.26462,GA,30224,MEDICAL,CANCELLED,T1598372,12:30:00,00:00:00
6,GRIFFIN,SPALDING,GA,30224,2020-02-25,33.23963,-84.26567,0,PUTR (),LAMAR,GRIFFIN,SPALDING,33.18442,-84.20962,GA,30224,MEDICAL,CONFIRMED,T1665910,09:30:00,10:00:00
6,GRIFFIN,SPALDING,GA,30224,2020-05-15,33.18442,-84.20962,0,PUTR (),LAMAR,GRIFFIN,SPALDING,33.23963,-84.26567,GA,30224,MULTI-PURPOSE,CONFIRMED,T1826293,11:30:00,00:00:00
