ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
6,HINESVILLE,LIBERTY,GA,31313,2020-05-26,31.81842,-81.6192,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85245,-81.58062,GA,31313,MULTI-PURPOSE,CONFIRMED,T1851896,16:20:00,00:00:00
5,HINESVILLE,LIBERTY,GA,31313,2020-05-26,31.85245,-81.58062,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.81842,-81.6192,GA,31313,MULTI-PURPOSE,CONFIRMED,T1851895,14:55:00,15:00:00
-106737,HINESVILLE,LIBERTY,GA,31313,2020-01-06,31.85245,-81.58062,0,MH2 (),LIBERTY,HINESVILLE,LIBERTY,31.86176,-81.59226,GA,31313,MULTI-PURPOSE,NO SHOW,T1545288,13:45:00,14:00:00
-71179,HINESVILLE,LIBERTY,GA,31313,2020-01-06,31.86176,-81.59226,0,MH2 (),LIBERTY,HINESVILLE,LIBERTY,31.85245,-81.58062,GA,31313,MULTI-PURPOSE,NO SHOW,T1545290,15:05:00,00:00:00
36,SAVANNAH,CHATHAM,GA,31419,2020-05-28,31.98678,-81.15312,0,AGE (),LIBERTY,PEMBROKE,BRYAN,32.13179,-81.62734,GA,31321,MEDICAL,CONFIRMED,T1858997,10:06:00,11:00:00
33,PEMBROKE,BRYAN,GA,31321,2020-05-28,32.13179,-81.62734,0,AGE (),LIBERTY,SAVANNAH,CHATHAM,31.98678,-81.15312,GA,31419,MEDICAL,CONFIRMED,T1858998,11:45:00,00:00:00
0,RICEBORO,LIBERTY,GA,31323,2020-01-03,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CANCELLED,T1545278,14:30:00,00:00:00
0,HINESVILLE,LIBERTY,GA,31313,2020-01-03,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,NO SHOW,T1545276,00:00:00,09:00:00
30,HINESVILLE,LIBERTY,GA,31313,2020-01-06,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1545277,07:24:00,08:55:00
24,RICEBORO,LIBERTY,GA,31323,2020-01-06,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1545279,14:30:00,00:00:00
34,HINESVILLE,LIBERTY,GA,31313,2020-01-07,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1546551,07:26:00,08:55:00
23,RICEBORO,LIBERTY,GA,31323,2020-01-07,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1546552,14:30:00,00:00:00
36,HINESVILLE,LIBERTY,GA,31313,2020-01-08,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1548403,07:08:00,08:55:00
29,RICEBORO,LIBERTY,GA,31323,2020-01-08,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1548408,14:30:00,00:00:00
34,HINESVILLE,LIBERTY,GA,31313,2020-01-09,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1549955,07:21:00,08:55:00
30,RICEBORO,LIBERTY,GA,31323,2020-01-09,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1549958,14:30:00,00:00:00
43,HINESVILLE,LIBERTY,GA,31313,2020-01-10,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1552542,07:14:00,08:55:00
39,RICEBORO,LIBERTY,GA,31323,2020-01-10,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1552543,14:30:00,00:00:00
32,HINESVILLE,LIBERTY,GA,31313,2020-01-13,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1556517,07:29:00,08:55:00
31,RICEBORO,LIBERTY,GA,31323,2020-01-13,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1556524,14:30:00,00:00:00
29,RICEBORO,LIBERTY,GA,31323,2020-01-14,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1558991,14:30:00,00:00:00
33,HINESVILLE,LIBERTY,GA,31313,2020-01-14,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1558987,07:23:00,08:55:00
37,RICEBORO,LIBERTY,GA,31323,2020-01-15,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1565883,14:30:00,00:00:00
36,HINESVILLE,LIBERTY,GA,31313,2020-01-15,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1565876,07:08:00,08:55:00
31,HINESVILLE,LIBERTY,GA,31313,2020-01-16,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1568386,07:26:00,08:55:00
24,RICEBORO,LIBERTY,GA,31323,2020-01-16,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1568389,14:30:00,00:00:00
32,HINESVILLE,LIBERTY,GA,31313,2020-01-17,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1569859,07:08:00,08:55:00
41,RICEBORO,LIBERTY,GA,31323,2020-01-17,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1569860,14:30:00,00:00:00
0,HINESVILLE,LIBERTY,GA,31313,2020-01-20,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CANCELLED,T1573469,00:00:00,09:00:00
0,RICEBORO,LIBERTY,GA,31323,2020-01-20,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CANCELLED,T1573476,14:30:00,00:00:00
26,HINESVILLE,LIBERTY,GA,31313,2020-01-21,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1570452,07:23:00,08:55:00
25,RICEBORO,LIBERTY,GA,31323,2020-01-21,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1570457,14:30:00,00:00:00
19,RICEBORO,LIBERTY,GA,31323,2020-01-22,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1581127,14:30:00,00:00:00
35,HINESVILLE,LIBERTY,GA,31313,2020-01-22,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1581120,07:11:00,08:55:00
28,RICEBORO,LIBERTY,GA,31323,2020-01-23,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1583694,14:30:00,00:00:00
32,HINESVILLE,LIBERTY,GA,31313,2020-01-23,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1583691,07:14:00,08:55:00
18,RICEBORO,LIBERTY,GA,31323,2020-01-24,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1587248,14:30:00,00:00:00
32,HINESVILLE,LIBERTY,GA,31313,2020-01-24,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1587247,07:16:00,08:55:00
24,RICEBORO,LIBERTY,GA,31323,2020-01-27,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1588493,14:30:00,00:00:00
32,HINESVILLE,LIBERTY,GA,31313,2020-01-27,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1588486,07:39:00,08:55:00
38,HINESVILLE,LIBERTY,GA,31313,2020-01-28,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1589417,07:14:00,08:55:00
27,RICEBORO,LIBERTY,GA,31323,2020-01-28,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1589422,14:30:00,00:00:00
28,HINESVILLE,LIBERTY,GA,31313,2020-01-29,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1590042,07:23:00,08:50:00
23,RICEBORO,LIBERTY,GA,31323,2020-01-29,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1590049,14:30:00,00:00:00
35,RICEBORO,LIBERTY,GA,31323,2020-01-30,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CONFIRMED,T1600631,14:30:00,00:00:00
33,HINESVILLE,LIBERTY,GA,31313,2020-01-30,31.85449,-81.58004,0,MH (),LIBERTY,RICEBORO,LIBERTY,31.6935,-81.41027,GA,31323,MULTI-PURPOSE,CONFIRMED,T1600626,07:10:00,08:50:00
0,RICEBORO,LIBERTY,GA,31323,2020-01-31,31.6935,-81.41027,0,MH (),LIBERTY,HINESVILLE,LIBERTY,31.85449,-81.58004,GA,31313,MULTI-PURPOSE,CANCELLED,T1601230,14:30:00,00:00:00
