ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,LUDOWICI,LONG,GA,31316,2020-01-02,31.75332,-81.71306,0,AGE (),LONG,LUDOWICI,LONG,31.71829,-81.75114,GA,31316,NUTRITION,CANCELLED,T1536299,12:30:00,00:00:00
0,LUDOWICI,LONG,GA,31316,2020-01-02,31.71829,-81.75114,0,AGE (),LONG,LUDOWICI,LONG,31.75332,-81.71306,GA,31316,NUTRITION,CANCELLED,T1536298,09:15:00,09:45:00
0,LUDOWICI,LONG,GA,31316,2020-01-03,31.75332,-81.71306,0,AGE (),LONG,LUDOWICI,LONG,31.71829,-81.75114,GA,31316,NUTRITION,CANCELLED,T1539503,12:30:00,00:00:00
0,LUDOWICI,LONG,GA,31316,2020-01-03,31.71829,-81.75114,0,AGE (),LONG,LUDOWICI,LONG,31.75332,-81.71306,GA,31316,NUTRITION,CANCELLED,T1539502,09:30:00,09:45:00
0,LUDOWICI,LONG,GA,31316,2020-01-09,31.75332,-81.71306,0,AGE (),LONG,LUDOWICI,LONG,31.71829,-81.75114,GA,31316,NUTRITION,CANCELLED,T1550417,12:30:00,00:00:00
0,LUDOWICI,LONG,GA,31316,2020-01-09,31.71829,-81.75114,0,AGE (),LONG,LUDOWICI,LONG,31.75332,-81.71306,GA,31316,NUTRITION,CANCELLED,T1550416,09:25:00,09:45:00
0,LUDOWICI,LONG,GA,31316,2020-01-10,31.71829,-81.75114,0,AGE (),LONG,LUDOWICI,LONG,31.75332,-81.71306,GA,31316,NUTRITION,CANCELLED,T1553024,00:00:00,09:15:00
0,LUDOWICI,LONG,GA,31316,2020-01-10,31.75332,-81.71306,0,AGE (),LONG,LUDOWICI,LONG,31.71829,-81.75114,GA,31316,NUTRITION,CANCELLED,T1553025,12:30:00,00:00:00
0,LUDOWICI,LONG,GA,31316,2020-01-16,31.75332,-81.71306,0,AGE (),LONG,LUDOWICI,LONG,31.71829,-81.75114,GA,31316,NUTRITION,CANCELLED,T1568849,12:30:00,00:00:00
0,LUDOWICI,LONG,GA,31316,2020-01-16,31.71829,-81.75114,0,AGE (),LONG,LUDOWICI,LONG,31.75332,-81.71306,GA,31316,NUTRITION,CANCELLED,T1568848,09:15:00,09:45:00
