ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,DAHLONEGA,LUMPKIN,GA,30533,2020-03-20,34.53777,-83.9727,0,5311 (),LUMPKIN_GDOT,DAHLONEGA,LUMPKIN,34.54717,-83.95077,GA,30533,EMPLOYMENT,CANCELLED,T1723326,12:30:00,12:45:00
22,DAHLONEGA,LUMPKIN,GA,30533,2020-01-08,34.52368,-83.97743,0,5311 (),LUMPKIN_GDOT,DAHLONEGA,LUMPKIN,34.53027,-83.9785,GA,30533,MEDICAL,CONFIRMED,T1549808,12:30:00,12:45:00
-83207,DAHLONEGA,LUMPKIN,GA,30533,2020-01-08,34.53027,-83.9785,0,5311 (),LUMPKIN_GDOT,DAHLONEGA,LUMPKIN,34.52368,-83.97743,GA,30533,MEDICAL,NO SHOW,T1549810,14:15:00,14:30:00
3,DAHLONEGA,LUMPKIN,GA,30533,2020-09-17,34.52895,-83.9818,0,5311 (),LUMPKIN_GDOT,DAHLONEGA,LUMPKIN,34.51862,-84.01734,GA,30533,EMPLOYMENT,CONFIRMED,T2039956,13:30:00,13:45:00
2,DAHLONEGA,LUMPKIN,GA,30533,2020-01-07,34.54172,-83.98333,0,5311 (),LUMPKIN_GDOT,DAHLONEGA,LUMPKIN,34.53777,-83.9727,GA,30533,SHOPPING,CONFIRMED,T1549219,11:00:00,11:15:00
1,DAHLONEGA,LUMPKIN,GA,30533,2020-01-07,34.53777,-83.9727,0,5311 (),LUMPKIN_GDOT,DAHLONEGA,LUMPKIN,34.54172,-83.98333,GA,30533,SHOPPING,CONFIRMED,T1549218,09:15:00,09:30:00
1,DAHLONEGA,LUMPKIN,GA,30533,2020-01-15,34.54172,-83.98333,0,5311 (),LUMPKIN_GDOT,DAHLONEGA,LUMPKIN,34.53777,-83.9727,GA,30533,SHOPPING,CONFIRMED,T1565037,11:45:00,12:00:00
2,DAHLONEGA,LUMPKIN,GA,30533,2020-01-15,34.53777,-83.9727,0,5311 (),LUMPKIN_GDOT,DAHLONEGA,LUMPKIN,34.54172,-83.98333,GA,30533,SHOPPING,CONFIRMED,T1565036,09:15:00,09:30:00
0,DAHLONEGA,LUMPKIN,GA,30533,2020-01-28,34.54172,-83.98333,0,5311 (),LUMPKIN_GDOT,DAHLONEGA,LUMPKIN,34.53777,-83.9727,GA,30533,SHOPPING,CANCELLED,T1597606,10:30:00,10:45:00
0,DAHLONEGA,LUMPKIN,GA,30533,2020-01-28,34.53777,-83.9727,0,5311 (),LUMPKIN_GDOT,DAHLONEGA,LUMPKIN,34.54172,-83.98333,GA,30533,SHOPPING,CANCELLED,T1597605,09:15:00,09:30:00
