ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
27,DEARING,MCDUFFIE,GA,30808,2020-01-03,33.38346,-82.36311,0,AGING (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.46947,-82.50202,GA,30824,NUTRITION,CONFIRMED,T2281993,14:30:00,15:05:00
22,THOMSON,MCDUFFIE,GA,30824,2020-01-03,33.46947,-82.50202,0,AGING (),MCDUFFIE_GDOT,DEARING,MCDUFFIE,33.38346,-82.36311,GA,30808,NUTRITION,CONFIRMED,T2281992,08:35:00,09:17:00
46,THOMSON,MCDUFFIE,GA,30824,2020-02-03,33.46947,-82.50202,0,AGING (),MCDUFFIE_GDOT,DEARING,MCDUFFIE,33.38346,-82.36311,GA,30808,NUTRITION,CONFIRMED,T2409113,09:30:00,09:45:00
15,DEARING,MCDUFFIE,GA,30808,2020-02-03,33.38346,-82.36311,0,AGING (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.46947,-82.50202,GA,30824,NUTRITION,CONFIRMED,T2409114,14:30:00,14:45:00
59,DEARING,MCDUFFIE,GA,30808,2020-02-06,33.38346,-82.36311,0,5311 (),MCDUFFIE_GDOT,AUGUSTA,RICHMOND,33.47091,-82.08641,GA,30909,MEDICAL,CONFIRMED,T2429467,15:00:00,16:00:00
28,AUGUSTA,RICHMOND,GA,30909,2020-02-06,33.47091,-82.08641,0,5311 (),MCDUFFIE_GDOT,DEARING,MCDUFFIE,33.38346,-82.36311,GA,30808,MEDICAL,CONFIRMED,T2429466,08:00:00,08:30:00
19,DEARING,MCDUFFIE,GA,30808,2020-02-13,33.38346,-82.36311,0,AGING (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.46947,-82.50202,GA,30824,NUTRITION,CONFIRMED,T2461971,14:30:00,15:00:00
28,THOMSON,MCDUFFIE,GA,30824,2020-02-13,33.46947,-82.50202,0,AGING (),MCDUFFIE_GDOT,DEARING,MCDUFFIE,33.38346,-82.36311,GA,30808,NUTRITION,CONFIRMED,T2461957,08:45:00,09:00:00
0,DEARING,MCDUFFIE,GA,30808,2020-02-26,33.38346,-82.36311,0,AGING (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.46947,-82.50202,GA,30824,NUTRITION,CONFIRMED,T2525735,14:30:00,14:50:00
24,THOMSON,MCDUFFIE,GA,30824,2020-02-26,33.46947,-82.50202,0,AGING (),MCDUFFIE_GDOT,DEARING,MCDUFFIE,33.38346,-82.36311,GA,30808,NUTRITION,CONFIRMED,T2525733,08:45:00,09:00:00
-73491,DEARING,MCDUFFIE,GA,30808,2020-03-13,33.38346,-82.36311,0,AGING (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.46947,-82.50202,GA,30824,NUTRITION,CANCELLED,T2606613,14:30:00,15:00:00
30,THOMSON,MCDUFFIE,GA,30824,2020-03-13,33.46947,-82.50202,0,AGING (),MCDUFFIE_GDOT,DEARING,MCDUFFIE,33.38346,-82.36311,GA,30808,NUTRITION,CONFIRMED,T2606612,08:45:00,09:00:00
11,DEARING,MCDUFFIE,GA,30808,2020-05-08,33.38346,-82.36311,0,5311 (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.4615,-82.5046,GA,30824,SHOPPING,CONFIRMED,T2801541,11:15:00,11:45:00
2,THOMSON,MCDUFFIE,GA,30824,2020-05-08,33.4615,-82.5046,0,5311 (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.47098,-82.47761,GA,30824,SHOPPING,CONFIRMED,T2801540,10:30:00,10:45:00
13,THOMSON,MCDUFFIE,GA,30824,2020-05-08,33.47098,-82.47761,0,5311 (),MCDUFFIE_GDOT,DEARING,MCDUFFIE,33.38346,-82.36311,GA,30808,SHOPPING,CONFIRMED,T2801539,09:00:00,09:30:00
34,THOMSON,MCDUFFIE,GA,30824,2020-06-01,33.47098,-82.47761,0,5311 (),MCDUFFIE_GDOT,DEARING,MCDUFFIE,33.38346,-82.36311,GA,30808,SHOPPING,CONFIRMED,T2872076,08:45:00,09:15:00
-75835,DEARING,MCDUFFIE,GA,30808,2020-06-01,33.38346,-82.36311,0,5311 (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.46391,-82.50099,GA,30824,PERSONAL,CANCELLED,T2872078,10:05:00,10:25:00
2,THOMSON,MCDUFFIE,GA,30824,2020-06-01,33.46391,-82.50099,0,5311 (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.47098,-82.47761,GA,30824,PERSONAL,CONFIRMED,T2872077,09:45:00,09:55:00
1,THOMSON,MCDUFFIE,GA,30824,2020-07-01,33.4615,-82.5046,0,5311 (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.46391,-82.50099,GA,30824,SHOPPING,CONFIRMED,T2976816,09:30:00,09:45:00
18,DEARING,MCDUFFIE,GA,30808,2020-07-01,33.38346,-82.36311,0,5311 (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.47098,-82.47761,GA,30824,SHOPPING,CONFIRMED,T2976825,11:40:00,12:10:00
2,THOMSON,MCDUFFIE,GA,30824,2020-07-01,33.47098,-82.47761,0,5311 (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.4615,-82.5046,GA,30824,SHOPPING,CONFIRMED,T2976819,10:45:00,11:00:00
14,THOMSON,MCDUFFIE,GA,30824,2020-07-01,33.46391,-82.50099,0,5311 (),MCDUFFIE_GDOT,DEARING,MCDUFFIE,33.38346,-82.36311,GA,30808,PERSONAL,CONFIRMED,T2976815,09:00:00,09:25:00
17,DEARING,MCDUFFIE,GA,30808,2020-07-02,33.38346,-82.36311,0,5311 (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.46358,-82.49713,GA,30824,SHOPPING,CONFIRMED,T2981948,10:30:00,10:45:00
30,THOMSON,MCDUFFIE,GA,30824,2020-07-02,33.46358,-82.49713,0,5311 (),MCDUFFIE_GDOT,DEARING,MCDUFFIE,33.38346,-82.36311,GA,30808,SHOPPING,CONFIRMED,T2981938,09:00:00,09:30:00
11,DEARING,MCDUFFIE,GA,30808,2020-07-07,33.38346,-82.36311,0,5311 (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.46264,-82.50067,GA,30824,SHOPPING,CONFIRMED,T2993940,11:00:00,11:30:00
4,THOMSON,MCDUFFIE,GA,30824,2020-07-07,33.46264,-82.50067,0,5311 (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.47098,-82.47761,GA,30824,SHOPPING,CONFIRMED,T2993910,10:15:00,10:20:00
15,THOMSON,MCDUFFIE,GA,30824,2020-07-07,33.47098,-82.47761,0,5311 (),MCDUFFIE_GDOT,DEARING,MCDUFFIE,33.38346,-82.36311,GA,30808,SHOPPING,CONFIRMED,T2993908,09:00:00,09:30:00
6,THOMSON,MCDUFFIE,GA,30824,2020-07-13,33.47098,-82.47761,0,5311 (),MCDUFFIE_GDOT,DEARING,MCDUFFIE,33.38346,-82.36311,GA,30808,SHOPPING,CONFIRMED,T3012620,09:00:00,09:30:00
2,THOMSON,MCDUFFIE,GA,30824,2020-07-13,33.48327,-82.50532,0,5311 (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.46264,-82.50067,GA,30824,SHOPPING,CONFIRMED,T3012635,11:00:00,11:15:00
12,DEARING,MCDUFFIE,GA,30808,2020-07-13,33.38346,-82.36311,0,5311 (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.48327,-82.50532,GA,30824,SHOPPING,CONFIRMED,T3012636,11:45:00,12:15:00
2,THOMSON,MCDUFFIE,GA,30824,2020-07-13,33.46264,-82.50067,0,5311 (),MCDUFFIE_GDOT,THOMSON,MCDUFFIE,33.47098,-82.47761,GA,30824,SHOPPING,CONFIRMED,T3012621,10:15:00,10:30:00
