ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,MANCHESTER,MERIWETHER,GA,31816,2020-01-01,32.84826,-84.61994,0,AGIN (),MERIWETHER,MANCHESTER,MERIWETHER,32.86,-84.61725,GA,31816,NUTRITION,CANCELLED,T1526855,12:00:00,00:00:00
0,MANCHESTER,MERIWETHER,GA,31816,2020-01-01,32.86,-84.61725,0,AGIN (),MERIWETHER,MANCHESTER,MERIWETHER,32.84826,-84.61994,GA,31816,NUTRITION,CANCELLED,T1526854,00:00:00,08:00:00
0,MANCHESTER,MERIWETHER,GA,31816,2020-01-02,32.86,-84.61725,0,AGIN (),MERIWETHER,MANCHESTER,MERIWETHER,32.84826,-84.61994,GA,31816,NUTRITION,CANCELLED,T1531497,00:00:00,08:00:00
0,MANCHESTER,MERIWETHER,GA,31816,2020-01-02,32.84826,-84.61994,0,AGIN (),MERIWETHER,MANCHESTER,MERIWETHER,32.86,-84.61725,GA,31816,NUTRITION,CANCELLED,T1531498,12:00:00,00:00:00
0,MANCHESTER,MERIWETHER,GA,31816,2020-01-03,32.84826,-84.61994,0,AGIN (),MERIWETHER,MANCHESTER,MERIWETHER,32.86,-84.61725,GA,31816,NUTRITION,CANCELLED,T1533981,12:00:00,00:00:00
0,MANCHESTER,MERIWETHER,GA,31816,2020-01-03,32.86,-84.61725,0,AGIN (),MERIWETHER,MANCHESTER,MERIWETHER,32.84826,-84.61994,GA,31816,NUTRITION,CANCELLED,T1533979,00:00:00,08:00:00
-182673,MANCHESTER,MERIWETHER,GA,31816,2020-01-06,32.86,-84.61725,0,AGIN (),MERIWETHER,MANCHESTER,MERIWETHER,32.84826,-84.61994,GA,31816,NUTRITION,NO SHOW,T1544260,00:00:00,08:00:00
-182720,MANCHESTER,MERIWETHER,GA,31816,2020-01-06,32.84826,-84.61994,0,AGIN (),MERIWETHER,MANCHESTER,MERIWETHER,32.86,-84.61725,GA,31816,NUTRITION,NO SHOW,T1544261,12:00:00,00:00:00
0,MANCHESTER,MERIWETHER,GA,31816,2020-01-07,32.86,-84.61725,0,AGIN (),MERIWETHER,MANCHESTER,MERIWETHER,32.84826,-84.61994,GA,31816,NUTRITION,CANCELLED,T1547796,00:00:00,08:00:00
0,MANCHESTER,MERIWETHER,GA,31816,2020-01-07,32.84826,-84.61994,0,AGIN (),MERIWETHER,MANCHESTER,MERIWETHER,32.86,-84.61725,GA,31816,NUTRITION,CANCELLED,T1547797,12:00:00,00:00:00
