ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,DALLAS,PAULDNG,GA,30157,2020-01-06,33.90045,-84.80158,0,5311 (),PAULDING_GDOT,HIRAM,PAULDNG,33.90937,-84.74206,GA,30141,MEDICAL,CANCELLED,T1494841,08:45:00,09:15:00
0,HIRAM,PAULDNG,GA,30141,2020-01-06,33.90937,-84.74206,0,5311 (),PAULDING_GDOT,DALLAS,PAULDNG,33.90045,-84.80158,GA,30157,MEDICAL,CANCELLED,T1494842,11:00:00,11:30:00
3,HIRAM,PAULDNG,GA,30141,2020-01-08,33.9003,-84.77914,0,5311 (),PAULDING_GDOT,HIRAM,PAULDNG,33.90937,-84.74206,GA,30141,MEDICAL,CONFIRMED,T1494865,08:30:00,09:00:00
3,HIRAM,PAULDNG,GA,30141,2020-01-08,33.90937,-84.74206,0,5311 (),PAULDING_GDOT,HIRAM,PAULDNG,33.9003,-84.77914,GA,30141,MEDICAL,CONFIRMED,T1494866,11:00:00,11:30:00
24,DALLAS,PAULDNG,GA,30157,2020-01-15,33.90045,-84.80158,0,5311 (),PAULDING_GDOT,HIRAM,PAULDNG,33.90937,-84.74206,GA,30141,MEDICAL,CONFIRMED,T1553612,10:00:00,10:30:00
25,HIRAM,PAULDNG,GA,30141,2020-01-15,33.90937,-84.74206,0,5311 (),PAULDING_GDOT,DALLAS,PAULDNG,33.90045,-84.80158,GA,30157,MEDICAL,CONFIRMED,T1553613,12:00:00,12:30:00
4,HIRAM,PAULDNG,GA,30141,2020-02-04,33.9003,-84.77914,0,5311 (),PAULDING_GDOT,HIRAM,PAULDNG,33.90937,-84.74206,GA,30141,MEDICAL,CONFIRMED,T1576312,08:30:00,09:00:00
4,HIRAM,PAULDNG,GA,30141,2020-02-04,33.90937,-84.74206,0,5311 (),PAULDING_GDOT,HIRAM,PAULDNG,33.9003,-84.77914,GA,30141,MEDICAL,CONFIRMED,T1576313,10:00:00,10:30:00
4,HIRAM,PAULDNG,GA,30141,2020-03-09,33.90162,-84.77153,0,5311 (),PAULDING_GDOT,HIRAM,PAULDNG,33.90937,-84.74206,GA,30141,MEDICAL,CONFIRMED,T1644341,08:30:00,09:00:00
5,HIRAM,PAULDNG,GA,30141,2020-03-09,33.90937,-84.74206,0,5311 (),PAULDING_GDOT,HIRAM,PAULDNG,33.90162,-84.77153,GA,30141,MEDICAL,CONFIRMED,T1644342,10:00:00,10:30:00
0,HIRAM,PAULDNG,GA,30141,2020-04-15,33.90937,-84.74206,0,5311 (),PAULDING_GDOT,DALLAS,PAULDNG,33.90045,-84.80158,GA,30157,MEDICAL,CANCELLED,T1752648,08:15:00,08:45:00
0,DALLAS,PAULDNG,GA,30157,2020-04-15,33.90045,-84.80158,0,5311 (),PAULDING_GDOT,HIRAM,PAULDNG,33.90937,-84.74206,GA,30141,MEDICAL,CANCELLED,T1752647,08:15:00,08:45:00
3,HIRAM,PAULDNG,GA,30141,2020-05-08,33.90162,-84.77153,0,5311 (),PAULDING_GDOT,HIRAM,PAULDNG,33.90937,-84.74206,GA,30141,MEDICAL,CONFIRMED,T1815490,08:00:00,08:30:00
3,HIRAM,PAULDNG,GA,30141,2020-05-08,33.90937,-84.74206,0,5311 (),PAULDING_GDOT,HIRAM,PAULDNG,33.90162,-84.77153,GA,30141,MEDICAL,CONFIRMED,T1815492,11:00:00,11:30:00
4,HIRAM,PAULDNG,GA,30141,2020-05-15,33.90937,-84.74206,0,5311 (),PAULDING_GDOT,HIRAM,PAULDNG,33.9003,-84.77914,GA,30141,MEDICAL,CONFIRMED,T1829834,11:00:00,11:30:00
3,HIRAM,PAULDNG,GA,30141,2020-05-15,33.9003,-84.77914,0,5311 (),PAULDING_GDOT,HIRAM,PAULDNG,33.90937,-84.74206,GA,30141,MEDICAL,CONFIRMED,T1829833,08:30:00,09:00:00
7,HIRAM,PAULDNG,GA,30141,2020-05-21,33.90162,-84.77153,0,5311 (),PAULDING_GDOT,HIRAM,PAULDNG,33.90937,-84.74206,GA,30141,MEDICAL,CONFIRMED,T1843347,08:30:00,09:00:00
1,HIRAM,PAULDNG,GA,30141,2020-05-21,33.90937,-84.74206,0,5311 (),PAULDING_GDOT,HIRAM,PAULDNG,33.90162,-84.77153,GA,30141,MEDICAL,CONFIRMED,T1843348,11:00:00,11:30:00
4,HIRAM,PAULDNG,GA,30141,2020-05-29,33.90937,-84.74206,0,5311 (),PAULDING_GDOT,HIRAM,PAULDNG,33.9003,-84.77914,GA,30141,MEDICAL,CONFIRMED,T1852116,11:00:00,11:30:00
3,HIRAM,PAULDNG,GA,30141,2020-05-29,33.9003,-84.77914,0,5311 (),PAULDING_GDOT,HIRAM,PAULDNG,33.90937,-84.74206,GA,30141,MEDICAL,CONFIRMED,T1852115,08:00:00,08:30:00
