ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,FORT VALLEY,PEACH,GA,31030,2020-10-29,32.54311,-83.89036,0,5311 (),PEACH_GDOT,WARNER ROBINS,[NULL],32.61502,-83.68083,GA,31088,MEDICAL,CANCELLED,T2102054,00:01:00,00:00:00
0,WARNER ROBINS,[NULL],GA,31088,2020-10-29,32.61502,-83.68083,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.54311,-83.89036,GA,31030,MEDICAL,CANCELLED,T2102053,13:30:00,14:30:00
0,FORT VALLEY,PEACH,GA,31030,2020-02-26,32.56765,-83.87816,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.55922,-83.89027,GA,31030,MEDICAL,CONFIRMED,T1669619,09:00:00,00:00:00
0,FORT VALLEY,PEACH,GA,31030,2020-02-26,32.55922,-83.89027,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.56765,-83.87816,GA,31030,MEDICAL,CONFIRMED,T1669620,10:45:00,00:00:00
0,FORT VALLEY,PEACH,GA,31030,2020-08-11,32.55875,-83.89637,0,LC (),PEACH_GDOT,FORT VALLEY,PEACH,32.57114,-83.87221,GA,31030,MEDICAL,CANCELLED,T1986324,12:30:00,13:00:00
0,FORT VALLEY,PEACH,GA,31030,2020-08-11,32.57114,-83.87221,0,LC (),PEACH_GDOT,FORT VALLEY,PEACH,32.55875,-83.89637,GA,31030,MEDICAL,NO SHOW,T1986323,10:30:00,11:00:00
20,WARNER ROBINS,HOUSTON,GA,31088,2020-09-04,32.5545,-83.68076,0,LC (),PEACH_GDOT,FORT VALLEY,PEACH,32.55875,-83.89637,GA,31030,MEDICAL,CONFIRMED,T2027597,11:15:00,12:00:00
0,FORT VALLEY,PEACH,GA,31030,2020-09-15,32.54311,-83.89036,0,LC (),PEACH_GDOT,WARNER ROBINS,HOUSTON,32.61783,-83.64153,GA,31088,MEDICAL,CONFIRMED,T2040168,00:01:00,00:00:00
0,WARNER ROBINS,HOUSTON,GA,31088,2020-09-15,32.61783,-83.64153,0,LC (),PEACH_GDOT,FORT VALLEY,PEACH,32.54311,-83.89036,GA,31030,MEDICAL,CONFIRMED,T2040167,07:15:00,08:00:00
0,BYRON,PEACH,GA,31008,2020-11-17,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,PERSONAL,CONFIRMED,T2139714,10:00:00,10:30:00
0,FORT OGLETHORPE,PEACH,GA,31030,2020-11-17,32.54496,-83.8903,0,5311 (),PEACH_GDOT,BYRON,PEACH,32.61234,-83.74458,GA,31008,PERSONAL,CONFIRMED,T2139715,00:01:00,00:00:00
0,FORT OGLETHORPE,PEACH,GA,31030,2020-11-19,32.54496,-83.8903,0,5311 (),PEACH_GDOT,BYRON,PEACH,32.61234,-83.74458,GA,31008,EMPLOYMENT,CONFIRMED,T2143956,16:00:00,00:00:00
10,BYRON,PEACH,GA,31008,2020-11-19,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CONFIRMED,T2143955,07:00:00,08:00:00
0,BYRON,PEACH,GA,31008,2020-11-24,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CONFIRMED,T2146022,15:00:00,16:00:00
0,BYRON,PEACH,GA,31008,2020-11-25,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CANCELLED,T2146023,15:00:00,16:00:00
-26858,BYRON,PEACH,GA,31008,2020-11-27,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,NO SHOW,T2152464,15:00:00,16:00:00
-27549,BYRON,PEACH,GA,31008,2020-11-30,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,NO SHOW,T2152465,15:00:00,16:00:00
0,BYRON,PEACH,GA,31008,2020-12-01,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CONFIRMED,T2152466,15:00:00,16:00:00
0,BYRON,PEACH,GA,31008,2020-12-02,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CONFIRMED,T2160037,15:00:00,16:00:00
0,BYRON,PEACH,GA,31008,2020-12-03,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CONFIRMED,T2160039,15:00:00,16:00:00
0,BYRON,PEACH,GA,31008,2020-12-07,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CANCELLED,T2161273,15:00:00,15:30:00
0,BYRON,PEACH,GA,31008,2020-12-08,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CONFIRMED,T2161289,15:00:00,15:30:00
0,BYRON,PEACH,GA,31008,2020-12-09,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CONFIRMED,T2163532,15:00:00,15:30:00
0,BYRON,PEACH,GA,31008,2020-12-10,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CONFIRMED,T2166054,15:00:00,15:30:00
11,BYRON,PEACH,GA,31008,2020-12-14,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CONFIRMED,T2170876,15:00:00,15:30:00
0,BYRON,PEACH,GA,31008,2020-12-15,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CANCELLED,T2173401,15:00:00,15:30:00
0,BYRON,PEACH,GA,31008,2020-12-16,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CONFIRMED,T2176033,15:00:00,15:30:00
0,BYRON,PEACH,GA,31008,2020-12-17,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CONFIRMED,T2177668,15:00:00,15:30:00
0,BYRON,PEACH,GA,31008,2020-12-21,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CANCELLED,T2182495,15:00:00,15:30:00
0,BYRON,PEACH,GA,31008,2020-12-22,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CONFIRMED,T2184404,15:00:00,15:30:00
0,BYRON,PEACH,GA,31008,2020-12-23,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CONFIRMED,T2186947,15:00:00,15:30:00
0,BYRON,PEACH,GA,31008,2020-12-24,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CONFIRMED,T2188644,15:00:00,15:30:00
-33696,BYRON,PEACH,GA,31008,2020-12-28,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,NO SHOW,T2193154,15:00:00,15:30:00
0,BYRON,PEACH,GA,31008,2020-12-29,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CANCELLED,T2195552,15:00:00,15:30:00
0,BYRON,PEACH,GA,31008,2020-12-30,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CANCELLED,T2197877,15:00:00,15:30:00
0,BYRON,PEACH,GA,31008,2020-12-31,32.61234,-83.74458,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54496,-83.8903,GA,31030,EMPLOYMENT,CONFIRMED,T2199701,15:00:00,15:30:00
-33332,MONTEZUMA,MACON,GA,31063,2020-12-26,32.31297,-84.027,0,5311 (),PEACH_GDOT,MONTEZUMA,MACON,32.29557,-84.03034,GA,31063,MEDICAL,NO SHOW,T2199315,14:30:00,15:00:00
0,FORT VALLEY,PEACH,GA,31030,2020-03-03,32.5539,-83.88487,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.54247,-83.8903,GA,31030,EMPLOYMENT,CONFIRMED,T1747330,12:15:00,00:00:00
0,FORT VALLEY,PEACH,GA,31030,2020-03-05,32.5539,-83.88487,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.54247,-83.8903,GA,31030,EMPLOYMENT,CONFIRMED,T1747421,12:32:00,00:00:00
0,FORT VALLEY,PEACH,GA,31030,2020-12-10,32.53701,-83.89336,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.55578,-83.82846,GA,31030,PERSONAL,CONFIRMED,T2172220,00:01:00,00:00:00
0,FORT VALLEY,PEACH,GA,31030,2020-12-10,32.55578,-83.82846,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.53701,-83.89336,GA,31030,PERSONAL,CONFIRMED,T2172219,10:30:00,11:30:00
-30805,FORT VALLEY,PEACH,GA,31030,2020-12-16,32.55578,-83.82846,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.53701,-83.89336,GA,31030,EMPLOYMENT,CONFIRMED,T2183914,08:00:00,09:00:00
0,FORT VALLEY,PEACH,GA,31030,2020-12-16,32.53701,-83.89336,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.55578,-83.82846,GA,31030,EMPLOYMENT,CONFIRMED,T2183915,15:00:00,15:30:00
6,FORT VALLEY,PEACH,GA,31030,2020-12-23,32.55578,-83.82846,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.53701,-83.89336,GA,31030,EMPLOYMENT,CONFIRMED,T2195162,08:00:00,09:00:00
0,FORT VALLEY,PEACH,GA,31030,2020-12-23,32.53701,-83.89336,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.55578,-83.82846,GA,31030,EMPLOYMENT,CONFIRMED,T2195163,00:01:00,00:00:00
6,FORT VALLEY,PEACH,GA,31030,2020-12-29,32.55578,-83.82846,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.53701,-83.89336,GA,31030,EMPLOYMENT,CONFIRMED,T2203706,09:00:00,10:00:00
0,FORT VALLEY,PEACH,GA,31030,2020-12-30,32.55578,-83.82846,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.53701,-83.89336,GA,31030,EMPLOYMENT,CONFIRMED,T2203707,09:45:00,10:30:00
0,FORT VALLEY,PEACH,GA,31030,2020-12-31,32.53701,-83.89336,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.55578,-83.82846,GA,31030,EMPLOYMENT,CONFIRMED,T2203711,00:01:00,00:00:00
5,FORT VALLEY,PEACH,GA,31030,2020-12-31,32.55578,-83.82846,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.53701,-83.89336,GA,31030,EMPLOYMENT,CONFIRMED,T2203709,07:45:00,08:30:00
0,WARNER ROBINS,PEACH,GA,31093,2020-02-19,32.61816,-83.62923,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54981,-83.93344,GA.,31030,MEDICAL,CONFIRMED,T1658076,08:45:00,00:00:00
0,FORT OGLETHORPE,PEACH,GA.,31030,2020-02-19,32.54981,-83.93344,0,5311 (),PEACH_GDOT,WARNER ROBINS,PEACH,32.61816,-83.62923,GA,31093,MEDICAL,CONFIRMED,T1658077,11:50:00,00:00:00
0,FORT VALLEY,PEACH,GA,31030,2020-02-21,32.56765,-83.87634,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54981,-83.93344,GA.,31030,MEDICAL,CONFIRMED,T1660359,08:20:00,00:00:00
0,FORT OGLETHORPE,PEACH,GA.,31030,2020-02-21,32.54981,-83.93344,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.56765,-83.87634,GA,31030,MEDICAL,CONFIRMED,T1660360,13:45:00,00:00:00
0,FORT VALLEY,PEACH,GA,31030,2020-02-26,32.56765,-83.87634,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54981,-83.93344,GA.,31030,MEDICAL,CONFIRMED,T1669344,08:15:00,00:00:00
0,FORT OGLETHORPE,PEACH,GA.,31030,2020-02-26,32.54981,-83.93344,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.56765,-83.87634,GA,31030,MEDICAL,CONFIRMED,T1669346,14:00:00,00:00:00
0,FORT VALLEY,PEACH,GA,31030,2020-03-02,32.56765,-83.87634,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54981,-83.93344,GA.,31030,MEDICAL,CONFIRMED,T1739849,07:46:00,00:00:00
0,FORT OGLETHORPE,PEACH,GA.,31030,2020-03-02,32.54981,-83.93344,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.56765,-83.87634,GA,31030,MEDICAL,CONFIRMED,T1739850,13:51:00,00:00:00
0,FORT VALLEY,PEACH,GA,31030,2020-03-04,32.56765,-83.87634,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54981,-83.93344,GA.,31030,MEDICAL,CONFIRMED,T1747359,08:15:00,00:00:00
0,FORT OGLETHORPE,PEACH,GA.,31030,2020-03-04,32.54981,-83.93344,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.56765,-83.87634,GA,31030,MEDICAL,CONFIRMED,T1747360,13:45:00,00:00:00
0,BYRON,PEACH,GA,31008,2020-03-06,32.61388,-83.74039,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54981,-83.93344,GA.,31030,MEDICAL,CONFIRMED,T1747429,10:08:00,00:00:00
0,FORT OGLETHORPE,PEACH,GA.,31030,2020-03-06,32.54981,-83.93344,0,5311 (),PEACH_GDOT,BYRON,PEACH,32.61388,-83.74039,GA,31008,MEDICAL,CONFIRMED,T1747430,11:15:00,00:00:00
0,FORT VALLEY,PEACH,GA,31030,2020-03-09,32.56765,-83.87634,0,5311 (),PEACH_GDOT,FORT OGLETHORPE,PEACH,32.54981,-83.93344,GA.,31030,MEDICAL,CONFIRMED,T1747472,07:50:00,00:00:00
0,BYRON,PEACH,GA,31008,2020-03-09,32.61388,-83.74039,0,5311 (),PEACH_GDOT,FORT VALLEY,PEACH,32.56765,-83.87634,GA,31030,MEDICAL,CONFIRMED,T1747473,13:49:00,00:00:00
