ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,JASPER,PICKENS,GA,30143,2020-08-31,34.42543,-84.43422,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42609,-84.42515,GA,30143,PERSONAL,CONFIRMED,T3179896,12:15:00,12:30:00
0,JASPER,PICKENS,GA,30143,2020-09-11,34.42543,-84.43422,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42609,-84.42515,GA,30143,MEDICAL,CONFIRMED,T3214740,09:15:00,09:30:00
0,JASPER,PICKENS,GA,30143,2020-09-14,34.42543,-84.43422,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.46547,-84.45051,GA,30143,EMPLOYMENT,CONFIRMED,T3224296,10:15:00,10:30:00
0,JASPER,PICKENS,GA,30143,2020-09-14,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CONFIRMED,T3224295,09:30:00,09:45:00
0,JASPER,PICKENS,GA,30143,2020-09-16,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CONFIRMED,T3228883,10:30:00,11:00:00
0,JASPER,PICKENS,GA,30143,2020-09-17,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CONFIRMED,T3234315,10:30:00,10:45:00
0,JASPER,PICKENS,GA,30143,2020-09-18,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CANCELLED,T3237400,10:30:00,10:45:00
0,JASPER,PICKENS,GA,30143,2020-09-21,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CONFIRMED,T3243742,10:30:00,10:45:00
0,JASPER,PICKENS,GA,30143,2020-09-22,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CANCELLED,T3248652,10:30:00,10:45:00
0,JASPER,PICKENS,GA,30143,2020-09-23,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CONFIRMED,T3252727,10:30:00,10:45:00
0,JASPER,PICKENS,GA,30143,2020-09-24,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CONFIRMED,T3257599,10:30:00,10:45:00
0,JASPER,PICKENS,GA,30143,2020-09-25,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CONFIRMED,T3261578,10:30:00,11:00:00
0,JASPER,PICKENS,GA,30143,2020-09-29,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CONFIRMED,T3271220,10:30:00,10:45:00
0,JASPER,PICKENS,GA,30143,2020-09-30,34.42543,-84.43422,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42609,-84.42515,GA,30143,MEDICAL,CANCELLED,T3273234,09:30:00,09:45:00
0,JASPER,PICKENS,GA,30143,2020-10-01,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CONFIRMED,T3278259,10:30:00,10:45:00
0,JASPER,PICKENS,GA,30143,2020-10-02,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CANCELLED,T3282076,10:30:00,10:45:00
0,JASPER,PICKENS,GA,30143,2020-10-02,34.42543,-84.43422,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42609,-84.42515,GA,30143,MEDICAL,CANCELLED,T3282072,09:00:00,09:15:00
0,JASPER,PICKENS,GA,30143,2020-10-05,34.42543,-84.43422,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.46547,-84.45051,GA,30143,EMPLOYMENT,CANCELLED,T3289589,15:00:00,15:15:00
0,JASPER,PICKENS,GA,30143,2020-10-05,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CANCELLED,T3289588,08:30:00,09:00:00
0,JASPER,PICKENS,GA,30143,2020-10-07,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CANCELLED,T3298404,10:30:00,10:45:00
0,JASPER,PICKENS,GA,30143,2020-10-15,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CONFIRMED,T3327741,10:30:00,11:00:00
0,JASPER,PICKENS,GA,30143,2020-10-19,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,SHOPPING,CONFIRMED,T3339875,11:00:00,11:45:00
0,JASPER,PICKENS,GA,30143,2020-10-20,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CONFIRMED,T3340852,10:30:00,11:00:00
0,JASPER,PICKENS,GA,30143,2020-10-21,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CANCELLED,T3346235,10:30:00,10:45:00
0,JASPER,PICKENS,GA,30143,2020-10-22,34.46547,-84.45051,0,4 (),PICKENS_GDOT,JASPER,PICKENS,34.42543,-84.43422,GA,30143,EMPLOYMENT,CANCELLED,T3349242,10:30:00,11:00:00
