ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,WILLIAMSON,PIKE,GA,30292,2020-01-02,33.11228,-84.34279,0,AGIN (),PIKE,ZEBULON,PIKE,33.11948,-84.33266,GA,30295,NUTRITION,CANCELLED,T1531489,13:30:00,00:00:00
0,ZEBULON,PIKE,GA,30295,2020-01-02,33.11948,-84.33266,0,AGIN (),PIKE,WILLIAMSON,PIKE,33.11228,-84.34279,GA,30292,NUTRITION,CANCELLED,T1531488,00:00:00,09:30:00
0,WILLIAMSON,PIKE,GA,30292,2020-01-06,33.11228,-84.34279,0,PUTR (),PIKE,GRIFFIN,SPALDING,33.23996,-84.26564,GA,30224,MEDICAL,CANCELLED,T1471240,13:00:00,00:00:00
0,GRIFFIN,SPALDING,GA,30224,2020-01-06,33.23996,-84.26564,0,PUTR (),PIKE,WILLIAMSON,PIKE,33.11228,-84.34279,GA,30292,MEDICAL,CANCELLED,T1471239,00:00:00,11:00:00
-234630,ZEBULON,PIKE,GA,30295,2020-01-06,33.11948,-84.33266,0,AGIN (),PIKE,WILLIAMSON,PIKE,33.11228,-84.34279,GA,30292,NUTRITION,CANCELLED,T1544270,00:00:00,09:30:00
0,WILLIAMSON,PIKE,GA,30292,2020-01-06,33.11228,-84.34279,0,AGIN (),PIKE,ZEBULON,PIKE,33.11948,-84.33266,GA,30295,NUTRITION,CANCELLED,T1544271,13:30:00,00:00:00
11,WILLIAMSON,PIKE,GA,30292,2020-01-08,33.11228,-84.34279,0,PUTR (),PIKE,GRIFFIN,SPALDING,33.23988,-84.26564,GA,30224,MEDICAL,CONFIRMED,T1464108,11:30:00,00:00:00
11,GRIFFIN,SPALDING,GA,30224,2020-01-08,33.23988,-84.26564,0,PUTR (),PIKE,WILLIAMSON,PIKE,33.11228,-84.34279,GA,30292,MEDICAL,CONFIRMED,T1464107,00:00:00,10:00:00
35,ZEBULON,PIKE,GA,30295,2020-01-10,33.11948,-84.33266,0,AGIN (),PIKE,WILLIAMSON,PIKE,33.11228,-84.34279,GA,30292,NUTRITION,CONFIRMED,T1558415,00:00:00,09:30:00
35,WILLIAMSON,PIKE,GA,30292,2020-01-10,33.11228,-84.34279,0,AGIN (),PIKE,ZEBULON,PIKE,33.11948,-84.33266,GA,30295,NUTRITION,CONFIRMED,T1558416,13:30:00,00:00:00
-235809,ZEBULON,PIKE,GA,30295,2020-01-13,33.11948,-84.33266,0,AGIN (),PIKE,WILLIAMSON,PIKE,33.11228,-84.34279,GA,30292,NUTRITION,NO SHOW,T1561684,00:00:00,09:30:00
85,WILLIAMSON,PIKE,GA,30292,2020-01-13,33.11228,-84.34279,0,AGIN (),PIKE,ZEBULON,PIKE,33.11948,-84.33266,GA,30295,NUTRITION,CONFIRMED,T1561685,13:30:00,00:00:00
0,ZEBULON,PIKE,GA,30295,2020-01-15,33.11948,-84.33266,0,AGIN (),PIKE,WILLIAMSON,PIKE,33.11228,-84.34279,GA,30292,NUTRITION,CANCELLED,T1567755,00:00:00,09:30:00
0,WILLIAMSON,PIKE,GA,30292,2020-01-15,33.11228,-84.34279,0,AGIN (),PIKE,ZEBULON,PIKE,33.11948,-84.33266,GA,30295,NUTRITION,CANCELLED,T1567756,13:30:00,00:00:00
0,ZEBULON,PIKE,GA,30295,2020-01-16,33.11948,-84.33266,0,AGIN (),PIKE,WILLIAMSON,PIKE,33.11228,-84.34279,GA,30292,NUTRITION,CANCELLED,T1572212,00:00:00,09:30:00
0,WILLIAMSON,PIKE,GA,30292,2020-01-16,33.11228,-84.34279,0,AGIN (),PIKE,ZEBULON,PIKE,33.11948,-84.33266,GA,30295,NUTRITION,CANCELLED,T1572213,13:30:00,00:00:00
0,ZEBULON,PIKE,GA,30295,2020-01-27,33.11948,-84.33266,0,AGIN (),PIKE,WILLIAMSON,PIKE,33.11228,-84.34279,GA,30292,NUTRITION,CANCELLED,T1594321,00:00:00,09:30:00
0,WILLIAMSON,PIKE,GA,30292,2020-01-27,33.11228,-84.34279,0,AGIN (),PIKE,ZEBULON,PIKE,33.11948,-84.33266,GA,30295,NUTRITION,CANCELLED,T1594322,13:30:00,00:00:00
0,ZEBULON,PIKE,GA,30295,2020-01-29,33.11948,-84.33266,0,AGIN (),PIKE,WILLIAMSON,PIKE,33.11228,-84.34279,GA,30292,NUTRITION,CANCELLED,T1599993,00:00:00,09:30:00
0,WILLIAMSON,PIKE,GA,30292,2020-01-29,33.11228,-84.34279,0,AGIN (),PIKE,ZEBULON,PIKE,33.11948,-84.33266,GA,30295,NUTRITION,CANCELLED,T1599994,13:30:00,00:00:00
-239132,ZEBULON,PIKE,GA,30295,2020-02-03,33.11948,-84.33266,0,AGIN (),PIKE,WILLIAMSON,PIKE,33.11228,-84.34279,GA,30292,NUTRITION,NO SHOW,T1609692,00:00:00,09:30:00
71,WILLIAMSON,PIKE,GA,30292,2020-02-03,33.11228,-84.34279,0,AGIN (),PIKE,ZEBULON,PIKE,33.11948,-84.33266,GA,30295,NUTRITION,CONFIRMED,T1609693,13:30:00,00:00:00
0,WILLIAMSON,PIKE,GA,30292,2020-02-05,33.11228,-84.34279,0,AGIN (),PIKE,ZEBULON,PIKE,33.11948,-84.33266,GA,30295,NUTRITION,CANCELLED,T1617858,13:30:00,00:00:00
0,ZEBULON,PIKE,GA,30295,2020-02-05,33.11948,-84.33266,0,AGIN (),PIKE,WILLIAMSON,PIKE,33.11228,-84.34279,GA,30292,NUTRITION,CANCELLED,T1617857,00:00:00,09:30:00
0,ZEBULON,PIKE,GA,30295,2020-02-06,33.11948,-84.33266,0,AGIN (),PIKE,WILLIAMSON,PIKE,33.11228,-84.34279,GA,30292,NUTRITION,CANCELLED,T1622476,00:00:00,09:30:00
11,WILLIAMSON,PIKE,GA,30292,2020-03-02,33.11228,-84.34279,0,PUTR (),PIKE,GRIFFIN,SPALDING,33.23992,-84.26564,GA,30224,MEDICAL,CONFIRMED,T1669410,13:00:00,00:00:00
11,GRIFFIN,SPALDING,GA,30224,2020-03-02,33.23992,-84.26564,0,PUTR (),PIKE,WILLIAMSON,PIKE,33.11228,-84.34279,GA,30292,MEDICAL,CONFIRMED,T1669409,11:00:00,11:30:00
0,GRIFFIN,SPALDING,GA,30224,2020-03-03,33.23996,-84.26564,0,PUTR (),PIKE,WILLIAMSON,PIKE,33.11228,-84.34279,GA,30292,MEDICAL,CANCELLED,T1669413,10:30:00,11:00:00
0,WILLIAMSON,PIKE,GA,30292,2020-03-03,33.11228,-84.34279,0,PUTR (),PIKE,GRIFFIN,SPALDING,33.23996,-84.26564,GA,30224,MEDICAL,CANCELLED,T1669414,12:30:00,00:00:00
-243995,ZEBULON,PIKE,GA,30295,2020-03-04,33.11948,-84.33266,0,AGIN (),PIKE,WILLIAMSON,PIKE,33.11228,-84.34279,GA,30292,NUTRITION,NO SHOW,T1683684,00:00:00,09:30:00
84,WILLIAMSON,PIKE,GA,30292,2020-03-04,33.11228,-84.34279,0,AGIN (),PIKE,ZEBULON,PIKE,33.11948,-84.33266,GA,30295,NUTRITION,CONFIRMED,T1683685,13:30:00,00:00:00
