ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,EATONTON,PUTNAM,GA,31024,2020-10-27,33.4215,-83.26863,0,GP (),PUTNAM_GDOT,EATONTON,PUTNAM,33.31053,-83.39305,GA,31024,EMPLOYMENT,CANCELLED,T3364134,08:30:00,00:00:00
10,EATONTON,PUTNAM,GA,31024,2020-11-12,33.4215,-83.26863,0,GP (),PUTNAM_GDOT,EATONTON,PUTNAM,33.31053,-83.39305,GA,31024,EMPLOYMENT,CONFIRMED,T3422503,10:40:00,00:00:00
4,EATONTON,PUTNAM,GA,31024,2020-10-07,33.33494,-83.38515,0,GP (),PUTNAM_GDOT,EATONTON,PUTNAM,33.30262,-83.38435,GA,31024,PERSONAL,CONFIRMED,T3302938,11:40:00,00:00:00
4,EATONTON,PUTNAM,GA,31024,2020-10-07,33.30262,-83.38435,0,GP (),PUTNAM_GDOT,EATONTON,PUTNAM,33.33494,-83.38515,GA,31024,EMPLOYMENT,CONFIRMED,T3302655,10:50:00,00:00:00
5,EATONTON,PUTNAM,GA,31024,2020-06-01,33.3243,-83.37589,0,GP (),PUTNAM_GDOT,EATONTON,PUTNAM,33.29614,-83.38672,GA,31024,PERSONAL,CONFIRMED,T2880429,15:15:00,00:00:00
4,EATONTON,PUTNAM,GA,31024,2020-06-01,33.29614,-83.38672,0,GP (),PUTNAM_GDOT,EATONTON,PUTNAM,33.3243,-83.37589,GA,31024,SHOPPING,CONFIRMED,T2877649,13:00:00,00:00:00
5,EATONTON,PUTNAM,GA,31024,2020-06-18,33.29614,-83.38672,0,GP (),PUTNAM_GDOT,EATONTON,PUTNAM,33.3243,-83.37589,GA,31024,SHOPPING,CONFIRMED,T2939004,13:00:00,00:00:00
4,EATONTON,PUTNAM,GA,31024,2020-06-18,33.3243,-83.37589,0,GP (),PUTNAM_GDOT,EATONTON,PUTNAM,33.29614,-83.38672,GA,31024,PERSONAL,CONFIRMED,T2939440,14:20:00,00:00:00
4,EATONTON,PUTNAM,GA,31024,2020-07-10,33.3243,-83.37589,0,GP (),PUTNAM_GDOT,EATONTON,PUTNAM,33.29614,-83.38672,GA,31024,PERSONAL,CONFIRMED,T3012932,14:30:00,00:00:00
4,EATONTON,PUTNAM,GA,31024,2020-07-10,33.29614,-83.38672,0,GP (),PUTNAM_GDOT,EATONTON,PUTNAM,33.3243,-83.37589,GA,31024,SHOPPING,CONFIRMED,T3012584,13:00:00,00:00:00
0,EATONTON,PUTNAM,GA,31024,2020-08-07,33.29614,-83.38672,0,GP (),PUTNAM_GDOT,EATONTON,PUTNAM,33.3243,-83.37589,GA,31024,SHOPPING,CANCELLED,T3104911,13:00:00,00:00:00
4,EATONTON,PUTNAM,GA,31024,2020-08-27,33.29614,-83.38672,0,GP (),PUTNAM_GDOT,EATONTON,PUTNAM,33.3358,-83.369,GA,31024,SHOPPING,CONFIRMED,T3168834,10:50:00,00:00:00
4,EATONTON,PUTNAM,GA,31024,2020-08-27,33.3243,-83.37589,0,GP (),PUTNAM_GDOT,EATONTON,PUTNAM,33.29614,-83.38672,GA,31024,PERSONAL,CONFIRMED,T3169250,12:50:00,00:00:00
1,EATONTON,PUTNAM,GA,31024,2020-08-27,33.3358,-83.369,0,GP (),PUTNAM_GDOT,EATONTON,PUTNAM,33.3243,-83.37589,GA,31024,MEDICAL,CONFIRMED,T3166126,09:45:00,00:00:00
18,EATONTON,PUTNAM,GA,31024,2020-09-01,33.3243,-83.37589,0,GP (),PUTNAM_GDOT,GREENSBORO,GREENE,33.44894,-83.23374,GA,30642,PERSONAL,CONFIRMED,T3184015,11:10:00,00:00:00
14,GREENSBORO,GREENE,GA,30642,2020-09-01,33.45041,-83.2344,0,GP (),PUTNAM_GDOT,EATONTON,PUTNAM,33.3243,-83.37589,GA,31024,MEDICAL,CONFIRMED,T3173703,09:15:00,10:00:00
