ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,CLARKESVILLE,RABUN,GA,30523,2020-06-04,34.68451,-83.42598,0,DRUC (),RABUN_GDOT,CLAYTON,RABUN,34.85712,-83.34518,GA,30525,MULTI-PURPOSE,CANCELLED,T2866504,08:15:00,09:00:00
0,CLAYTON,RABUN,GA,30525,2020-06-04,34.85712,-83.34518,0,DRUC (),RABUN_GDOT,CLARKESVILLE,RABUN,34.68451,-83.42598,GA,30523,MULTI-PURPOSE,CANCELLED,T2866505,10:30:00,11:15:00
0,CLARKESVILLE,RABUN,GA,30523,2020-06-11,34.68451,-83.42598,0,DRUC (),RABUN_GDOT,CLAYTON,RABUN,34.85712,-83.34518,GA,30525,MULTI-PURPOSE,CANCELLED,T2891007,08:15:00,09:00:00
0,CLAYTON,RABUN,GA,30525,2020-06-11,34.85712,-83.34518,0,DRUC (),RABUN_GDOT,CLARKESVILLE,RABUN,34.68451,-83.42598,GA,30523,MULTI-PURPOSE,CANCELLED,T2891008,10:30:00,11:15:00
0,CLARKESVILLE,RABUN,GA,30523,2020-06-18,34.68451,-83.42598,0,DRUC (),RABUN_GDOT,CLAYTON,RABUN,34.85712,-83.34518,GA,30525,MULTI-PURPOSE,CANCELLED,T2915627,08:15:00,09:00:00
0,CLAYTON,RABUN,GA,30525,2020-06-18,34.85712,-83.34518,0,DRUC (),RABUN_GDOT,CLARKESVILLE,RABUN,34.68451,-83.42598,GA,30523,MULTI-PURPOSE,CANCELLED,T2915628,10:30:00,11:15:00
0,CLARKESVILLE,RABUN,GA,30523,2020-06-25,34.68451,-83.42598,0,DRUC (),RABUN_GDOT,CLAYTON,RABUN,34.85712,-83.34518,GA,30525,MULTI-PURPOSE,CANCELLED,T2937633,08:15:00,09:00:00
0,CLAYTON,RABUN,GA,30525,2020-06-25,34.85712,-83.34518,0,DRUC (),RABUN_GDOT,CLARKESVILLE,RABUN,34.68451,-83.42598,GA,30523,MULTI-PURPOSE,CANCELLED,T2937634,10:30:00,11:15:00
0,CLARKESVILLE,RABUN,GA,30523,2020-07-02,34.68451,-83.42598,0,DRUC (),RABUN_GDOT,CLAYTON,RABUN,34.85712,-83.34518,GA,30525,MULTI-PURPOSE,CANCELLED,T2960833,08:15:00,09:00:00
0,CLAYTON,RABUN,GA,30525,2020-07-02,34.85712,-83.34518,0,DRUC (),RABUN_GDOT,CLARKESVILLE,RABUN,34.68451,-83.42598,GA,30523,MULTI-PURPOSE,CANCELLED,T2960834,10:30:00,11:15:00
0,CLARKESVILLE,RABUN,GA,30523,2020-07-09,34.68451,-83.42598,0,DRUC (),RABUN_GDOT,CLAYTON,RABUN,34.85712,-83.34518,GA,30525,MULTI-PURPOSE,CANCELLED,T2984023,08:15:00,09:00:00
0,CLAYTON,RABUN,GA,30525,2020-07-09,34.85712,-83.34518,0,DRUC (),RABUN_GDOT,CLARKESVILLE,RABUN,34.68451,-83.42598,GA,30523,MULTI-PURPOSE,CANCELLED,T2984024,10:30:00,11:15:00
0,CLARKESVILLE,RABUN,GA,30523,2020-07-16,34.68451,-83.42598,0,DRUC (),RABUN_GDOT,CLAYTON,RABUN,34.85712,-83.34518,GA,30525,MULTI-PURPOSE,CANCELLED,T3006092,08:15:00,09:00:00
0,CLAYTON,RABUN,GA,30525,2020-07-16,34.85712,-83.34518,0,DRUC (),RABUN_GDOT,CLARKESVILLE,RABUN,34.68451,-83.42598,GA,30523,MULTI-PURPOSE,CANCELLED,T3006093,10:30:00,11:15:00
0,CLARKESVILLE,RABUN,GA,30523,2020-07-23,34.68451,-83.42598,0,DRUC (),RABUN_GDOT,CLAYTON,RABUN,34.85712,-83.34518,GA,30525,MULTI-PURPOSE,CANCELLED,T3029868,08:15:00,09:00:00
0,CLAYTON,RABUN,GA,30525,2020-07-23,34.85712,-83.34518,0,DRUC (),RABUN_GDOT,CLARKESVILLE,RABUN,34.68451,-83.42598,GA,30523,MULTI-PURPOSE,CANCELLED,T3029869,10:30:00,11:15:00
0,CLARKESVILLE,RABUN,GA,30523,2020-07-30,34.68451,-83.42598,0,DRUC (),RABUN_GDOT,CLAYTON,RABUN,34.85712,-83.34518,GA,30525,MULTI-PURPOSE,CANCELLED,T3051017,08:15:00,09:00:00
0,CLAYTON,RABUN,GA,30525,2020-07-30,34.85712,-83.34518,0,DRUC (),RABUN_GDOT,CLARKESVILLE,RABUN,34.68451,-83.42598,GA,30523,MULTI-PURPOSE,CANCELLED,T3051018,10:30:00,11:15:00
0,CLARKESVILLE,RABUN,GA,30523,2020-08-06,34.68451,-83.42598,0,DRUC (),RABUN_GDOT,CLAYTON,RABUN,34.85712,-83.34518,GA,30525,MULTI-PURPOSE,CANCELLED,T3074680,08:15:00,09:00:00
0,CLAYTON,RABUN,GA,30525,2020-08-06,34.85712,-83.34518,0,DRUC (),RABUN_GDOT,CLARKESVILLE,RABUN,34.68451,-83.42598,GA,30523,MULTI-PURPOSE,CANCELLED,T3074681,10:30:00,11:15:00
0,CLARKESVILLE,RABUN,GA,30523,2020-08-13,34.68451,-83.42598,0,DRUC (),RABUN_GDOT,CLAYTON,RABUN,34.85712,-83.34518,GA,30525,MULTI-PURPOSE,CANCELLED,T3099169,08:15:00,09:00:00
0,CLAYTON,RABUN,GA,30525,2020-08-13,34.85712,-83.34518,0,DRUC (),RABUN_GDOT,CLARKESVILLE,RABUN,34.68451,-83.42598,GA,30523,MULTI-PURPOSE,CANCELLED,T3099170,10:30:00,11:15:00
0,CLARKESVILLE,RABUN,GA,30523,2020-08-20,34.68451,-83.42598,0,DRUC (),RABUN_GDOT,CLAYTON,RABUN,34.85712,-83.34518,GA,30525,MULTI-PURPOSE,CANCELLED,T3121616,08:15:00,09:00:00
