ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
11,MONROE,WALTON,GA,30655,2020-12-08,33.8022,-83.69896,0,3 (),SOCIAL_CIRCLE_GDOT,SOCIAL CIRCLE,WALTON,33.64995,-83.7195,GA,30025,MEDICAL,CONFIRMED,T2172087,09:45:00,00:00:00
12,SOCIAL CIRCLE,WALTON,GA,30025,2020-12-08,33.64995,-83.7195,0,3 (),SOCIAL_CIRCLE_GDOT,MONROE,WALTON,33.8022,-83.69896,GA,30655,MEDICAL,CONFIRMED,T2172088,11:30:00,00:00:00
13,MONROE,WALTON,GA,30655,2020-12-15,33.8022,-83.69896,0,3 (),SOCIAL_CIRCLE_GDOT,SOCIAL CIRCLE,WALTON,33.64995,-83.7195,GA,30025,MEDICAL,CONFIRMED,T2181007,13:40:00,00:00:00
11,SOCIAL CIRCLE,WALTON,GA,30025,2020-12-15,33.64995,-83.7195,0,3 (),SOCIAL_CIRCLE_GDOT,MONROE,WALTON,33.8022,-83.69896,GA,30655,MEDICAL,CONFIRMED,T2181008,15:00:00,00:00:00
12,MONROE,WALTON,GA,30655,2020-12-29,33.8022,-83.69896,0,3 (),SOCIAL_CIRCLE_GDOT,SOCIAL CIRCLE,WALTON,33.64995,-83.7195,GA,30025,MEDICAL,CONFIRMED,T2203432,12:30:00,00:00:00
12,SOCIAL CIRCLE,WALTON,GA,30025,2020-12-29,33.64995,-83.7195,0,3 (),SOCIAL_CIRCLE_GDOT,MONROE,WALTON,33.8022,-83.69896,GA,30655,MEDICAL,CONFIRMED,T2203441,14:00:00,00:00:00
3,SOCIAL CIRCLE,WALTON,GA,30025,2020-12-30,33.67724,-83.70757,0,3 (),SOCIAL_CIRCLE_GDOT,SOCIAL CIRCLE,WALTON,33.65026,-83.71971,GA,30025,PERSONAL,CONFIRMED,T2207802,13:30:00,00:00:00
0,SOCIAL CIRCLE,WALTON,GA,30025,2020-01-29,33.6568,-83.71242,0,3 (),SOCIAL_CIRCLE_GDOT,SOCIAL CIRCLE,WALTON,33.67648,-83.70862,GA,30025,MEDICAL,CANCELLED,T1605462,11:00:00,00:00:00
2,SOCIAL CIRCLE,WALTON,GA,30025,2020-01-02,33.66574,-83.70521,0,3 (),SOCIAL_CIRCLE_GDOT,SOCIAL CIRCLE,WALTON,33.67108,-83.72832,GA,30025,PERSONAL,CONFIRMED,T1542367,13:00:00,00:00:00
1,SOCIAL CIRCLE,WALTON,GA,30025,2020-01-02,33.67108,-83.72832,0,3 (),SOCIAL_CIRCLE_GDOT,SOCIAL CIRCLE,WALTON,33.66574,-83.70521,GA,30025,PERSONAL,CONFIRMED,T1542366,10:15:00,00:00:00
