ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,COLUMBUS,MUSCOGEE,GA,31901,2020-01-28,37.33523,-82.17773,0,LOGISTICARE (),TALBOT_GDOT,TALBOTTON,TALBOT,32.67571,-84.551,GA,31827,MEDICAL,CONFIRMED,T1598698,08:00:00,10:45:00
0,TALBOTTON,TALBOT,GA,31827,2020-01-28,32.67571,-84.551,0,LOGISTICARE (),TALBOT_GDOT,COLUMBUS,MUSCOGEE,37.33523,-82.17773,GA,31901,MEDICAL,CONFIRMED,T1598699,12:00:00,00:00:00
0,TALBOTTON,TALBOT,GA,31827,2020-02-06,32.67571,-84.551,0,LOGISTICARE (),TALBOT_GDOT,COLUMBUS,MUSCOGEE,32.48044,-84.9813,GA,31901,MEDICAL,CONFIRMED,T1623537,13:00:00,00:00:00
0,COLUMBUS,MUSCOGEE,GA,31901,2020-02-06,32.48044,-84.9813,0,LOGISTICARE (),TALBOT_GDOT,TALBOTTON,TALBOT,32.67571,-84.551,GA,31827,MEDICAL,CONFIRMED,T1623536,09:00:00,11:12:00
0,COLUMBUS,MUSCOGEE,GA,31901,2020-02-10,32.48044,-84.9813,0,5311 (),TALBOT_GDOT,TALBOTTON,TALBOT,32.67571,-84.551,GA,31827,MEDICAL,CONFIRMED,T1628624,08:00:00,09:00:00
0,TALBOTTON,TALBOT,GA,31827,2020-02-10,32.67571,-84.551,0,5311 (),TALBOT_GDOT,COLUMBUS,MUSCOGEE,32.48044,-84.9813,GA,31901,MEDICAL,CONFIRMED,T1628625,12:00:00,00:00:00
0,COLUMBUS,MUSCOGEE,GA,31901,2020-02-18,32.48044,-84.9813,0,LOGISTICARE (),TALBOT_GDOT,TALBOTTON,TALBOT,32.67571,-84.551,GA,31827,MEDICAL,CONFIRMED,T1646870,08:00:00,08:57:00
0,TALBOTTON,TALBOT,GA,31827,2020-02-18,32.67571,-84.551,0,LOGISTICARE (),TALBOT_GDOT,COLUMBUS,MUSCOGEE,32.48044,-84.9813,GA,31901,MEDICAL,CANCELLED,T1646871,00:00:00,00:00:00
37,COLUMBUS,MUSCOGEE,GA,31901,2020-07-30,32.48171,-84.97883,0,LOGISTICARE (),TALBOT_GDOT,TALBOTTON,TALBOT,32.67571,-84.551,GA,31827,MEDICAL,CONFIRMED,T1967617,08:15:00,09:27:00
42,TALBOTTON,TALBOT,GA,31827,2020-07-30,32.67571,-84.551,0,LOGISTICARE (),TALBOT_GDOT,COLUMBUS,MUSCOGEE,32.48171,-84.97883,GA,31901,MEDICAL,CONFIRMED,T1967619,12:00:00,00:00:00
0,COLUMBUS,MUSCOGEE,GA,31909,2020-08-07,32.55313,-84.95392,0,LOGISTICARE (),TALBOT_GDOT,TALBOTTON,TALBOT,32.67571,-84.551,GA,31827,MEDICAL,CANCELLED,T1981808,07:45:00,08:57:00
0,TALBOTTON,TALBOT,GA,31827,2020-08-07,32.67571,-84.551,0,LOGISTICARE (),TALBOT_GDOT,COLUMBUS,MUSCOGEE,32.55313,-84.95392,GA,31909,MEDICAL,CANCELLED,T1981819,12:00:00,00:00:00
40,TALBOTTON,TALBOT,GA,31827,2020-08-10,32.67571,-84.551,0,LOGISTICARE (),TALBOT_GDOT,COLUMBUS,MUSCOGEE,32.55313,-84.95392,GA,31909,MEDICAL,CONFIRMED,T1981487,12:00:00,00:00:00
31,COLUMBUS,MUSCOGEE,GA,31909,2020-08-10,32.55313,-84.95392,0,LOGISTICARE (),TALBOT_GDOT,TALBOTTON,TALBOT,32.67571,-84.551,GA,31827,MEDICAL,CONFIRMED,T1981486,07:45:00,09:12:00
0,COLUMBUS,MUSCOGEE,GA,31901,2020-09-24,32.48171,-84.97883,0,LOGISTICARE (),TALBOT_GDOT,TALBOTTON,TALBOT,32.67571,-84.551,GA,31827,MEDICAL,CANCELLED,T2052265,09:15:00,10:27:00
0,TALBOTTON,TALBOT,GA,31827,2020-09-24,32.67571,-84.551,0,LOGISTICARE (),TALBOT_GDOT,COLUMBUS,MUSCOGEE,32.48171,-84.97883,GA,31901,MEDICAL,CANCELLED,T2052266,12:00:00,00:00:00
