ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
19,GREENSBORO,GREENE,GA,30642,2020-06-02,33.56718,-83.18363,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55343,-82.89674,GA,30631,MEDICAL,CONFIRMED,T2884489,00:00:00,00:00:00
19,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-02,33.55343,-82.89674,0,5311 (),TALIAFERRO_GDOT,GREENSBORO,GREENE,33.56718,-83.18363,GA,30642,MEDICAL,CONFIRMED,T2884493,00:00:00,00:00:00
52,GREENSBORO,GREENE,GA,30642,2020-06-18,33.47908,-83.24237,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55343,-82.89674,GA,30631,MEDICAL,CONFIRMED,T2939074,09:30:00,10:30:00
32,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-10,33.55343,-82.89674,0,5311 (),TALIAFERRO_GDOT,GREENSBORO,GREENE,33.47908,-83.24237,GA,30642,MEDICAL,CONFIRMED,T3012958,12:00:00,00:00:00
32,GREENSBORO,GREENE,GA,30642,2020-07-10,33.47908,-83.24237,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55343,-82.89674,GA,30631,MEDICAL,CONFIRMED,T3012953,10:15:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-02,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2858178,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-02,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2858177,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-03,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2859444,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-03,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2859443,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-04,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2859445,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-04,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2859446,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-09,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2859447,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-09,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2859448,13:00:00,00:00:00
16,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-10,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,WARRENTON,WARREN,33.41952,-82.67937,GA,30828,MEDICAL,CONFIRMED,T2912911,11:30:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-10,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2859449,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-10,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2859450,13:00:00,00:00:00
16,WARRENTON,WARREN,GA,30828,2020-06-10,33.41952,-82.67937,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,MEDICAL,CONFIRMED,T2912909,08:30:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-11,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2891649,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-11,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2891648,08:45:00,10:00:00
17,WASHINGTON,WILKES,GA,30673,2020-06-12,33.72914,-82.74147,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,MEDICAL,CONFIRMED,T2921438,09:30:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-16,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2906427,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-16,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2906428,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-17,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2910528,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-17,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2910527,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-18,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2916268,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-18,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2916267,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-23,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2930447,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-23,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2930448,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-24,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2934472,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-24,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2934473,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-25,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2938270,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-25,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2938271,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-30,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2952184,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-06-30,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2952185,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-01,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2957795,13:00:00,00:00:00
22,WASHINGTON,WILKES,GA,30673,2020-07-01,33.72735,-82.71809,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,PERSONAL,CONFIRMED,T2982433,09:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-01,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2957794,08:45:00,10:00:00
22,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-01,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,WASHINGTON,WILKES,33.72735,-82.71809,GA,30673,PERSONAL,CONFIRMED,T2982438,00:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-02,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2961464,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-02,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2961463,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-07,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2975756,08:45:00,10:00:00
21,WARRENTON,WARREN,GA,30828,2020-07-07,33.41952,-82.67937,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,MEDICAL,CONFIRMED,T3000142,14:00:00,15:00:00
21,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-07,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,WARRENTON,WARREN,33.41952,-82.67937,GA,30828,MEDICAL,CONFIRMED,T3000143,15:30:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-07,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2975757,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-08,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2980099,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-08,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2980098,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-09,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2984613,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-09,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2984612,08:45:00,10:00:00
20,THOMSON,MCDUFFIE,GA,30824,2020-07-10,33.52353,-82.50451,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,MEDICAL,CONFIRMED,T3012973,09:00:00,00:00:00
21,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-10,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,THOMSON,MCDUFFIE,33.52353,-82.50451,GA,30824,MEDICAL,CONFIRMED,T3012975,00:00:00,00:00:00
17,WASHINGTON,WILKES,GA,30673,2020-07-14,33.72735,-82.71809,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,PERSONAL,CONFIRMED,T3024439,12:30:00,00:00:00
18,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-14,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,WASHINGTON,WILKES,33.72735,-82.71809,GA,30673,PERSONAL,CONFIRMED,T3024440,14:30:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-14,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T2997049,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-14,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T2997050,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-15,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T3002343,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-15,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T3002344,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-16,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T3006683,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-16,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T3006682,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-21,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T3021841,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-21,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T3021840,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-22,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,WASHINGTON,WILKES,33.73683,-82.73807,GA,30673,PERSONAL,CONFIRMED,T3049501,00:00:00,00:00:00
0,WASHINGTON,WILKES,GA,30673,2020-07-22,33.73683,-82.73807,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,PERSONAL,CONFIRMED,T3049498,00:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-22,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T3026476,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-22,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T3026477,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-23,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T3030435,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-23,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T3030434,08:45:00,10:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-28,33.55726,-82.80659,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55508,-82.89745,GA,30631,NUTRITION,CANCELLED,T3044198,13:00:00,00:00:00
0,CRAWFORDVILLE,TALIAFERRO,GA,30631,2020-07-28,33.55508,-82.89745,0,5311 (),TALIAFERRO_GDOT,CRAWFORDVILLE,TALIAFERRO,33.55726,-82.80659,GA,30631,NUTRITION,CANCELLED,T3044197,08:45:00,10:00:00
