ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,MCRAE,TELFAIR,GA,31055,2020-03-23,31.39473,-81.44687,0,5311 (),TELFAIR_GDOT,HELENA,TELFAIR,32.07072,-82.91019,GA,31037,SHOPPING,CONFIRMED,T1730538,14:49:00,00:00:00
0,HELENA,TELFAIR,GA,31037,2020-03-23,32.07072,-82.91019,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,31.39473,-81.44687,GA,31055,SHOPPING,CONFIRMED,T1730525,13:38:00,00:00:00
0,MCRAE,TELFAIR,GA,31037,2020-03-25,32.07335,-82.91282,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,31.39473,-81.44687,GA,31055,SHOPPING,CONFIRMED,T1737626,12:59:00,00:00:00
0,MCRAE,TELFAIR,GA,31055,2020-03-25,31.39473,-81.44687,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,32.07335,-82.91282,GA,31037,SHOPPING,CONFIRMED,T1737629,13:11:00,00:00:00
0,MCRAE,TELFAIR,GA,31055,2020-04-13,32.06715,-82.89775,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,32.0449,-82.92131,GA,31055,PERSONAL,CONFIRMED,T1779405,12:53:00,00:00:00
39,MCRAE,TELFAIR,GA,31055,2020-05-13,31.39473,-81.44687,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,32.0449,-82.92131,GA,31055,SHOPPING,CONFIRMED,T1840834,11:51:00,00:00:00
1,MCRAE,TELFAIR,GA,31055,2020-06-08,32.06826,-82.89706,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,32.07229,-82.87922,GA,31055,EMPLOYMENT,CONFIRMED,T1885753,09:56:00,00:00:00
1,MCRAE,TELFAIR,GA,31055,2020-06-08,32.07229,-82.87922,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,32.06716,-82.89954,GA,31055,SHOPPING,CONFIRMED,T1885751,09:45:00,00:00:00
3,MCRAE,TELFAIR,GA,31055,2020-06-08,32.06716,-82.89954,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,32.0449,-82.92131,GA,31055,SHOPPING,CONFIRMED,T1885740,09:20:00,00:00:00
2,MCRAE,TELFAIR,GA,31055,2020-06-17,32.0449,-82.92131,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,32.06434,-82.89051,GA,31055,SHOPPING,CONFIRMED,T1904213,14:01:00,00:00:00
0,MCRAE,TELFAIR,GA,31055,2020-06-17,32.0449,-82.92131,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,32.06434,-82.89051,GA,31055,SHOPPING,CONFIRMED,T1904208,14:01:00,00:00:00
1,MCRAE,TELFAIR,GA,31055,2020-06-17,32.06434,-82.89051,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,32.06391,-82.89347,GA,31055,SHOPPING,CONFIRMED,T1904207,13:48:00,00:00:00
1,MCRAE,TELFAIR,GA,31055,2020-06-17,32.06391,-82.89347,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,31.39473,-81.44687,GA,31055,SHOPPING,CONFIRMED,T1904200,13:40:00,00:00:00
2,MCRAE,TELFAIR,GA,31055,2020-07-29,32.0449,-82.92131,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,31.39473,-81.44687,GA,31055,PERSONAL,CONFIRMED,T1969891,09:10:00,00:00:00
1,MCRAE,TELFAIR,GA,31055,2020-08-11,31.39473,-81.44687,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,32.0694,-82.90442,GA,31055,SHOPPING,CONFIRMED,T1990440,13:24:00,00:00:00
1,MCRAE,TELFAIR,GA,31055,2020-08-11,32.0694,-82.90442,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,32.0449,-82.92131,GA,31055,SHOPPING,CONFIRMED,T1990439,13:05:00,00:00:00
2,MCRAE,TELFAIR,GA,31055,2020-08-19,31.39473,-81.44687,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,32.0449,-82.92131,GA,31055,SHOPPING,CONFIRMED,T2003870,12:16:00,00:00:00
2,MCRAE,TELFAIR,GA,31055,2020-11-02,32.0449,-82.92131,0,5311 (),TELFAIR_GDOT,HELENA,FAIR,32.07142,-82.9095,GA,31037,SHOPPING,CONFIRMED,T2299223,14:26:00,00:00:00
46,HELENA,FAIR,GA,31037,2020-11-02,32.07142,-82.9095,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,32.0449,-82.92131,GA,31055,SHOPPING,CONFIRMED,T2299222,13:07:00,00:00:00
2,MCRAE,TELFAIR,GA,31055,2020-11-03,31.39473,-81.44687,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,32.05998,-82.88079,GA,31055,SHOPPING,CONFIRMED,T2148470,14:36:00,00:00:00
4,MCRAE,TELFAIR,GA,31055,2020-11-03,32.05998,-82.88079,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,31.39473,-81.44687,GA,31055,SHOPPING,CONFIRMED,T2148469,14:00:00,00:00:00
0,MCRAE,TELFAIR,GA,31055,2020-03-11,32.06312,-82.88777,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,32.0771,-82.89433,GA,31055,EDUCATION,CONFIRMED,T1721116,13:05:00,00:00:00
0,MCRAE,TELFAIR,GA,31055,2020-03-11,32.0771,-82.89433,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,32.06312,-82.88777,GA,31055,EDUCATION,CONFIRMED,T1721115,09:00:00,00:00:00
2,HELENA,TELFAIR,GA,31037,2020-08-27,32.07044,-82.90984,0,5311 (),TELFAIR_GDOT,MCRAE,TELFAIR,31.39473,-81.44687,GA,31055,SHOPPING,CONFIRMED,T2053167,12:59:00,00:00:00
2,MCRAE,TELFAIR,GA,31055,2020-08-27,31.39473,-81.44687,0,5311 (),TELFAIR_GDOT,HELENA,TELFAIR,32.07044,-82.90984,GA,31037,SHOPPING,CONFIRMED,T2053168,13:56:00,00:00:00
1,MCRAE,TELFAIR,GA,31055,2020-05-19,31.39473,-81.44687,0,HOGARC (),TELFAIR_GDOT,MCRAE,TELFAIR,32.0449,-82.92131,GA,31055,PERSONAL,CONFIRMED,T1847403,12:25:00,00:00:00
0,MCRAE,TELFAIR,GA,31055,2020-01-06,32.06826,-82.89706,0,HOGARC (),TELFAIR_GDOT,MCRAE,TELFAIR,32.06773,-82.89257,GA,31055,NUTRITION,CONFIRMED,T1552456,09:39:00,00:00:00
0,MCRAE,TELFAIR,GA,31055,2020-01-06,32.06773,-82.89257,0,HOGARC (),TELFAIR_GDOT,MCRAE,TELFAIR,32.06826,-82.89706,GA,31055,NUTRITION,CONFIRMED,T1552457,11:57:00,00:00:00
0,MCRAE,TELFAIR,GA,31055,2020-01-07,32.06826,-82.89706,0,HOGARC (),TELFAIR_GDOT,MCRAE,TELFAIR,32.06773,-82.89257,GA,31055,NUTRITION,CONFIRMED,T1552450,09:00:00,00:00:00
39,MCRAE,TELFAIR,GA,31055,2020-01-07,32.06773,-82.89257,0,HOGARC (),TELFAIR_GDOT,MCRAE,TELFAIR,32.06826,-82.89706,GA,31055,NUTRITION,CONFIRMED,T1552453,12:15:00,00:00:00
0,MCRAE,TELFAIR,GA,31055,2020-01-08,32.06826,-82.89706,0,HOGARC (),TELFAIR_GDOT,MCRAE,TELFAIR,32.06773,-82.89257,GA,31055,NUTRITION,CONFIRMED,T1552451,09:00:00,00:00:00
1,MCRAE,TELFAIR,GA,31055,2020-01-08,32.06773,-82.89257,0,HOGARC (),TELFAIR_GDOT,MCRAE,TELFAIR,32.06826,-82.89706,GA,31055,NUTRITION,CONFIRMED,T1552454,12:15:00,00:00:00
1,MCRAE,TELFAIR,GA,31055,2020-01-09,32.06826,-82.89706,0,HOGARC (),TELFAIR_GDOT,MCRAE,TELFAIR,32.06773,-82.89257,GA,31055,NUTRITION,CONFIRMED,T1552452,09:00:00,00:00:00
0,MCRAE,TELFAIR,GA,31055,2020-01-09,32.06773,-82.89257,0,HOGARC (),TELFAIR_GDOT,MCRAE,TELFAIR,32.06826,-82.89706,GA,31055,NUTRITION,CONFIRMED,T1552455,12:15:00,00:00:00
0,MCRAE,TELFAIR,GA,31055,2020-01-13,32.06826,-82.89706,0,HOGARC (),TELFAIR_GDOT,MCRAE,TELFAIR,32.06773,-82.89257,GA,31055,NUTRITION,CONFIRMED,T1554828,09:00:00,00:00:00
0,MCRAE,TELFAIR,GA,31055,2020-01-13,32.06773,-82.89257,0,HOGARC (),TELFAIR_GDOT,MCRAE,TELFAIR,32.06826,-82.89706,GA,31055,NUTRITION,CONFIRMED,T1554829,12:15:00,00:00:00
1,MCRAE,TELFAIR,GA,31055,2020-01-14,32.06826,-82.89706,0,HOGARC (),TELFAIR_GDOT,MCRAE,TELFAIR,32.06773,-82.89257,GA,31055,NUTRITION,CONFIRMED,T1554830,09:00:00,00:00:00
