ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
3,TIFTON,TIFT,GA,31794,2020-01-07,31.45647,-83.49994,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44531,-83.54401,GA,31793,OTHERS,CONFIRMED,T1553542,13:00:00,00:00:00
4,TIFTON,TIFT,GA,31793,2020-01-07,31.44531,-83.54401,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.45647,-83.49994,GA,31794,OTHERS,CONFIRMED,T1549803,09:00:00,09:30:00
-82427,TIFTON,TIFT,GA,31794,2020-01-07,31.45647,-83.49994,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44531,-83.54401,GA,31793,OTHERS,NO SHOW,T1549804,00:00:00,00:00:00
3,TIFTON,TIFT,GA,31794,2020-01-23,31.45647,-83.49994,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.43442,-83.47808,GA,31794,OTHERS,CONFIRMED,T1587856,00:00:00,00:00:00
3,TIFTON,TIFT,GA,31794,2020-01-23,31.43442,-83.47808,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.45647,-83.49994,GA,31794,OTHERS,CONFIRMED,T1587855,09:40:00,10:00:00
3,TIFTON,TIFT,GA,31794,2020-01-27,31.45647,-83.49994,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.43442,-83.47808,GA,31794,OTHERS,CONFIRMED,T1595380,00:00:00,00:00:00
3,TIFTON,TIFT,GA,31794,2020-01-27,31.43442,-83.47808,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.45647,-83.49994,GA,31794,OTHERS,CONFIRMED,T1595379,13:00:00,13:30:00
3,TIFTON,TIFT,GA,31794,2020-02-10,31.43442,-83.47808,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.45647,-83.49994,GA,31794,OTHERS,CONFIRMED,T1628328,13:26:00,14:00:00
4,TIFTON,TIFT,GA,31794,2020-02-10,31.45647,-83.49994,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.43442,-83.47808,GA,31794,OTHERS,CONFIRMED,T1628329,00:00:00,00:00:00
3,TIFTON,TIFT,GA,31794,2020-02-27,31.43684,-83.51616,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.46599,-83.50857,GA,31794,MEDICAL,CONFIRMED,T1671619,09:55:00,10:30:00
2,TIFTON,TIFT,GA,31794,2020-02-27,31.46599,-83.50857,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.43684,-83.51616,GA,31794,MEDICAL,CONFIRMED,T1671620,00:00:00,00:00:00
5,TIFTON,TIFT,GA,31793,2020-03-03,31.44601,-83.54228,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.46599,-83.50857,GA,31794,OTHERS,CONFIRMED,T1681492,10:00:00,00:00:00
2,TIFTON,TIFT,GA,31794,2020-03-03,31.46599,-83.50857,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44601,-83.54228,GA,31793,OTHERS,CONFIRMED,T1681493,00:00:00,00:00:00
4,TIFTON,TIFT,GA,31794,2020-08-10,31.43442,-83.47808,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.46599,-83.50857,GA,31794,OTHERS,CONFIRMED,T1981230,08:28:00,09:00:00
7,TIFTON,TIFT,GA,31794,2020-08-10,31.46599,-83.50857,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.43442,-83.47808,GA,31794,OTHERS,CONFIRMED,T1981231,00:00:00,00:00:00
2,TIFTON,TIFT,GA,31794,2020-09-03,31.46599,-83.50857,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.43684,-83.51616,GA,31794,MEDICAL,CONFIRMED,T2023577,00:00:00,00:00:00
2,TIFTON,TIFT,GA,31794,2020-09-03,31.43684,-83.51616,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.46599,-83.50857,GA,31794,MEDICAL,CONFIRMED,T2023576,09:39:00,10:00:00
3,TIFTON,TIFT,GA,31794,2020-09-09,31.43442,-83.47808,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.46599,-83.50857,GA,31794,OTHERS,CONFIRMED,T2030686,08:48:00,09:30:00
5,TIFTON,TIFT,GA,31794,2020-09-09,31.46599,-83.50857,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.43442,-83.47808,GA,31794,OTHERS,CONFIRMED,T2030687,00:00:00,00:00:00
4,TIFTON,TIFT,GA,31794,2020-11-11,31.43442,-83.47808,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.46599,-83.50857,GA,31794,OTHERS,CONFIRMED,T2131492,08:29:00,09:00:00
3,TIFTON,TIFT,GA,31794,2020-11-11,31.46599,-83.50857,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.43442,-83.47808,GA,31794,OTHERS,CONFIRMED,T2131493,00:00:00,00:00:00
3,TIFTON,TIFT,GA,31793,2020-11-16,31.44601,-83.54228,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.46599,-83.50857,GA,31794,OTHERS,CONFIRMED,T2136986,10:00:00,00:00:00
3,TIFTON,TIFT,GA,31794,2020-11-16,31.46599,-83.50857,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44601,-83.54228,GA,31793,OTHERS,CONFIRMED,T2136987,00:00:00,00:00:00
3,TIFTON,TIFT,GA,31794,2020-12-01,31.46599,-83.50857,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.43442,-83.47808,GA,31794,MEDICAL,CONFIRMED,T2159682,00:00:00,00:00:00
3,TIFTON,TIFT,GA,31794,2020-12-01,31.43442,-83.47808,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.46599,-83.50857,GA,31794,MEDICAL,CONFIRMED,T2159681,10:40:00,11:00:00
3,TIFTON,TIFT,GA,31794,2020-12-09,31.46599,-83.50857,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.43442,-83.47808,GA,31794,MEDICAL,CONFIRMED,T2174860,00:00:00,00:00:00
3,TIFTON,TIFT,GA,31794,2020-12-09,31.43442,-83.47808,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.46599,-83.50857,GA,31794,MEDICAL,CONFIRMED,T2174859,08:00:00,09:00:00
2,TIFTON,TIFT,GA,31794,2020-01-03,31.45902,-83.50674,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,OTHERS,CONFIRMED,T1543049,10:15:00,00:00:00
2,TIFTON,TIFT,GA,31794,2020-01-24,31.44071,-83.49658,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.45579,-83.50686,GA,31794,OTHERS,CONFIRMED,T1592619,00:00:00,00:00:00
2,TIFTON,TIFT,GA,31794,2020-01-24,31.45579,-83.50686,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,OTHERS,CONFIRMED,T1592618,09:50:00,10:20:00
2,TIFTON,TIFT,GA,31794,2020-02-03,31.45902,-83.50674,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,OTHERS,CONFIRMED,T1608390,09:00:00,00:00:00
2,TIFTON,TIFT,GA,31794,2020-02-06,31.44071,-83.49658,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.45609,-83.51756,GA,31794,OTHERS,CONFIRMED,T1623570,00:00:00,00:00:00
1,TIFTON,TIFT,GA,31794,2020-02-06,31.45609,-83.51756,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.45357,-83.52793,GA,31794,OTHERS,CONFIRMED,T1623569,00:00:00,00:00:00
8,TIFTON,TIFT,GA,31794,2020-02-06,31.45335,-83.52903,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,OTHERS,CONFIRMED,T1623568,09:40:00,00:00:00
5,TIFTON,TIFT,GA,31794,2020-02-11,31.476680000000002,-83.5036,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,MEDICAL,CONFIRMED,T1632920,09:25:00,10:00:00
3,TIFTON,TIFT,GA,31794,2020-02-11,31.44071,-83.49658,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.476680000000002,-83.5036,GA,31794,MEDICAL,CONFIRMED,T1632921,00:00:00,00:00:00
6,TIFTON,TIFT,GA,31794,2020-02-19,31.4754,-83.51821,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,OTHERS,CONFIRMED,T1654177,09:50:00,00:00:00
0,TIFTON,TIFT,GA,31794,2020-02-19,31.4754,-83.51821,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,SHOPPING,CANCELLED,T1652121,09:50:00,00:00:00
14,TIFTON,TIFT,GA,31794,2020-03-02,31.47537,-83.51954,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,MEDICAL,CONFIRMED,T1674583,08:25:00,09:00:00
7,TIFTON,TIFT,GA,31794,2020-03-02,31.44071,-83.49658,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.47537,-83.51954,GA,31794,MEDICAL,CONFIRMED,T1674584,00:00:00,00:00:00
2,TIFTON,TIFT,GA,31794,2020-03-03,31.45902,-83.50674,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,OTHERS,CONFIRMED,T1681806,08:25:00,00:00:00
4,TIFTON,TIFT,GA,31794,2020-03-05,31.44071,-83.49658,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.47537,-83.51954,GA,31794,MEDICAL,CONFIRMED,T1690624,00:00:00,00:00:00
5,TIFTON,TIFT,GA,31794,2020-03-05,31.47537,-83.51954,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,MEDICAL,CONFIRMED,T1690623,10:35:00,11:00:00
2,TIFTON,TIFT,GA,31794,2020-03-12,31.46859,-83.48973,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,MEDICAL,CONFIRMED,T1704326,08:50:00,09:30:00
3,TIFTON,TIFT,GA,31794,2020-03-12,31.44071,-83.49658,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.46859,-83.48973,GA,31794,MEDICAL,CONFIRMED,T1704327,00:00:00,00:00:00
1,TIFTON,TIFT,GA,31794,2020-04-03,31.45902,-83.50674,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,OTHERS,CONFIRMED,T1752560,10:15:00,00:00:00
2,TIFTON,TIFT,GA,31794,2020-05-01,31.45902,-83.50674,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,SHOPPING,CONFIRMED,T1806719,09:30:00,00:00:00
2,TIFTON,TIFT,GA,31794,2020-06-03,31.45902,-83.50674,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,OTHERS,CONFIRMED,T1872225,09:00:00,00:00:00
4,TIFTON,TIFT,GA,31794,2020-06-11,31.47141,-83.48839,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,MEDICAL,CONFIRMED,T1885958,13:00:00,13:30:00
2,TIFTON,TIFT,GA,31794,2020-06-11,31.44071,-83.49658,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.47141,-83.48839,GA,31794,MEDICAL,CONFIRMED,T1885959,00:00:00,00:00:00
2,TIFTON,TIFT,GA,31794,2020-06-15,31.46859,-83.48973,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,MEDICAL,CONFIRMED,T1892328,09:00:00,00:00:00
3,TIFTON,TIFT,GA,31794,2020-06-15,31.44071,-83.49658,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.46859,-83.48973,GA,31794,MEDICAL,CONFIRMED,T1892329,00:00:00,00:00:00
9,TIFTON,TIFT,GA,31794,2020-06-18,31.44071,-83.49658,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.476680000000002,-83.5036,GA,31794,MEDICAL,CONFIRMED,T1901998,00:00:00,00:00:00
3,TIFTON,TIFT,GA,31794,2020-06-18,31.476680000000002,-83.5036,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,MEDICAL,CONFIRMED,T1901997,10:00:00,00:00:00
2,TIFTON,TIFT,GA,31793,2020-06-23,31.44531,-83.54401,0,CASH (),TIFT_GDOT,TIFTON,TIFT,31.44071,-83.49658,GA,31794,SHOPPING,CONFIRMED,T1910407,10:00:00,00:00:00
