ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,JEFFERSONVILLE,TWIGGS,GA,31044,2020-03-05,32.68045,-83.34124,0,5311 (),TWIGGS_GDOT,MACON,MACON-BIBB,32.85958,-83.61341,GA,31211,PERSONAL,CANCELLED,T1666203,00:00:00,00:00:00
0,MACON,MACON-BIBB,GA,31211,2020-03-05,32.85958,-83.61341,0,5311 (),TWIGGS_GDOT,MACON,MACON-BIBB,32.86491,-83.6125,GA,31211,PERSONAL,CANCELLED,T1666202,00:00:00,00:00:00
0,MACON,MACON-BIBB,GA,31211,2020-03-05,32.86491,-83.6125,0,5311 (),TWIGGS_GDOT,MACON,MACON-BIBB,32.86383,-83.61267,GA,31211,PERSONAL,CANCELLED,T1666195,00:00:00,00:00:00
0,MACON,MACON-BIBB,GA,31211,2020-03-05,32.86383,-83.61267,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.68045,-83.34124,GA,31044,PERSONAL,CANCELLED,T1666194,00:00:00,00:00:00
0,MACON,MACON-BIBB,GA,31211,2020-03-12,32.86491,-83.6125,0,5311 (),TWIGGS_GDOT,MACON,MACON-BIBB,32.86359,-83.6129,GA,31211,SHOPPING,CONFIRMED,T1701903,00:00:00,00:00:00
0,MACON,MACON-BIBB,GA,31211,2020-03-12,32.86359,-83.6129,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.68045,-83.34124,GA,31044,SHOPPING,CONFIRMED,T1701902,00:00:00,00:00:00
0,JEFFERSONVILLE,TWIGGS,GA,31044,2020-03-12,32.68045,-83.34124,0,5311 (),TWIGGS_GDOT,MACON,MACON-BIBB,32.82058,-83.69434,GA,31204,PERSONAL,CANCELLED,T1666208,00:00:00,00:00:00
0,JEFFERSONVILLE,TWIGGS,GA,31044,2020-03-12,32.68045,-83.34124,0,5311 (),TWIGGS_GDOT,MACON,MACON-BIBB,32.86491,-83.6125,GA,31211,SHOPPING,CONFIRMED,T1701905,00:00:00,00:00:00
0,MACON,MACON-BIBB,GA,31211,2020-03-12,32.86359,-83.6129,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.68045,-83.34124,GA,31044,PERSONAL,CANCELLED,T1666207,00:00:00,00:00:00
0,DANVILLE,TWIGGS,GA,31017,2020-03-10,32.60526,-83.24393,0,5311 (),TWIGGS_GDOT,WARNER ROBINS,HOUSTON,32.62091,-83.64155,GA,31093,MEDICAL,CONFIRMED,T1666190,00:00:00,00:00:00
0,WARNER ROBINS,HOUSTON,GA,31093,2020-03-10,32.62091,-83.64155,0,5311 (),TWIGGS_GDOT,DANVILLE,TWIGGS,32.60526,-83.24393,GA,31017,MEDICAL,CONFIRMED,T1666189,00:00:00,09:30:00
0,MACON,MACON-BIBB,GA,31217,2020-03-20,32.84576,-83.61885,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.67024,-83.32159,GA,31044,MEDICAL,CONFIRMED,T1682253,00:00:00,09:30:00
0,JEFFERSONVILLE,TWIGGS,GA,31044,2020-03-20,32.67024,-83.32159,0,5311 (),TWIGGS_GDOT,MACON,MACON-BIBB,32.84576,-83.61885,GA,31217,MEDICAL,CONFIRMED,T1682256,00:00:00,00:00:00
0,MACON,MACON-BIBB,GA,31206,2020-03-02,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1674607,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-03-04,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1676540,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-03-06,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1676549,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-03-09,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1680031,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-03-11,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1704178,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-03-11,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1687693,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-03-13,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1695321,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-03-16,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1698002,00:00:00,08:30:00
0,JEFFERSONVILLE,TWIGGS,GA,31044,2020-03-17,32.669670000000004,-83.32479,0,5311 (),TWIGGS_GDOT,MACON,MACON-BIBB,32.84038,-83.6477,GA,31201,MEDICAL,CONFIRMED,T1665319,00:00:00,00:00:00
0,MACON,MACON-BIBB,GA,31201,2020-03-17,32.84038,-83.6477,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1665318,00:00:00,08:00:00
0,MACON,MACON-BIBB,GA,31206,2020-03-18,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1704068,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-03-20,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1710195,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-03-23,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1714032,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-03-25,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1720335,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-03-27,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1725780,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-03-30,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1729473,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-04-01,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1734324,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-04-03,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1741596,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-04-06,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1744242,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-04-08,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1749376,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-04-10,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1754599,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-04-13,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1756884,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-04-15,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1762617,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-04-17,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1767819,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-04-20,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1769687,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-04-22,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1776499,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-04-24,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1781428,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-04-27,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1783618,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-04-29,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1790490,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-05-01,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1795115,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-05-04,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1797340,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-05-06,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1803878,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-05-08,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CANCELLED,T1808791,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-05-11,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CANCELLED,T1811763,00:00:00,08:30:00
201,MACON,MACON-BIBB,GA,31206,2020-05-13,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CONFIRMED,T1818935,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-05-15,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CANCELLED,T1823109,00:00:00,08:30:00
0,MACON,MACON-BIBB,GA,31206,2020-05-18,32.8147,-83.64619,0,5311 (),TWIGGS_GDOT,JEFFERSONVILLE,TWIGGS,32.669670000000004,-83.32479,GA,31044,MEDICAL,CANCELLED,T1825950,00:00:00,08:30:00
