ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,BLAIRSVILLE,UNION,GA,30512,2020-01-06,34.87318,-83.9583,0,AGE (),UNION_GDOT,BLAIRSVILLE,UNION,34.88703,-83.95969,GA,30512,EMPLOYMENT,CONFIRMED,T1552442,12:30:00,00:00:00
0,BLAIRSVILLE,UNION,GA,30512,2020-01-07,34.87318,-83.9583,0,AGE (),UNION_GDOT,BLAIRSVILLE,UNION,34.88703,-83.95969,GA,30512,EMPLOYMENT,CONFIRMED,T1555905,12:30:00,00:00:00
0,BLAIRSVILLE,UNION,GA,30512,2020-01-10,34.87318,-83.9583,0,AGE (),UNION_GDOT,BLAIRSVILLE,UNION,34.88703,-83.95969,GA,30512,EMPLOYMENT,CONFIRMED,T1569013,12:30:00,00:00:00
0,BLAIRSVILLE,UNION,GA,30512,2020-01-13,34.87318,-83.9583,0,AGE (),UNION_GDOT,BLAIRSVILLE,UNION,34.88703,-83.95969,GA,30512,EMPLOYMENT,CONFIRMED,T1569014,12:30:00,00:00:00
0,BLAIRSVILLE,UNION,GA,30512,2020-01-14,34.87318,-83.9583,0,AGE (),UNION_GDOT,BLAIRSVILLE,UNION,34.88703,-83.95969,GA,30512,EMPLOYMENT,CONFIRMED,T1572852,12:30:00,00:00:00
0,BLAIRSVILLE,UNION,GA,30512,2020-01-17,34.87318,-83.9583,0,AGE (),UNION_GDOT,BLAIRSVILLE,UNION,34.88703,-83.95969,GA,30512,EMPLOYMENT,CONFIRMED,T1583567,12:30:00,00:00:00
0,BLAIRSVILLE,UNION,GA,30512,2020-01-21,34.87318,-83.9583,0,AGE (),UNION_GDOT,BLAIRSVILLE,UNION,34.88703,-83.95969,GA,30512,EMPLOYMENT,CONFIRMED,T1587884,12:30:00,00:00:00
0,BLAIRSVILLE,UNION,GA,30512,2020-01-24,34.87318,-83.9583,0,AGE (),UNION_GDOT,BLAIRSVILLE,UNION,34.88703,-83.95969,GA,30512,EMPLOYMENT,CONFIRMED,T1597614,12:30:00,00:00:00
0,BLAIRSVILLE,UNION,GA,30512,2020-01-27,34.87318,-83.9583,0,AGE (),UNION_GDOT,BLAIRSVILLE,UNION,34.88703,-83.95969,GA,30512,EMPLOYMENT,CONFIRMED,T1601911,12:30:00,00:00:00
0,BLAIRSVILLE,UNION,GA,30512,2020-01-28,34.87318,-83.9583,0,AGE (),UNION_GDOT,BLAIRSVILLE,UNION,34.88703,-83.95969,GA,30512,EMPLOYMENT,CONFIRMED,T1604555,12:30:00,00:00:00
0,BLAIRSVILLE,UNION,GA,30512,2020-01-31,34.87318,-83.9583,0,AGE (),UNION_GDOT,BLAIRSVILLE,UNION,34.88703,-83.95969,GA,30512,EMPLOYMENT,CONFIRMED,T1615075,12:30:00,00:00:00
0,BLAIRSVILLE,UNION,GA,30512,2020-02-03,34.87318,-83.9583,0,AGE (),UNION_GDOT,BLAIRSVILLE,UNION,34.88703,-83.95969,GA,30512,EMPLOYMENT,CONFIRMED,T1618546,12:30:00,00:00:00
0,BLAIRSVILLE,UNION,GA,30512,2020-02-10,34.87318,-83.9583,0,AGE (),UNION_GDOT,BLAIRSVILLE,UNION,34.88703,-83.95969,GA,30512,EMPLOYMENT,CONFIRMED,T1637347,12:30:00,00:00:00
0,BLAIRSVILLE,UNION,GA,30512,2020-02-14,34.87318,-83.9583,0,AGE (),UNION_GDOT,BLAIRSVILLE,UNION,34.88703,-83.95969,GA,30512,EMPLOYMENT,CONFIRMED,T1646471,12:30:00,00:00:00
0,BLAIRSVILLE,UNION,GA,30512,2020-02-17,34.87318,-83.9583,0,AGE (),UNION_GDOT,BLAIRSVILLE,UNION,34.88703,-83.95969,GA,30512,EMPLOYMENT,CONFIRMED,T1651430,12:30:00,00:00:00
