ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,THOMASTON,UPSON,GA,30286,2020-01-01,32.88196,-84.3163,0,BHDD (),UPSON,THOMASTON,UPSON,32.8857,-84.31455,GA,30286,EDUCATION,CANCELLED,T1527034,14:00:00,00:00:00
0,THOMASTON,UPSON,GA,30286,2020-01-01,32.8857,-84.31455,0,BHDD (),UPSON,THOMASTON,UPSON,32.88196,-84.3163,GA,30286,EDUCATION,CANCELLED,T1527064,00:00:00,08:00:00
2,THOMASTON,UPSON,GA,30286,2020-01-02,32.8857,-84.31455,0,BHDD (),UPSON,THOMASTON,UPSON,32.88196,-84.3163,GA,30286,EDUCATION,CONFIRMED,T1531706,00:00:00,08:00:00
2,THOMASTON,UPSON,GA,30286,2020-01-02,32.88196,-84.3163,0,BHDD (),UPSON,THOMASTON,UPSON,32.8857,-84.31455,GA,30286,EDUCATION,CONFIRMED,T1531683,14:00:00,00:00:00
1,THOMASTON,UPSON,GA,30286,2020-01-06,32.88196,-84.3163,0,BHDD (),UPSON,THOMASTON,UPSON,32.8857,-84.31455,GA,30286,EDUCATION,CONFIRMED,T1544367,14:00:00,00:00:00
-136956,THOMASTON,UPSON,GA,30286,2020-01-06,32.8857,-84.31455,0,BHDD (),UPSON,THOMASTON,UPSON,32.88196,-84.3163,GA,30286,EDUCATION,NO SHOW,T1544366,00:00:00,08:00:00
0,THOMASTON,UPSON,GA,30286,2020-01-07,32.88196,-84.3163,0,BHDD (),UPSON,THOMASTON,UPSON,32.8857,-84.31455,GA,30286,EDUCATION,CONFIRMED,T1547919,14:00:00,00:00:00
1,THOMASTON,UPSON,GA,30286,2020-01-07,32.8857,-84.31455,0,BHDD (),UPSON,THOMASTON,UPSON,32.88196,-84.3163,GA,30286,EDUCATION,CONFIRMED,T1547918,00:00:00,08:00:00
2,THOMASTON,UPSON,GA,30286,2020-01-08,32.8857,-84.31455,0,BHDD (),UPSON,THOMASTON,UPSON,32.88196,-84.3163,GA,30286,EDUCATION,CONFIRMED,T1551890,00:00:00,08:00:00
1,THOMASTON,UPSON,GA,30286,2020-01-08,32.88196,-84.3163,0,BHDD (),UPSON,THOMASTON,UPSON,32.8857,-84.31455,GA,30286,EDUCATION,CONFIRMED,T1551891,14:00:00,00:00:00
2,THOMASTON,UPSON,GA,30286,2020-01-09,32.8857,-84.31455,0,BHDD (),UPSON,THOMASTON,UPSON,32.88196,-84.3163,GA,30286,EDUCATION,CONFIRMED,T1555374,00:00:00,08:00:00
2,THOMASTON,UPSON,GA,30286,2020-01-09,32.88196,-84.3163,0,BHDD (),UPSON,THOMASTON,UPSON,32.8857,-84.31455,GA,30286,EDUCATION,CONFIRMED,T1555375,14:00:00,00:00:00
5,THOMASTON,UPSON,GA,30286,2020-01-13,32.8857,-84.31455,0,BHDD (),UPSON,THOMASTON,UPSON,32.88196,-84.3163,GA,30286,EDUCATION,CONFIRMED,T1561780,00:00:00,08:00:00
0,THOMASTON,UPSON,GA,30286,2020-01-13,32.88196,-84.3163,0,BHDD (),UPSON,THOMASTON,UPSON,32.8857,-84.31455,GA,30286,EDUCATION,CONFIRMED,T1561781,14:00:00,00:00:00
0,THOMASTON,UPSON,GA,30286,2020-01-14,32.88196,-84.3163,0,BHDD (),UPSON,THOMASTON,UPSON,32.8857,-84.31455,GA,30286,EDUCATION,CANCELLED,T1564546,14:00:00,00:00:00
2,THOMASTON,UPSON,GA,30286,2020-01-14,32.8857,-84.31455,0,BHDD (),UPSON,THOMASTON,UPSON,32.88196,-84.3163,GA,30286,EDUCATION,CONFIRMED,T1564545,00:00:00,08:00:00
2,THOMASTON,UPSON,GA,30286,2020-01-15,32.88196,-84.3163,0,BHDD (),UPSON,THOMASTON,UPSON,32.8857,-84.31455,GA,30286,EDUCATION,CONFIRMED,T1567862,14:00:00,00:00:00
2,THOMASTON,UPSON,GA,30286,2020-01-15,32.8857,-84.31455,0,BHDD (),UPSON,THOMASTON,UPSON,32.88196,-84.3163,GA,30286,EDUCATION,CONFIRMED,T1567861,00:00:00,08:00:00
-138709,THOMASTON,UPSON,GA,30286,2020-01-16,32.88196,-84.3163,0,BHDD (),UPSON,THOMASTON,UPSON,32.8857,-84.31455,GA,30286,EDUCATION,NO SHOW,T1572321,14:00:00,00:00:00
2,THOMASTON,UPSON,GA,30286,2020-01-16,32.8857,-84.31455,0,BHDD (),UPSON,THOMASTON,UPSON,32.88196,-84.3163,GA,30286,EDUCATION,CONFIRMED,T1572320,00:00:00,08:00:00
0,THOMASTON,UPSON,GA,30286,2020-01-20,32.8857,-84.31455,0,BHDD (),UPSON,THOMASTON,UPSON,32.88196,-84.3163,GA,30286,EDUCATION,CANCELLED,T1577970,00:00:00,08:00:00
0,THOMASTON,UPSON,GA,30286,2020-01-20,32.88196,-84.3163,0,BHDD (),UPSON,THOMASTON,UPSON,32.8857,-84.31455,GA,30286,EDUCATION,CANCELLED,T1577971,14:00:00,00:00:00
