ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,CANTON,CHEROKEE,GA,30114,2020-06-30,34.2347,-84.49997,0,5311 (),WAIT,CANTON,CHEROKEE,34.23511,-84.5019,GA,30114,EDUCATION,CANCELLED,T2967506,00:00:00,11:00:00
0,CANTON,CHEROKEE,GA,30114,2020-07-09,34.24829,-84.49264,0,5311 (),WAIT,CANTON,CHEROKEE,34.23511,-84.5019,GA,30114,MEDICAL,CANCELLED,T2977699,00:00:00,14:30:00
0,CANTON,CHEROKEE,GA,30114,2020-07-09,34.23511,-84.5019,0,5311 (),WAIT,CANTON,CHEROKEE,34.24829,-84.49264,GA,30114,MEDICAL,CANCELLED,T2977700,16:00:00,00:00:00
0,HOLLY SPRINGS,CHEROKEE,GA,30115,2020-08-20,34.18551,-84.50436,0,5311 (),WAIT,CANTON,CHEROKEE,34.1943,-84.49738,GA,30115,NUTRITION,CANCELLED,T3143420,00:00:00,13:35:00
0,CANTON,CHEROKEE,GA,30114,2020-08-21,34.20199,-84.5054,0,5311 (),WAIT,CANTON,CHEROKEE,34.1943,-84.49738,GA,30115,EDUCATION,CANCELLED,T3142900,00:00:00,11:30:00
0,HOLLY SPRINGS,CHEROKEE,GA,30115,2020-08-23,34.18551,-84.50436,0,5311 (),WAIT,CANTON,CHEROKEE,34.1943,-84.49738,GA,30115,EDUCATION,CANCELLED,T3142905,00:00:00,11:32:00
0,CANTON,CHEROKEE,GA,30115,2020-08-26,34.23417,-84.45722,0,5311 (),WAIT,CANTON,CHEROKEE,34.1943,-84.49738,GA,30115,SHOPPING,CANCELLED,T3142894,00:00:00,10:30:00
0,THOMASVILLE,THOMAS,GA,31792,2020-02-26,30.87189,-83.9688,0,GP (),WAIT,THOMASVILLE,THOMAS,30.83553,-83.9727,GA,31792,PERSONAL,CANCELLED,T1669081,11:00:00,00:00:00
0,THOMASVILLE,THOMAS,GA,31757,2020-10-26,30.8688,-83.94717,0,GP (),WAIT,THOMASVILLE,THOMAS,30.83543,-83.96255,GA,31792,MEDICAL,CANCELLED,T2104220,13:00:00,00:00:00
0,THOMASVILLE,THOMAS,GA,31792,2020-02-12,30.83748,-83.98012,0,GP (),WAIT,THOMASVILLE,THOMAS,30.83376,-83.95436,GA,31792,EMPLOYMENT,CANCELLED,T1628506,00:00:00,00:00:00
0,THOMASVILLE,THOMAS,GA,31792,2020-02-12,30.83376,-83.95436,0,GP (),WAIT,THOMASVILLE,THOMAS,30.83748,-83.98012,GA,31792,EMPLOYMENT,CANCELLED,T1628509,00:00:00,00:00:00
0,THOMASVILLE,THOMAS,GA,31792,2020-10-21,30.85074,-83.94926,0,GP (),WAIT,THOMASVILLE,THOMAS,30.8568,-83.9474,GA,31792,MEDICAL,CANCELLED,T2097743,09:30:00,00:00:00
0,THOMASVILLE,THOMAS,GA,31792,2020-01-18,30.83802,-83.98642,0,GP (),WAIT,THOMASVILLE,THOMAS,30.85459,-83.9457,GA,31792,EMPLOYMENT,CANCELLED,T1565665,00:00:00,00:00:00
0,GRIFFIN,SPALDING,GA,30224,2020-02-10,33.18442,-84.20962,0,PUTR (),WAIT,GRIFFIN,SPALDING,33.23466,-84.26582,GA,30224,MEDICAL,CANCELLED,T1598347,12:30:00,00:00:00
