ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,WARRENTON,WARREN,GA,30828,2020-01-01,33.34871,-82.63584,0,5311 (),WARREN_GDOT,WARRENTON,WARREN,33.4072,-82.656,GA,30828,NUTRITION,CANCELLED,T1528363,09:30:00,10:30:00
0,WARRENTON,WARREN,GA,30828,2020-01-01,33.4072,-82.656,0,5311 (),WARREN_GDOT,WARRENTON,WARREN,33.34871,-82.63584,GA,30828,NUTRITION,CANCELLED,T1528364,13:30:00,00:00:00
3,WARRENTON,WARREN,GA,30828,2020-01-02,33.4072,-82.656,0,5311 (),WARREN_GDOT,WARRENTON,WARREN,33.34871,-82.63584,GA,30828,NUTRITION,CONFIRMED,T1529277,13:30:00,00:00:00
3,WARRENTON,WARREN,GA,30828,2020-01-02,33.34871,-82.63584,0,5311 (),WARREN_GDOT,WARRENTON,WARREN,33.4072,-82.656,GA,30828,NUTRITION,CONFIRMED,T1529276,09:30:00,10:30:00
5,WARRENTON,WARREN,GA,30828,2020-01-03,33.34871,-82.63584,0,5311 (),WARREN_GDOT,WARRENTON,WARREN,33.4072,-82.656,GA,30828,NUTRITION,CONFIRMED,T1531046,09:30:00,10:30:00
3,WARRENTON,WARREN,GA,30828,2020-01-03,33.4072,-82.656,0,5311 (),WARREN_GDOT,WARRENTON,WARREN,33.34871,-82.63584,GA,30828,NUTRITION,CONFIRMED,T1531047,13:30:00,00:00:00
2,WARRENTON,WARREN,GA,30828,2020-01-06,33.34871,-82.63584,0,5311 (),WARREN_GDOT,WARRENTON,WARREN,33.4072,-82.656,GA,30828,NUTRITION,CONFIRMED,T1533938,09:30:00,10:30:00
5,WARRENTON,WARREN,GA,30828,2020-01-06,33.4072,-82.656,0,5311 (),WARREN_GDOT,WARRENTON,WARREN,33.34871,-82.63584,GA,30828,NUTRITION,CONFIRMED,T1533939,13:30:00,00:00:00
1,WARRENTON,WARREN,GA,30828,2020-01-07,33.34871,-82.63584,0,5311 (),WARREN_GDOT,WARRENTON,WARREN,33.4072,-82.656,GA,30828,NUTRITION,CONFIRMED,T1537374,09:30:00,10:30:00
3,WARRENTON,WARREN,GA,30828,2020-01-07,33.4072,-82.656,0,5311 (),WARREN_GDOT,WARRENTON,WARREN,33.34871,-82.63584,GA,30828,NUTRITION,CONFIRMED,T1537375,13:30:00,00:00:00
