ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
0,WAYCROSS,WARE,GA,31503,2020-01-17,31.19526,-82.32104,0,PUBR (PUBLIC FARE),WAYCROSS,WAYCROSS,WARE,31.17927,-82.40209,GA,31503,MULTI-PURPOSE,CONFIRMED,T2332635,00:00:00,09:30:00
0,WAYCROSS,WARE,GA,31503,2020-01-17,31.17927,-82.40209,0,PUBR (PUBLIC FARE),WAYCROSS,WAYCROSS,WARE,31.19526,-82.32104,GA,31503,MULTI-PURPOSE,CONFIRMED,T2332637,23:59:00,00:00:00
0,WAYCROSS,WARE,GA,31503,2020-01-30,31.17927,-82.40209,0,PUBR (PUBLIC FARE),WAYCROSS,WAYCROSS,WARE,31.19526,-82.32104,GA,31503,SHOPPING,CANCELLED,T2392591,23:59:00,00:00:00
-66748.7,WAYCROSS,WARE,GA,31503,2020-01-30,31.19526,-82.32104,0,PUBR (PUBLIC FARE),WAYCROSS,WAYCROSS,WARE,31.17927,-82.40209,GA,31503,SHOPPING,NO SHOW,T2392588,00:00:00,09:30:00
0,WAYCROSS,WARE,GA,31503,2020-01-31,31.17927,-82.40209,0,PUBR (PUBLIC FARE),WAYCROSS,WAYCROSS,WARE,31.19526,-82.32104,GA,31503,SHOPPING,CONFIRMED,T2400815,23:59:00,00:00:00
0,WAYCROSS,WARE,GA,31503,2020-01-31,31.19526,-82.32104,0,PUBR (PUBLIC FARE),WAYCROSS,WAYCROSS,WARE,31.17927,-82.40209,GA,31503,SHOPPING,CONFIRMED,T2400813,00:00:00,09:30:00
0,WAYCROSS,WARE,GA,31503,2020-02-17,31.17927,-82.40209,0,PUBR (PUBLIC FARE),WAYCROSS,WAYCROSS,WARE,31.19639,-82.32228,GA,31503,SHOPPING,CONFIRMED,T2474675,23:59:00,00:00:00
0,WAYCROSS,WARE,GA,31503,2020-02-17,31.19639,-82.32228,0,PUBR (PUBLIC FARE),WAYCROSS,WAYCROSS,WARE,31.17927,-82.40209,GA,31503,SHOPPING,CONFIRMED,T2474674,00:00:00,09:30:00
0,WAYCROSS,WARE,GA,31503,2020-02-28,31.17927,-82.40209,0,PUBR (PUBLIC FARE),WAYCROSS,WAYCROSS,WARE,31.19639,-82.32228,GA,31503,MULTI-PURPOSE,CONFIRMED,T2535665,23:59:00,00:00:00
0,WAYCROSS,WARE,GA,31503,2020-02-28,31.19526,-82.32104,0,PUBR (PUBLIC FARE),WAYCROSS,WAYCROSS,WARE,31.17927,-82.40209,GA,31503,MULTI-PURPOSE,CONFIRMED,T2535661,00:00:00,09:30:00
