ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
41,DUBLIN,LAURENS,GA,31021,2020-07-15,32.53439,-82.95087,0,SELF (),WHEELER_GDOT,ALAMO,WHEELER,32.1504,-82.7729,GA,30411,MEDICAL,CONFIRMED,T3077252,08:03:00,09:13:00
33,ALAMO,WHEELER,GA,30411,2020-07-15,32.1504,-82.7729,0,SELF (),WHEELER_GDOT,DUBLIN,LAURENS,32.53439,-82.95087,GA,31021,MEDICAL,CONFIRMED,T3077253,10:18:00,11:11:00
41,DUBLIN,LAURENS,GA,31021,2020-07-15,32.53439,-82.95087,0,SELF (),WHEELER_GDOT,ALAMO,WHEELER,32.1504,-82.7729,GA,30411,MEDICAL,CONFIRMED,T3023436,08:26:00,09:03:00
32,ALAMO,WHEELER,GA,30411,2020-07-15,32.1504,-82.7729,0,SELF (),WHEELER_GDOT,DUBLIN,LAURENS,32.53439,-82.95087,GA,31021,MEDICAL,CONFIRMED,T3023442,14:23:00,15:00:00
0,ALAMO,WHEELER,GA,30411,2020-07-15,32.1504,-82.7729,0,SELF (),WHEELER_GDOT,DUBLIN,LAURENS,32.53439,-82.95087,GA,31021,MEDICAL,CANCELLED,T3023443,14:00:00,00:00:00
12,MCRAE,TELFAIR,GA,31055,2020-07-17,32.0607,-82.8986,0,SELF (),WHEELER_GDOT,ALAMO,WHEELER,32.1504,-82.7729,GA,30411,MEDICAL,CONFIRMED,T3034171,08:00:00,08:30:00
22,ALAMO,WHEELER,GA,30411,2020-07-17,32.1504,-82.7729,0,SELF (),WHEELER_GDOT,MCRAE,TELFAIR,32.0607,-82.8986,GA,31055,MEDICAL,CONFIRMED,T3034172,00:00:00,00:00:00
-98836,DUBLIN,LAURENS,GA,31021,2020-07-30,32.53439,-82.95087,0,SELF (),WHEELER_GDOT,ALAMO,WHEELER,32.1504,-82.7729,GA,30411,MEDICAL,CANCEL ON ARRIVAL,T3072647,08:00:00,11:59:00
0,ALAMO,WHEELER,GA,30411,2020-07-30,32.1504,-82.7729,0,SELF (),WHEELER_GDOT,DUBLIN,LAURENS,32.53439,-82.95087,GA,31021,MEDICAL,CANCELLED,T3072648,12:30:00,00:00:00
-169360,ALAMO,WHEELER,GA,30411,2020-08-13,32.1504,-82.7729,0,SELF (),WHEELER_GDOT,DUBLIN,LAURENS,32.53439,-82.95087,GA,31021,MEDICAL,CANCELLED,T3120258,12:45:00,00:00:00
-169360,DUBLIN,LAURENS,GA,31021,2020-08-13,32.53439,-82.95087,0,SELF (),WHEELER_GDOT,ALAMO,WHEELER,32.1504,-82.7729,GA,30411,MEDICAL,CANCELLED,T3120257,11:00:00,11:59:00
7,ALAMO,WHEELER,GA,30411,2020-07-27,32.14149,-82.7759,0,SELF (),WHEELER_GDOT,MT VERNON,MONTGOMERY,32.17455,-82.59383,GA,30445,MEDICAL,CONFIRMED,T3062032,10:00:00,00:00:00
6,MT VERNON,MONTGOMERY,GA,30445,2020-07-27,32.17455,-82.59383,0,SELF (),WHEELER_GDOT,ALAMO,WHEELER,32.14149,-82.7759,GA,30411,MEDICAL,CONFIRMED,T3062031,09:00:00,09:30:00
0,MT VERNON,MONTGOMERY,GA,30445,2020-09-01,32.17455,-82.59383,0,SELF (),WHEELER_GDOT,ALAMO,WHEELER,32.14149,-82.7759,GA,30411,MEDICAL,CANCELLED,T3180586,09:30:00,10:00:00
0,ALAMO,WHEELER,GA,30411,2020-09-01,32.14149,-82.7759,0,SELF (),WHEELER_GDOT,MT VERNON,MONTGOMERY,32.17455,-82.59383,GA,30445,MEDICAL,CANCELLED,T3180589,11:00:00,00:00:00
-167164,VIDALIA,TOOMBS,GA,30474,2020-07-06,32.20517,-82.3929,0,5311 (),WHEELER_GDOT,GLENWOOD,WHEELER,32.1227,-82.68197,GA,30428,MEDICAL,CANCELLED,T2982539,12:15:00,13:30:00
-167164,GLENWOOD,WHEELER,GA,30428,2020-07-06,32.1227,-82.68197,0,5311 (),WHEELER_GDOT,VIDALIA,TOOMBS,32.20517,-82.3929,GA,30474,MEDICAL,CANCELLED,T2982540,14:30:00,00:00:00
