ACTUAL.DISTANCE,DO.CITY,DO.COUNTY,DO.STATE,DO.ZIP,DATE,DO.LAT,DO.LONG,FARE,FUNDING.SOURCE,OPERATOR,PU.CITY,PU.COUNTY,PU.LAT,PU.LONG,PU.STATE,PU.ZIP,PURPOSE,STATUS,TRIP.ID,PU.TIMES,APPT.TIMES
3,WASHINGTON,WILKES,GA,30673,2020-08-05,33.72674,-82.75864,0,PBTR (),WILKES_GDOT,WASHINGTON,WILKES,33.7254,-82.72151,GA,30673,SOCIAL,CONFIRMED,T3100577,13:05:00,13:11:00
5,WASHINGTON,WILKES,GA,30673,2020-08-04,33.73683,-82.73807,0,PBTR (),WILKES_GDOT,WASHINGTON,WILKES,33.73155,-82.75452,GA,30673,MEDICAL,CONFIRMED,T3097231,12:45:00,13:00:00
4,WASHINGTON,WILKES,GA,30673,2020-08-03,33.72735,-82.71808,0,PBTR (),WILKES_GDOT,WASHINGTON,WILKES,33.72416,-82.7213,GA,30673,EMPLOYMENT,CONFIRMED,T3092458,11:10:00,11:42:00
11,WASHINGTON,WILKES,GA,30673,2020-07-16,33.73748,-82.72472,0,PBTR (),WILKES_GDOT,TIGNALL,WILKES,33.86356,-82.74177,GA,30668,PERSONAL,CONFIRMED,T3035229,10:33:00,10:47:00
11,TIGNALL,WILKES,GA,30668,2020-07-16,33.86356,-82.74177,0,PBTR (),WILKES_GDOT,WASHINGTON,WILKES,33.73748,-82.72472,GA,30673,PERSONAL,CONFIRMED,T3035231,13:07:00,13:27:00
1,WASHINGTON,WILKES,GA,30673,2020-09-28,33.72883,-82.7634,0,PBTR (),WILKES_GDOT,WASHINGTON,WILKES,33.72674,-82.75864,GA,30673,PERSONAL,CONFIRMED,T3274315,15:01:00,15:08:00
19,WASHINGTON,WILKES,GA,30673,2020-09-30,33.73633,-82.74915,0,PBTR (),WILKES_GDOT,TIGNALL,WILKES,33.89841,-82.67351,GA,30668,PERSONAL,CONFIRMED,T3281939,13:16:00,13:29:00
9,TIGNALL,WILKES,GA,30668,2020-10-06,33.89841,-82.67351,0,PBTR (),WILKES_GDOT,TIGNALL,WILKES,33.8656,-82.7469,GA,30668,PERSONAL,CONFIRMED,T3302257,08:00:00,08:15:00
7.1,TIGNALL,WILKES,GA,30668,2020-10-09,33.86926,-82.74119,0,PBTR (),WILKES_GDOT,TIGNALL,WILKES,33.89841,-82.67351,GA,30668,PERSONAL,CONFIRMED,T3317505,13:10:00,13:23:00
27,WASHINGTON,WILKES,GA,30673,2020-11-09,33.72914,-82.74146,0,PBTR (),WILKES_GDOT,TIGNALL,WILKES,33.89841,-82.67351,GA,30668,MEDICAL,CONFIRMED,T3415614,10:29:00,11:13:00
14,TIGNALL,WILKES,GA,30668,2020-11-09,33.86594,-82.74147,0,PBTR (),WILKES_GDOT,WASHINGTON,WILKES,33.72914,-82.74146,GA,30673,SHOPPING,CONFIRMED,T3415618,14:09:00,14:29:00
31.9,TIGNALL,WILKES,GA,30668,2020-11-10,33.89841,-82.67351,0,PBTR (),WILKES_GDOT,WASHINGTON,WILKES,33.72735,-82.71808,GA,30673,SHOPPING,CONFIRMED,T3421878,14:06:00,14:44:00
15.9,WASHINGTON,WILKES,GA,30673,2020-11-10,33.72796,-82.7187,0,PBTR (),WILKES_GDOT,TIGNALL,WILKES,33.89841,-82.67351,GA,30668,MEDICAL,CONFIRMED,T3421876,10:53:00,11:21:00
19,WASHINGTON,WILKES,GA,30673,2020-11-12,33.73633,-82.74915,0,PBTR (),WILKES_GDOT,TIGNALL,WILKES,33.89841,-82.67351,GA,30668,MULTI-PURPOSE,CONFIRMED,T3429491,10:34:00,00:00:00
16,TIGNALL,WILKES,GA,30668,2020-11-12,33.89841,-82.67351,0,PBTR (),WILKES_GDOT,WASHINGTON,WILKES,33.73257,-82.7548,GA,30673,MULTI-PURPOSE,CONFIRMED,T3429496,13:59:00,14:24:00
